name,frontend_type,morlet_use_phase,prior_type,training_mode,stage2,epochs_completed,best_pres_f1,best_type_f1,best_val_ref_elbo,min_dataset_type_f1,worst_dataset,calibrated_type_f1,balanced_accuracy,mcc,shippable,diverged
2026-04-29_13-26-17,multiscale,False,standard,vae,False,100,0.8742,0.6589,0.1926,,,,,,True,False
v3_lowfreq,multiscale,False,standard,vae,False,100,0.875,0.6565,0.2028,,,,,,True,False
v3_lowfreq,multiscale,False,standard,disentangled,False,100,0.8612,0.6499,0.1072,,,,,,False,False
2026-05-03_05-03-14,multiscale,False,standard,disentangled,False,100,0.8433,0.6462,0.2524,0.4354,focal,0.5831,0.6385,0.2959,False,False
2026-05-03_05-02-44,multiscale,False,standard,vae,False,51,0.8625,0.6391,0.5526,0.4554,focal,0.5833,0.7504,0.4735,False,False
2026-04-28_23-12-59,multiscale,False,standard,vae,False,100,0.8777,0.6351,0.214,,,,,,False,False
v2,multiscale,False,standard,vae,False,100,0.8767,0.6082,0.1799,,,,,,False,False
filesplit_v2,multiscale,False,standard,vae,False,100,0.8924,0.5248,0.1631,,,,,,False,False
phase_v1_diag,morlet_per_sensor,True,standard,vae,False,78,0.7884,0.4977,2.2769,,,,,,False,False
2026-04-25_09-41,multiscale,False,standard,disentangled,False,68,0.8859,0.4778,0.1438,,,,,,False,False
2026-04-24_16-31,multiscale,False,standard,vae,False,100,0.8837,0.4718,0.1736,,,,,,False,False
2026-04-24_16-17,multiscale,False,standard,contrastive,False,35,0.7519,0.4029,,,,,,,False,False
2026-04-25_10-06,morlet_per_sensor,True,standard,disentangled,False,96,0.8707,0.3701,1.9765,,,,,,False,False
2026-04-24_18-57,morlet_fused,True,standard,vae,False,82,0.8192,0.3489,2.3114,,,,,,False,False
