epoch,beta,beta_event,train_recon,train_kl,train_raw_kl,train_interv,train_total,val_recon,val_kl,val_raw_kl,val_interv,val_total,val_ref_elbo
0,0.05,↑,0.028820138225065812,0.0,96.13945484519901,0.44243115349147555,1.8762436361241162,0.020714280772549304,143.19108556664509,143.19108556664509,0.44761336837773735,144.9128717339557,143.21179984741764
1,0.1,↑,0.03642444236596164,0.316017604019857,6.320351970823188,0.4461720053638731,2.3454307479069647,0.027011062980265073,5.4716011000716165,5.4716011000716165,0.4668925582714703,7.360274470370749,5.498612163051882
2,0.15000000000000002,↑,0.0301597145827193,0.25082488618511006,2.5082488183240246,0.4383177483888497,2.339682312836324,0.026389112878266886,3.0895422995090485,3.0895422995090485,0.47295055441234424,5.0413763147333395,3.115931412387315
3,0.2,↑,0.03144931143387816,0.2407618687677204,1.605079059762166,0.4421508262928267,2.4135629834985375,0.02864184619291969,1.9487713928455892,1.9487713928455892,0.48364283306443173,3.9973051651664404,1.9774132390385089
4,0.25,↑,0.03244524877658464,0.22061176598072052,1.103058814666325,0.44678560537951334,2.4652475324788488,0.03070457747368061,1.095354069510232,1.095354069510232,0.4869857799747716,3.261717530048412,1.1260586469839127
5,0.25,→hold,0.0328482927271354,0.20614500968415933,0.8245800387366373,0.44751617374052677,2.500513321474979,0.030842647988997076,0.8840199051343877,0.8840199051343877,0.48508082103470096,3.0483369296011715,0.9148625531233847
6,0.3,↑,0.032058290689063254,0.208537417723048,0.834149670892192,0.44796353589771387,2.4958997274699963,0.029668354064874027,0.8321392681935559,0.8321392681935559,0.4851083125433196,3.002036388801492,0.8618076222584299
7,0.3,→hold,0.03201225086262351,0.19522684599672044,0.6507561269559359,0.4480032743255895,2.5276657652137873,0.030467125830119072,0.7001626010498275,0.7001626010498275,0.48504986273853673,2.9178083746329597,0.7306297268799467
8,0.3,→hold,0.031780729385414964,0.1962430328410819,0.6541434156715422,0.4479008498496579,2.5228520945498816,0.030543171011073435,0.6700804369605106,0.6700804369605106,0.4850304683913355,2.8866380738175432,0.700623607971584
9,0.35,↑,0.031502303576334975,0.19733717048862823,0.6577905416488647,0.4480376213340831,2.511891964234804,0.030419255039938118,0.7551667013246081,0.7551667013246081,0.4850059117635955,2.9422158657208732,0.7855859563645462
10,0.35,→hold,0.03196847143309905,0.1863500106435521,0.532428610481714,0.44802184867903705,2.545702074703417,0.03094525718251648,0.6095930224527484,0.6095930224527484,0.4853282995198084,2.827681243419647,0.6405382796352649
11,0.39999999999999997,↑,0.031623579008518754,0.18597589626460148,0.5313597117039494,0.44797345558951673,2.539687556431706,0.030559076218987288,0.5649904534220695,0.5649904534220695,0.4853104221756044,2.798550216400105,0.5955495296410568
12,0.39999999999999997,→hold,0.03193522618621364,0.17525827021975265,0.4381456686029757,0.44805196868745906,2.5630412088300947,0.030701732870353306,0.4460103751524635,0.4460103751524635,0.48545560305533203,2.7091239276139634,0.4767121080228168
13,0.39999999999999997,→hold,0.03247497022446049,0.17598497985224976,0.43996244153582065,0.447732511151554,2.5618056238145757,0.03136662442399108,0.4715812755343707,0.4715812755343707,0.4851743595107742,2.7296483892461527,0.5029478999583618
14,0.39999999999999997,→hold,0.03235882407236368,0.1762115258191313,0.44052880722329135,0.4481363200155416,2.559783456917096,0.03164305622972872,0.5128434438096441,0.5128434438096441,0.4855224232634772,2.7517718089663465,0.5444865000393728
15,0.39999999999999997,→hold,0.03248008753040007,0.1777670250407287,0.4444175548011199,0.447910623891013,2.5582319941735805,0.0316325592322518,0.47506138390820957,0.47506138390820957,0.48563921937476034,2.727445883595425,0.5066939431404613
16,0.39999999999999997,→hold,0.032801225974007434,0.1783829930245428,0.44595747575499955,0.4478562314595495,2.5558247588630905,0.03298596742198519,0.4866752472260724,0.4866752472260724,0.48587199527284375,2.745495152214299,0.5196612146480576
17,0.44999999999999996,↑,0.03323329907764954,0.178630497054498,0.4465762350456159,0.44795887541950197,2.5539806444842115,0.032044607396844935,0.4841593275575534,0.4841593275575534,0.48524091538527736,2.7350092685740925,0.5162039349543983
18,0.44999999999999996,→hold,0.03305143287713479,0.1695845598228892,0.37685458754238327,0.44790661329389514,2.5756303439462993,0.0323372609184488,0.36631046859142574,0.36631046859142574,0.4852057927004669,2.6562977063915003,0.39864772950987454
19,0.44999999999999996,→hold,0.03355225008261159,0.16944620486600956,0.37654713143531543,0.4479184192710353,2.5757548607381664,0.033206472092348595,0.4008394763197588,0.4008394763197588,0.48540314124978107,2.683289543442104,0.4340459484121074
20,0.44999999999999996,→hold,0.03377870229752104,0.17074213776373326,0.37942698272995484,0.4480904997851616,2.5746679297067168,0.03320555478010489,0.4255544403972833,0.4255544403972833,0.4855164822352969,2.6929102429877156,0.4587599951773882
21,0.44999999999999996,→hold,0.034187364419992254,0.17096183093306713,0.3799151895301683,0.44814345755971463,2.5740035947104145,0.033305734962872834,0.43217997350122617,0.43217997350122617,0.4852741929176061,2.6975081465814426,0.465485708464099
22,0.44999999999999996,→hold,0.03442189256359536,0.17102446230618576,0.38005437231377553,0.4480283068198907,2.5727031459485676,0.03388726814528522,0.4401117368884709,0.4401117368884709,0.4859606189572293,2.7009603083133698,0.4739990050337561
23,0.44999999999999996,→hold,0.034760163515750175,0.17208968495067797,0.3824215325197779,0.4481732063835725,2.570925782945819,0.035380979169808,0.38471062870129297,0.38471062870129297,0.4863363496311333,2.680950102598771,0.42009160787110095
24,0.49999999999999994,↑,0.035399158681301696,0.17332273183908678,0.38516163741959664,0.44796155163444074,2.5711266349132798,0.03470570436152427,0.38523748225491977,0.38523748225491977,0.48559997165980545,2.6706693781458815,0.41994318661644403
25,0.49999999999999994,→hold,0.03600547051659428,0.16298414859220497,0.32596829718440995,0.44784267084266904,2.5854833843116474,0.035384809740049684,0.3495171842691691,0.3495171842691691,0.48556372199369513,2.6492897388727767,0.3849019940092188
26,0.49999999999999994,→hold,0.036434960523550226,0.16272323699037833,0.32544647398075666,0.44780250711548597,2.5872935397284373,0.03639072238508126,0.37636657010601915,0.37636657010601915,0.4859031430729058,2.66486598616061,0.4127572924911004
27,0.5499999999999999,↑,0.03674607948028952,0.16369775520231492,0.32739551040462983,0.44792429352165164,2.586294418887088,0.03626139785932458,0.32311644145975943,0.32311644145975943,0.48549957346657047,2.632955502556718,0.359377839319084
28,0.5499999999999999,→hold,0.03705108337300388,0.15526798223250343,0.2823054164479998,0.44805210750353963,2.602463427791022,0.03640769367389705,0.28910137032685074,0.28910137032685074,0.48580026545602345,2.6191140406805538,0.3255090640007478
29,0.5499999999999999,→hold,0.037348033902340365,0.1550673291339238,0.281940592522908,0.4479887437887658,2.599883842737155,0.03671446175354978,0.306411276207022,0.306411276207022,0.4857953537417495,2.6229648201361946,0.3431257379605718
30,0.5499999999999999,→hold,0.037838483684437166,0.1560317271185997,0.28369404325135666,0.44774630822633443,2.6028125263694535,0.03796079376226534,0.26802276868535124,0.26802276868535124,0.486264044985823,2.60410953734232,0.3059835624476166
31,0.6,↑,0.038371395284688116,0.15574372538778566,0.28317040406671684,0.4479045772126743,2.603162670045867,0.037797997968838266,0.2794056282905133,0.2794056282905133,0.4861419612298841,2.6084743349448494,0.31720362625935156
32,0.6,→hold,0.03861909116009124,0.14827180072609195,0.24711965786335163,0.44792003845585915,2.614382007068261,0.03837657594324454,0.2479128340340179,0.2479128340340179,0.48535933701888373,2.5933633368948232,0.28628940997726243
33,0.6,→hold,0.039014610195798535,0.14838635208631368,0.2473105768063911,0.4479208180218711,2.612202298820467,0.03907999469210272,0.28155094935842184,0.28155094935842184,0.48590023200149124,2.613350524850514,0.32063094405052456
34,0.6,→hold,0.039189560590942106,0.14834769292825595,0.24724614508169934,0.44776786494075804,2.611917664233903,0.039477278559428196,0.24729558695917545,0.24729558695917545,0.485870569134536,2.594325042937113,0.28677286551860365
35,0.6,→hold,0.03953055084395902,0.14827880413180455,0.24713133031824477,0.44791008784134584,2.6110484792773887,0.039688417121120124,0.2780367702083743,0.2780367702083743,0.4861041106607603,2.611421846177267,0.31772518732949445
36,0.6,→hold,0.03967316978772108,0.14940204696827813,0.24900340227256143,0.4479354204876082,2.6110283925120994,0.04021234862992297,0.27472215485961543,0.27472215485961543,0.48618200988225313,2.607225896223732,0.3149345034895384
37,0.6,→hold,0.04039152783754849,0.14955021506805616,0.2492503484052823,0.44796307816317205,2.6120433681889583,0.04045411146691312,0.2692520797414624,0.2692520797414624,0.4858771735883277,2.6113222733787866,0.30970619120837556
38,0.65,↑,0.0407584030601315,0.150095191273026,0.2501586412352727,0.44801168535885055,2.6136322102152314,0.040324451725768005,0.2514508145496897,0.2514508145496897,0.48623750326426135,2.6028866592956628,0.2917752662754577
39,0.65,→hold,0.0408655229353703,0.1434827729275352,0.22074273595572413,0.44792996638251426,2.6221488745589006,0.04050253777076369,0.21869208930951098,0.21869208930951098,0.4859387481018253,2.587461246744446,0.2591946270802747
40,0.65,→hold,0.04096315765431277,0.14366821136633703,0.2210280252970699,0.4479028181474012,2.6219779176819595,0.040785438178674034,0.23794883805448594,0.23794883805448594,0.48585672660366347,2.5909054091443187,0.27873427623316
41,0.7000000000000001,↑,0.04139382389367075,0.1435213061399702,0.22080201781669953,0.44795726054817214,2.621820185865675,0.040574922307353954,0.2382468816054904,0.2382468816054904,0.48615390305285866,2.6009358569331793,0.27882180391284433
42,0.7000000000000001,→hold,0.04136797207358636,0.136802079170046,0.19543154529274853,0.4479329780416381,2.627597150946022,0.04093551647889873,0.18589192045771558,0.18589192045771558,0.4867963398928228,2.5744377394085345,0.2268274369366143
43,0.7000000000000001,→hold,0.04150883273634696,0.13773302686281672,0.19676147023201884,0.44797096759977195,2.6340436550011312,0.041821491783079895,0.2010116035361653,0.2010116035361653,0.4857662716961425,2.5789421019346817,0.24283309531924518
44,0.7000000000000001,→hold,0.041781714242091754,0.13750678390488588,0.1964382659783937,0.44789090231621176,2.6296198457703555,0.04194247803610304,0.21229560535563075,0.21229560535563075,0.4860413385474164,2.583100728366686,0.2542380833917338
45,0.7000000000000001,→hold,0.04189763073214239,0.13850025806043828,0.19785751492009127,0.44791919015403975,2.6319152600783156,0.04200809610926587,0.20400768409118705,0.20400768409118705,0.48595620027702785,2.579002433496973,0.24601578020045292
46,0.7000000000000001,→hold,0.04240084709809687,0.1383560843821755,0.1976515526106035,0.44795878618059304,2.6317014331208135,0.0424486236727756,0.21852898273778998,0.21852898273778998,0.4857038968931074,2.585169599108074,0.26097760641056555
47,0.7500000000000001,↑,0.042350186091056445,0.13882251312129928,0.19831787968488565,0.44767709916695614,2.6285602898526013,0.04209011017709323,0.20807959471383822,0.20807959471383822,0.4861001548883708,2.5790919214487076,0.25016970489093143
48,0.8000000000000002,↑,0.04268911581038308,0.13316037326603009,0.17754716420532168,0.44793293059320377,2.6373804821107623,0.04172859357103058,0.17505988332888353,0.17505988332888353,0.48596375953892,2.567174592095873,0.2167884768999141
49,0.8000000000000002,→hold,0.04276810727901477,0.1272063682598055,0.15900795766733644,0.4478545905952167,2.6455115003693375,0.04288703577754938,0.1661197082746936,0.1661197082746936,0.48616574753237807,2.5649896011404367,0.20900674405224298
50,0.8000000000000002,→hold,0.04316599844933901,0.12745152425048942,0.15931440231607372,0.447846338376963,2.649300226143428,0.043219195597845574,0.1865912446671206,0.1865912446671206,0.4856915010706238,2.573316329199335,0.22981044026496616
51,0.8500000000000002,↑,0.0437215171208171,0.1277702510272874,0.15971281079757482,0.4477406368779957,2.6470176259377847,0.043019309943622866,0.16717637411278227,0.16717637411278227,0.4862685370380464,2.5665754138127617,0.21019568405640515
52,0.8500000000000002,→hold,0.04337436240166426,0.12208437110136326,0.1436286678299644,0.4481691706337427,2.650639822160391,0.04364012803315469,0.14608442082839168,0.14608442082839168,0.4861627054279265,2.5592301306517227,0.18972454886154638
53,0.8500000000000002,→hold,0.04374239223315976,0.12258598664985564,0.14421880372652882,0.4479259090652143,2.6535233886618363,0.0436402835437785,0.1483404451738233,0.1483404451738233,0.4858303371330966,2.559934268827024,0.1919807287176018
54,0.9000000000000002,↑,0.043783064133354595,0.12304912791832497,0.14476367591747216,0.447868220284021,2.6538143180366744,0.04309991860519285,0.15135068069819524,0.15135068069819524,0.4859856082045514,2.561853599289189,0.1944505993033881
55,0.9000000000000002,→hold,0.04384024385222815,0.11842806418811468,0.13158674136196313,0.44805441835993215,2.659224049489301,0.04391304391395787,0.13116180742888348,0.13116180742888348,0.48635411667435063,2.5615609229906746,0.17507485134284134
56,0.9500000000000003,↑,0.043796243349132236,0.11817168182504356,0.13130187194206214,0.4478174793092828,2.6548610558187153,0.0436869944324312,0.12784420034807661,0.12784420034807661,0.4864273413043955,2.5569552060054694,0.17153119478050782
57,0.9500000000000003,→hold,0.044259934237969104,0.1141255025128673,0.12013210924832445,0.4478647428235613,2.6652482564287974,0.04430410855085305,0.12825852085876724,0.12825852085876724,0.4866447408238183,2.5573892204657844,0.1725626294096203
58,1.0,↑,0.04443103746560059,0.1145812212384509,0.1206118132554947,0.4478584026595704,2.669810468541052,0.04399437447200003,0.13195899286833795,0.13195899286833795,0.486323120639376,2.5569293337023775,0.17595336734033798
59,1.0,→hold,0.04417927395832494,0.1101965758025198,0.1101965758025198,0.4480279293611534,2.6689190178885496,0.044204516356567976,0.11383552468665269,0.11383552468665269,0.48660032985650975,2.5534311843955,0.15804004104322067
60,1.0,→hold,0.04449944158217737,0.1097596870609244,0.1097596870609244,0.447931717885168,2.6672133323841525,0.044309121273134064,0.11540376548857792,0.11540376548857792,0.4860546457702699,2.555927852573602,0.15971288676171197
61,1.0,→hold,0.04469834866100236,0.11041665757845219,0.11041665757845219,0.4478642202745703,2.6698193473923477,0.04470717344109131,0.11373354688934657,0.11373354688934657,0.48602220999157947,2.5546828994284505,0.15844072033043788
62,1.0,→hold,0.044707675387424636,0.11032777199787754,0.11032777199787754,0.44777375874214603,2.665789979292934,0.04476618345664895,0.12131966079544762,0.12131966079544762,0.4857779020524543,2.556635351932567,0.16608584425209658
63,1.0,→hold,0.04469746397458073,0.11096467055324324,0.11096467055324324,0.4478613633970569,2.6685388455713603,0.04490264746077035,0.11238232801627854,0.11238232801627854,0.4860255117325679,2.553970024637554,0.1572849754770489
64,1.0,→hold,0.04514909588164629,0.1114068556212841,0.1114068556212841,0.4478756403340433,2.6693604203095114,0.045147518161684275,0.12122114395479792,0.12122114395479792,0.4862112859668939,2.5585706758758295,0.1663686621164822
65,1.0,↑,0.04528653992101886,0.1116172686443293,0.1116172686443293,0.44786052400232257,2.669776942496909,0.04466676469082418,0.12397176735912976,0.12397176735912976,0.48626617180264514,2.557175234608028,0.16863853204995394
66,1.0,→hold,0.04520493018952079,0.11187445835903623,0.11187445835903623,0.44777441618585945,2.667841619118712,0.0450357680775873,0.11203270765912274,0.11203270765912274,0.4861186324902203,2.5541377721921257,0.15706847573671004
67,1.0,→hold,0.04534090044242995,0.11174111415569048,0.11174111415569048,0.4478386068030408,2.6683878011273263,0.04527193247138158,0.10868262467177017,0.10868262467177017,0.48620623220568115,2.5565232381872507,0.15395455714315176
68,1.0,→hold,0.0454610813885255,0.11225672531172745,0.11225672531172745,0.4477841335355787,2.6674508949867763,0.045312722011104874,0.12152669311541578,0.12152669311541578,0.48584067189823027,2.5553170902573545,0.16683941512652065
