epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.5094835541261742,1.4328848939874899,0.9792,0.9593,0.1092,0.1583
1,1.4253847442469498,1.3505336972682371,0.9792,0.9593,0.2768,0.2424
2,1.3887031885741128,1.3025577055371327,0.983,0.9669,0.6897,0.7308
3,1.3783176535737,1.278387836140135,0.9989,0.9979,0.6959,0.7508
4,1.3781538917691802,1.2706159411565117,0.9994,0.9988,0.6915,0.7528
5,1.3758386709005703,1.265613753510558,0.9995,0.999,0.6888,0.7525
6,1.374846323793422,1.2637003750904747,0.9996,0.9993,0.6918,0.7532
7,1.374903483641304,1.2634470385053884,0.9997,0.9995,0.6903,0.7516
8,1.374197214897757,1.2619198845780415,0.9997,0.9995,0.6897,0.752
9,1.373647560098158,1.26131026317244,0.9997,0.9995,0.6897,0.7516
10,1.3746969979431123,1.2608235031366348,0.9997,0.9995,0.6917,0.7524
11,1.3747659604052889,1.2612971449675767,0.9998,0.9996,0.6908,0.7518
12,1.374201324375217,1.2603252834599952,0.9998,0.9996,0.6908,0.7521
13,1.3755256006910026,1.2621464936629585,0.9998,0.9996,0.6912,0.7515
14,1.3745084719183744,1.261226171384687,0.9998,0.9997,0.6902,0.7513
15,1.3750947011568309,1.2623364569052407,0.9998,0.9997,0.69,0.751
16,1.375834888409942,1.262958984012189,0.9998,0.9997,0.691,0.7512
17,1.3733838997907084,1.260469857117404,0.9998,0.9997,0.692,0.752
18,1.3709240767119302,1.259031364451284,0.9998,0.9997,0.6917,0.751
19,1.373092897837426,1.2570577535940253,0.9998,0.9997,0.6909,0.7526
20,1.3751135773775054,1.261687490603198,0.9998,0.9997,0.6911,0.7514
21,1.3743041561423726,1.2602354566688123,0.9998,0.9997,0.6905,0.753
22,1.3762514606873044,1.2631068573049877,0.9999,0.9997,0.6875,0.7507
23,1.374336575030386,1.2621380149022392,0.9998,0.9997,0.6879,0.7507
24,1.376181366072363,1.2630046204380367,0.9998,0.9997,0.688,0.7503
25,1.3762915058386482,1.263161327527917,0.9998,0.9997,0.6896,0.7508
26,1.374497832321539,1.2624542253172917,0.9998,0.9997,0.6914,0.7517
27,1.3726206635444742,1.2605285048484802,0.9998,0.9997,0.6886,0.7515
28,1.3737099919936446,1.261373757020287,0.9998,0.9997,0.6895,0.7514
29,1.372992141161806,1.2592237643573596,0.9998,0.9997,0.6884,0.7517
30,1.3744416760235298,1.2601311193860096,0.9998,0.9997,0.6886,0.7519
31,1.3732281724239157,1.2619683438021203,0.9998,0.9997,0.6919,0.7512
32,1.3761452787588953,1.2609992130942966,0.9998,0.9997,0.6905,0.752
33,1.3755841885901303,1.2600715996130654,0.9998,0.9997,0.6918,0.7533
34,1.3756368773068541,1.2627042162677515,0.9998,0.9997,0.688,0.7512
35,1.3724232384232598,1.2590740711792656,0.9998,0.9997,0.6876,0.7517
36,1.3763902252208,1.2623146714075753,0.9998,0.9997,0.6854,0.7503
37,1.3744653827924889,1.261821682686391,0.9998,0.9997,0.6889,0.7509
38,1.3730390029374029,1.2592651364595995,0.9998,0.9997,0.6888,0.7523
39,1.3737033578736697,1.2613719442616338,0.9998,0.9997,0.6856,0.7501
40,1.3714185950903688,1.2577442928500797,0.9998,0.9997,0.686,0.7512
41,1.376649801771368,1.261186790207158,0.9998,0.9997,0.6891,0.7512
42,1.3717722351510797,1.2585464547509733,0.9998,0.9997,0.6887,0.7522
43,1.3719716790022143,1.2590157694142798,0.9998,0.9997,0.6889,0.7511
44,1.3741620492756255,1.261507863583772,0.9998,0.9997,0.6916,0.7507
45,1.3734268399608962,1.2597986628179965,0.9998,0.9997,0.691,0.7515
46,1.3752162006961473,1.262034324200257,0.9998,0.9997,0.6912,0.7512
47,1.375955795704983,1.2618382301019586,0.9998,0.9997,0.6907,0.7511
48,1.3738270412019224,1.2626095368810322,0.9998,0.9997,0.6904,0.7509
49,1.3746085008134539,1.263151052205459,0.9998,0.9997,0.6902,0.7504
