epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.500663953024272,1.3336832024480985,0.0,0.0407,0.2717,0.5588
1,1.417855242179885,1.3005005231370097,0.0,0.0407,0.6678,0.7448
2,1.3798148717039298,1.274820370518643,0.9971,0.9944,0.6868,0.7539
3,1.368267858900675,1.2589334592871044,0.9992,0.9986,0.6874,0.7516
4,1.360774290718236,1.2508163167082744,0.9996,0.9992,0.6853,0.7469
5,1.358769260920011,1.2439035280891086,0.9996,0.9992,0.6852,0.7453
6,1.3607383167989706,1.2422677427530289,0.9996,0.9992,0.685,0.7443
7,1.3577326312521385,1.2407368972249653,0.9996,0.9992,0.686,0.7442
8,1.3559659987855808,1.2389834944320761,0.9995,0.999,0.6856,0.7438
9,1.3588301900627466,1.2403386559175409,0.9994,0.9989,0.684,0.7419
10,1.3619391949494382,1.241402769866197,0.9994,0.9989,0.6853,0.743
11,1.357212477732331,1.2410581526548967,0.9994,0.9989,0.6837,0.7409
12,1.3578371596828411,1.242006444412729,0.9994,0.9989,0.6845,0.7409
13,1.3564750557768859,1.2400600534418356,0.9994,0.9988,0.6868,0.7432
14,1.3587592790990117,1.238998550435771,0.9994,0.9988,0.6867,0.7441
15,1.356609743263216,1.2392961175545403,0.9994,0.9988,0.686,0.743
16,1.356022745762265,1.2374105816302092,0.9994,0.9988,0.6841,0.7416
17,1.3577019817162634,1.240276509652967,0.9994,0.9988,0.6845,0.7408
18,1.3550888476631207,1.2385782314383464,0.9994,0.9989,0.6845,0.7411
19,1.3578741083002002,1.239304090971532,0.9994,0.9989,0.6848,0.7416
20,1.3593562843651976,1.241178941467534,0.9994,0.9988,0.6857,0.7421
21,1.3573408808985525,1.2393536541772925,0.9994,0.9988,0.6841,0.7418
22,1.355798536125312,1.2383177954217661,0.9994,0.9988,0.6845,0.7411
23,1.359465993815023,1.2391040176153183,0.9994,0.9988,0.6845,0.7412
24,1.3556207937326485,1.2386904643929524,0.9994,0.9988,0.6855,0.7416
25,1.359901034809635,1.240520179271698,0.9994,0.9988,0.6847,0.7413
26,1.3613476547470236,1.2415165577245795,0.9994,0.9988,0.6851,0.7418
27,1.356901279309901,1.239545754764391,0.9994,0.9988,0.6856,0.7424
28,1.3589731546548696,1.2424520228220068,0.9994,0.9988,0.684,0.7405
29,1.3606676200988368,1.241772916653882,0.9994,0.9988,0.6843,0.7411
30,1.3572129912492705,1.2388813417890798,0.9994,0.9988,0.6847,0.7419
31,1.359491582659351,1.2397655734549398,0.9994,0.9988,0.6844,0.7413
32,1.3556905673995028,1.2374988392643307,0.9994,0.9988,0.6858,0.743
33,1.3573087766962249,1.2403572577497233,0.9994,0.9989,0.6852,0.7416
34,1.3595673977545906,1.2405883494926535,0.9994,0.9988,0.6845,0.7411
35,1.3584204527495278,1.2389008454654529,0.9994,0.9988,0.6879,0.7446
36,1.3596677033136306,1.241021194535753,0.9994,0.9988,0.6844,0.741
37,1.3576721156515725,1.239285612883775,0.9994,0.9988,0.6871,0.7439
38,1.3589456486209919,1.239670122447221,0.9994,0.9988,0.6861,0.7433
39,1.3571607791460478,1.2412592075441196,0.9994,0.9988,0.684,0.7407
40,1.3577902762124954,1.2411381641159887,0.9994,0.9988,0.6843,0.7407
41,1.3580658335175793,1.2393260546352551,0.9994,0.9988,0.6843,0.7412
42,1.3571372135047841,1.2376748744560324,0.9994,0.9988,0.6852,0.7423
43,1.3587229102011247,1.240037146469821,0.9994,0.9988,0.6844,0.7414
44,1.3550956240290772,1.2390263093554454,0.9994,0.9988,0.6836,0.7406
45,1.3562886851366196,1.2391371914873952,0.9994,0.9989,0.6842,0.7412
46,1.356750050136788,1.2362228891123896,0.9994,0.9988,0.6852,0.7435
47,1.3556276568776,1.237339304841083,0.9994,0.9989,0.6842,0.7412
48,1.3599744793621729,1.239335017359775,0.9994,0.9989,0.6849,0.7418
49,1.3567472656046025,1.24006306282852,0.9994,0.9988,0.6842,0.7411
