epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.8382524600630485,1.7412474636356206,0.8454,0.7323,0.2502,0.2935
1,1.7651854566071978,1.7305149525531884,0.8454,0.7323,0.2653,0.3076
2,1.726702716494391,1.7242312845754009,0.8454,0.7323,0.283,0.3188
3,1.7081969178790801,1.7212272938740611,0.8454,0.7323,0.3266,0.3371
4,1.6990774019980561,1.7192542112948046,0.8457,0.7329,0.3076,0.3454
5,1.6942595971349825,1.7183192185577916,0.855,0.7612,0.3289,0.3467
6,1.6931695874909813,1.7183836811090232,0.8515,0.7655,0.3405,0.3514
7,1.6916497577478942,1.7185005875616115,0.8355,0.7556,0.3683,0.3679
8,1.6906804641814293,1.7185880697847948,0.8161,0.7386,0.3754,0.3806
9,1.6904841214690827,1.7192063126952863,0.802,0.7261,0.3728,0.391
10,1.690118641042622,1.719608177442919,0.7858,0.7125,0.3669,0.3883
11,1.690218976036504,1.7196474402759208,0.7747,0.7025,0.362,0.3913
12,1.6912179657920405,1.7202166692381764,0.7597,0.6894,0.3595,0.3898
13,1.6887572012174281,1.7201612752906243,0.7659,0.6949,0.3521,0.3865
14,1.69192759406632,1.72106771612372,0.7684,0.697,0.3513,0.3819
15,1.6916086322864623,1.7216615441531071,0.7656,0.6947,0.3612,0.3851
16,1.6915859929822263,1.7215595536989203,0.7765,0.7042,0.3571,0.3827
17,1.6914763145516516,1.7217765186989256,0.7749,0.7028,0.362,0.3907
18,1.6908727173831388,1.7216503860612795,0.7772,0.7047,0.362,0.3891
19,1.6898185202147016,1.721531494492625,0.7742,0.7021,0.3526,0.3824
20,1.691091289032094,1.72149029105518,0.7659,0.6946,0.3571,0.3885
21,1.6894765785015042,1.7209531155778615,0.7574,0.6878,0.3676,0.3934
22,1.6917235391449448,1.7213665124172817,0.761,0.6906,0.3585,0.3874
23,1.6912003768645432,1.7212209839677606,0.7693,0.6978,0.3588,0.3851
24,1.6903392915533928,1.7212327248037118,0.7629,0.6924,0.3587,0.3847
25,1.6910749397068616,1.7211487820220095,0.7655,0.6947,0.3613,0.385
26,1.692316021518254,1.7214114077613079,0.7553,0.6858,0.3623,0.3945
27,1.6913538519599538,1.7216600404788496,0.7601,0.6898,0.3681,0.3913
28,1.6910476978779712,1.7211208865366268,0.7554,0.686,0.3468,0.3904
29,1.6907856503613905,1.720747238576668,0.7542,0.6852,0.3507,0.3892
30,1.69197413363448,1.7214495178967586,0.7753,0.7033,0.3628,0.3917
31,1.6909591534891775,1.721009325571838,0.7591,0.6891,0.3619,0.3884
32,1.6889647862157176,1.7204537652592802,0.7598,0.6899,0.3507,0.3864
33,1.6896411999923873,1.7199920456808524,0.7507,0.6825,0.3568,0.3878
34,1.6901124378009078,1.7204621027467588,0.7569,0.6873,0.3497,0.3876
35,1.6903211614985352,1.720909546884856,0.7569,0.6873,0.3538,0.3875
36,1.6915018717593204,1.7215296863997955,0.7667,0.6957,0.3584,0.3842
37,1.6892680204328714,1.7212626611725967,0.7678,0.6965,0.3515,0.3796
38,1.6910777314271526,1.7217803523264217,0.7653,0.6942,0.3479,0.3797
39,1.689334370318453,1.72148165375378,0.7615,0.6912,0.36,0.3859
40,1.6900854492100328,1.721823797205487,0.7435,0.6764,0.3538,0.3873
41,1.6902857757355656,1.7211344349537796,0.7598,0.6898,0.3546,0.3913
42,1.6920113116775177,1.7214022864599596,0.7633,0.6924,0.3599,0.3895
43,1.691828803126947,1.7218665391078833,0.7567,0.6869,0.3612,0.3832
44,1.6912097477607797,1.7213380034901042,0.761,0.6906,0.3644,0.3926
45,1.690415244651669,1.721002297340033,0.7695,0.6979,0.3645,0.3932
46,1.690287980998456,1.7212710267996072,0.7764,0.7041,0.3652,0.3934
47,1.6924624118334197,1.721331938141917,0.7746,0.7023,0.3661,0.3929
48,1.6906949460397473,1.7215640084426291,0.7617,0.6909,0.3681,0.393
49,1.6906450557534394,1.7218171695782902,0.7702,0.6985,0.3633,0.3864
