epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.7244612080507,1.5590732261084455,0.7209,0.5885,0.3081,0.5087
1,1.593560106874461,1.5078106558884279,0.7567,0.6881,0.3857,0.5622
2,1.566437796113978,1.4875654219920615,0.7725,0.7011,0.4265,0.5716
3,1.5547775854640677,1.47995268803224,0.7744,0.7028,0.451,0.5751
4,1.55083030082819,1.4764594642079107,0.7645,0.6957,0.4604,0.5766
5,1.549061378212127,1.477909954961317,0.7858,0.7128,0.4561,0.5724
6,1.5491694913934966,1.4792982765842342,0.7962,0.7201,0.4699,0.5767
7,1.5473422193084534,1.4771740890605958,0.7931,0.7177,0.4574,0.5738
8,1.5473451707660362,1.4736700606147999,0.7779,0.7069,0.4683,0.5801
9,1.5484966531356386,1.4782181103143666,0.7998,0.7235,0.4677,0.5808
10,1.5467558460463264,1.4770411489082504,0.7958,0.7207,0.4714,0.5828
11,1.5464591602115478,1.4775488690326088,0.7917,0.7175,0.4678,0.5792
12,1.5490769841152414,1.4805137813916827,0.7886,0.715,0.4722,0.5787
13,1.5467248491804544,1.480134387260659,0.8006,0.7231,0.4582,0.5736
14,1.5489943398246715,1.4796861271448742,0.7784,0.7072,0.4722,0.5782
15,1.5500925808591615,1.4781131848403952,0.776,0.7054,0.469,0.584
16,1.545776874301288,1.4783354068066605,0.7826,0.7107,0.4623,0.5757
17,1.5486416129756038,1.4783309741033412,0.7783,0.7074,0.462,0.5801
18,1.548041007563037,1.477308701445191,0.7917,0.7174,0.4689,0.5821
19,1.5492142593829006,1.48043839241329,0.7926,0.7178,0.4664,0.5771
20,1.5454685906200256,1.4778182825223232,0.7954,0.7199,0.4679,0.5806
21,1.5476362853056556,1.4791606070262244,0.7899,0.7163,0.4761,0.5809
22,1.547396031156459,1.477539075213456,0.7842,0.7118,0.4751,0.5829
23,1.5486693399654459,1.4797356250873894,0.7862,0.7138,0.4697,0.58
24,1.5487493226003268,1.4812532719482676,0.786,0.7135,0.4577,0.5735
25,1.5479873597463816,1.478048515617022,0.7865,0.7132,0.4654,0.5811
26,1.549853205364642,1.480140804253787,0.7948,0.7197,0.4567,0.5756
27,1.5479528281037307,1.477404001181806,0.7851,0.7128,0.4681,0.5816
28,1.5470517861115838,1.479335667353918,0.7868,0.7138,0.4665,0.5774
29,1.5469862302513275,1.4759768472153725,0.7933,0.7187,0.4684,0.5808
30,1.5481236836322108,1.4775965796613297,0.7879,0.7146,0.4646,0.5797
31,1.5487044849667688,1.481347795338512,0.7939,0.7188,0.4689,0.5782
32,1.5468304164371693,1.4805017255680053,0.7833,0.7112,0.4641,0.5773
33,1.5476045165833492,1.4776707871138555,0.7914,0.717,0.4685,0.5858
34,1.5490352260813474,1.4787211527124335,0.7895,0.716,0.4645,0.5785
35,1.5474045691660925,1.4760392167891823,0.7909,0.7173,0.4601,0.5788
36,1.5486181981525624,1.4785476926291088,0.785,0.7126,0.4594,0.578
37,1.5471489893504733,1.4806203977553138,0.7964,0.7209,0.4597,0.5763
38,1.5481368042429815,1.480466766040411,0.7816,0.7098,0.4721,0.579
39,1.550116243507881,1.477678332962818,0.7818,0.7101,0.4662,0.5821
40,1.5486933966846619,1.4781352563908225,0.7878,0.7142,0.4665,0.5813
41,1.548981724588561,1.4770947282003895,0.7689,0.6996,0.466,0.5804
42,1.5470638407162076,1.4810741821154332,0.7885,0.7152,0.4646,0.5727
43,1.548920167931195,1.4786408518820258,0.7921,0.7176,0.464,0.5812
44,1.5455007250334287,1.47718464931953,0.793,0.718,0.466,0.579
45,1.5498084353989567,1.4818228478246778,0.7856,0.7129,0.4641,0.5755
46,1.5474514864800146,1.4784046226591285,0.7841,0.7121,0.4577,0.5759
47,1.5463839263435384,1.478070826741797,0.7814,0.7098,0.4712,0.5797
48,1.5476089583151535,1.4769767215707625,0.7907,0.7168,0.4668,0.5802
49,1.5468464811537563,1.4767137926040925,0.8059,0.7255,0.4729,0.5808
