epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.6848249158745419,1.5703554108862732,0.7284,0.5949,0.5045,0.6224
1,1.649659864308031,1.5472278565250936,0.7606,0.6901,0.5117,0.6393
2,1.644602071543271,1.5430027755013462,0.772,0.7009,0.5151,0.6383
3,1.6433623431532074,1.5534085870779784,0.773,0.7016,0.5347,0.6451
4,1.6413246953677119,1.5483438212455474,0.7756,0.7046,0.525,0.6438
5,1.6421056758978005,1.5505124576534262,0.7778,0.7068,0.5018,0.6301
6,1.640846139951473,1.5542441608172706,0.7795,0.7078,0.5232,0.636
7,1.6406471292125135,1.5517947926415632,0.7938,0.7189,0.507,0.6085
8,1.640209401475972,1.5530063777419008,0.7865,0.7137,0.5157,0.618
9,1.6405296931216191,1.5564501964154336,0.7804,0.7089,0.5048,0.6024
10,1.6404365218128387,1.5553715879567112,0.7796,0.7088,0.5269,0.6362
11,1.6401337963042273,1.5491356154558071,0.7995,0.7228,0.4845,0.6232
12,1.641135915204764,1.563783991865174,0.7765,0.7057,0.5035,0.5966
13,1.639703323654534,1.5579554668093651,0.7852,0.7124,0.5171,0.6176
14,1.6422278737199718,1.5626071813694329,0.778,0.7069,0.5074,0.6359
15,1.6396076879229406,1.5605943832040823,0.7672,0.6981,0.4982,0.6064
16,1.6410261597336129,1.56115902675486,0.7849,0.7124,0.5158,0.6339
17,1.6410243939657743,1.557114315825486,0.788,0.7147,0.4822,0.6196
18,1.6396649566031893,1.563091712810326,0.7933,0.7183,0.5058,0.6246
19,1.641181133707259,1.5571003549647133,0.7942,0.7191,0.4855,0.6242
20,1.6400140859878347,1.5518366484760908,0.8027,0.7236,0.503,0.6131
21,1.6413385928151463,1.5584708696587264,0.7834,0.7114,0.4896,0.6262
22,1.6396812236909841,1.5634187547453884,0.7866,0.7137,0.4698,0.6149
23,1.6414815216703187,1.5549290835692282,0.7798,0.7089,0.515,0.6348
24,1.6410675833807067,1.5561007571682706,0.7975,0.7215,0.4918,0.6287
25,1.6396836145170803,1.5650305222936614,0.7937,0.7191,0.5161,0.6185
26,1.6390674209088798,1.5625462929958123,0.7977,0.7215,0.5195,0.6097
27,1.6397410686515688,1.5699573104731595,0.7968,0.721,0.5146,0.6301
28,1.639653947530438,1.570164816696558,0.7932,0.7182,0.5029,0.6248
29,1.640266494267183,1.5670677144441578,0.7752,0.7048,0.5062,0.5994
30,1.6408448790839876,1.566202435301942,0.7825,0.7107,0.4814,0.6149
31,1.6401729568720496,1.566064134033763,0.7956,0.7201,0.5163,0.6272
32,1.640732101957741,1.5666724664682827,0.7922,0.7178,0.4715,0.6087
33,1.6412593172146723,1.5596802483965486,0.7743,0.7039,0.5089,0.6158
34,1.6410826382175365,1.5664180593147172,0.7869,0.714,0.4821,0.616
35,1.639432537777038,1.5577087379228376,0.7837,0.7114,0.4801,0.6147
36,1.6398238697798246,1.5665775172598144,0.783,0.7113,0.4942,0.6261
37,1.641245029807407,1.563250523194712,0.7913,0.7174,0.4764,0.6084
38,1.6400595920787882,1.5631668873110636,0.7906,0.717,0.5141,0.6316
39,1.6403668892004128,1.5694672078967424,0.7771,0.7064,0.4956,0.6118
40,1.6388137458332022,1.5684545682407813,0.7809,0.7092,0.4983,0.6118
41,1.6381572754534865,1.5565826035932822,0.8003,0.7235,0.4817,0.6186
42,1.6400740662051132,1.5706606289356368,0.782,0.7099,0.5135,0.6215
43,1.6381116484931673,1.5648221327327294,0.7885,0.7149,0.5023,0.626
44,1.6400797728360172,1.5714701841742709,0.7944,0.7195,0.5136,0.607
45,1.640297151212667,1.5719693076907764,0.7893,0.7155,0.5038,0.6239
46,1.6390369883108518,1.568069438359744,0.7915,0.7172,0.5159,0.6249
47,1.6391228480111382,1.563481995273495,0.7823,0.711,0.4857,0.621
48,1.638943389492895,1.5700897171556785,0.7828,0.7106,0.5065,0.6253
49,1.641304298168152,1.5663260317245018,0.7735,0.7033,0.4857,0.6194
