epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.7304384810832998,1.7123213418051921,0.8454,0.7323,0.2814,0.3512
1,1.6882955197660316,1.6969369619189414,0.8454,0.7323,0.3074,0.3682
2,1.677852571119556,1.6893743460782096,0.8782,0.8103,0.3732,0.405
3,1.6702288546117612,1.6846167882624614,0.8709,0.8077,0.3916,0.4177
4,1.6742647679240001,1.68560840797015,0.8639,0.8016,0.3678,0.4016
5,1.6675478328952407,1.6814653740420362,0.8573,0.7951,0.4091,0.4292
6,1.6717218374203502,1.6845224031562969,0.8549,0.7926,0.373,0.404
7,1.6687624308483255,1.6817225755028458,0.8547,0.7925,0.4258,0.4381
8,1.6666738718911542,1.681393314328828,0.85,0.7878,0.4124,0.4296
9,1.6677134784527627,1.6802860037963279,0.8536,0.7917,0.4363,0.4457
10,1.6711922766303668,1.6840446164168001,0.8542,0.7921,0.4282,0.4376
11,1.6706261427790416,1.682727073906829,0.8499,0.7877,0.4095,0.4277
12,1.6667078155922062,1.680816387925537,0.8494,0.7872,0.4275,0.4403
13,1.6721104559994266,1.6814027881417664,0.8499,0.7876,0.4356,0.4473
14,1.6717139883494683,1.6838401683921977,0.8474,0.785,0.4284,0.4386
15,1.6668127395989036,1.6790888872269396,0.8505,0.7884,0.4598,0.4659
16,1.6691541584579774,1.6813257799639723,0.8499,0.7877,0.4466,0.4535
17,1.6660078256178164,1.68111602942831,0.8491,0.7868,0.4424,0.4492
18,1.666668002304691,1.680581773299516,0.8487,0.7864,0.4565,0.4607
19,1.671744169003349,1.6828086759911074,0.8454,0.7831,0.4353,0.4455
20,1.6685279067299266,1.6834081544384936,0.8444,0.782,0.4329,0.4414
21,1.6678785314507634,1.6820504967235188,0.8461,0.7836,0.4521,0.4572
22,1.6667509037572243,1.6827357992082195,0.8477,0.7854,0.4547,0.4584
23,1.6686541421757755,1.6810986565929626,0.8477,0.7853,0.4602,0.4639
24,1.6703086422391957,1.6831145260978666,0.8479,0.7856,0.454,0.4571
25,1.664595518949045,1.6801577299961206,0.8485,0.7862,0.4545,0.4587
26,1.6632848646784613,1.6788403808814774,0.848,0.7857,0.4618,0.4648
27,1.6685479351981685,1.6812813537826865,0.8506,0.7885,0.444,0.449
28,1.6662038632241203,1.6802103140835087,0.8524,0.7904,0.4605,0.4639
29,1.6672246562933355,1.6798706561199073,0.8476,0.7853,0.4642,0.4657
30,1.6672491077095324,1.6812507395068974,0.848,0.7857,0.4631,0.4661
31,1.667371590351056,1.6806583957099095,0.8471,0.7847,0.47,0.4713
32,1.6707993551843563,1.6809932837670454,0.8483,0.786,0.4627,0.4675
33,1.666218481290493,1.6797143266947996,0.8506,0.7884,0.4604,0.467
34,1.6727113327117027,1.6825946922465966,0.8513,0.7893,0.4507,0.4577
35,1.6646478740563122,1.6799714785277076,0.8518,0.7898,0.4566,0.4631
36,1.6701653247777462,1.6825868587125525,0.8511,0.789,0.4417,0.4499
37,1.6689102470983752,1.6819332766430573,0.8494,0.7872,0.4465,0.4536
38,1.6661948342645845,1.681037484832076,0.8511,0.789,0.4499,0.456
39,1.66818446019014,1.6809038941952292,0.8534,0.7915,0.4514,0.4566
40,1.670637448265522,1.6828219645013114,0.8538,0.7919,0.4559,0.4588
41,1.6674901539054605,1.6809569474453578,0.8526,0.7906,0.455,0.4597
42,1.669047370253359,1.6806666006857744,0.8483,0.786,0.4657,0.4701
43,1.669043823831478,1.6819087236224326,0.852,0.79,0.4609,0.4634
44,1.6664048795072426,1.6801547016708636,0.8484,0.7862,0.4646,0.4682
45,1.670001386506466,1.6826361039165776,0.8461,0.7835,0.4513,0.4548
46,1.6640493638772633,1.6806886968694532,0.8506,0.7885,0.4499,0.4565
47,1.6660232968914443,1.6808443478760289,0.852,0.79,0.448,0.4533
48,1.6671903318635288,1.6807034696120562,0.85,0.7878,0.455,0.4577
49,1.6660779686253075,1.6805278415843652,0.8473,0.7849,0.4353,0.4443
