epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.6147886152608957,1.3994326859795156,0.8731,0.8005,0.5704,0.6824
1,1.4390001212807486,1.322623162636136,0.8714,0.808,0.5819,0.6765
2,1.4093657752167956,1.2949234646773404,0.8656,0.8043,0.5864,0.6773
3,1.4064451673856149,1.287503379368716,0.8626,0.8019,0.5873,0.6751
4,1.4099088128586978,1.2784992566234188,0.8599,0.7997,0.5895,0.678
5,1.4061109059211114,1.2827759230731266,0.861,0.8005,0.5896,0.6768
6,1.4088147749793307,1.2802282041790083,0.8609,0.8004,0.5889,0.6755
7,1.410603363096556,1.2833342949274174,0.8601,0.7998,0.5898,0.6761
8,1.4022578767028981,1.2817607592182476,0.8602,0.7999,0.5903,0.6763
9,1.4010051148165443,1.2778945235004056,0.8605,0.8001,0.5906,0.6776
10,1.4065771022272995,1.2719604413430117,0.8611,0.8006,0.5918,0.6803
11,1.4011387145961944,1.2829540718625456,0.8598,0.7996,0.5896,0.674
12,1.4060076523364697,1.2769638062183877,0.8603,0.8,0.5914,0.6792
13,1.4049822770316025,1.277254781729627,0.8608,0.8003,0.5902,0.6767
14,1.4071871485729117,1.2781185940362079,0.8597,0.7995,0.59,0.6763
15,1.4083785053431515,1.2808519558067797,0.8593,0.7992,0.5912,0.6782
16,1.4073090301900706,1.2807419092040973,0.8608,0.8003,0.59,0.6752
17,1.405117366611167,1.2808269141783675,0.8599,0.7997,0.5906,0.6769
18,1.4018617767633115,1.2809667631859925,0.8608,0.8003,0.5891,0.6731
19,1.4063248582164551,1.2814177705640608,0.8613,0.8008,0.5912,0.6785
20,1.4041392411097924,1.281776322387262,0.8596,0.7994,0.5886,0.6725
21,1.4067176438136821,1.2861685481262999,0.8605,0.8002,0.5901,0.6747
22,1.4086236647807002,1.2836022599086867,0.8603,0.8,0.5896,0.6737
23,1.4045389949959217,1.2781593283622878,0.8613,0.8008,0.5906,0.6773
24,1.4065191752082158,1.277262393044633,0.8614,0.8008,0.5911,0.6783
25,1.404713237593914,1.2781449236037659,0.86,0.7997,0.5918,0.6798
26,1.4077230061871304,1.2793408605035321,0.8605,0.8001,0.5908,0.6783
27,1.4083745100137726,1.2842593185624258,0.8608,0.8003,0.5911,0.6778
28,1.4044830361949354,1.2863892296179509,0.8604,0.8,0.5899,0.6747
29,1.4047157816608642,1.2873012875090675,0.8595,0.7994,0.5902,0.6739
30,1.4040188323755796,1.2834185530274198,0.8613,0.8008,0.5903,0.6747
31,1.4013438817676878,1.283492951099232,0.8599,0.7997,0.5916,0.6774
32,1.404913610820745,1.2842824631615688,0.8617,0.8011,0.5896,0.6736
33,1.4067085161607524,1.280005049920148,0.8606,0.8002,0.5918,0.6803
34,1.4062063702300627,1.2773939399177678,0.8613,0.8008,0.5919,0.6805
35,1.3989057219154954,1.2855426526300795,0.861,0.8005,0.5898,0.6743
36,1.4059175641846593,1.2862652922436142,0.8621,0.8015,0.5902,0.6749
37,1.4063006416556056,1.2767670818313006,0.8605,0.8001,0.5916,0.6798
38,1.4066319646664576,1.2792524408930888,0.8605,0.8001,0.5914,0.6792
39,1.405166732063344,1.2795038746664729,0.8601,0.7998,0.592,0.6801
40,1.404109720367968,1.281042191790742,0.8614,0.8008,0.5906,0.6763
41,1.4063752336274407,1.2830015211224226,0.8606,0.8002,0.5907,0.6765
42,1.4042444448097948,1.2798214223741495,0.8611,0.8006,0.5916,0.6789
43,1.4050058694828094,1.2740247365180144,0.8603,0.8,0.5908,0.679
44,1.4035216029189943,1.2785463934129626,0.8608,0.8003,0.5901,0.6764
45,1.4064561618734102,1.2820670527104197,0.8615,0.801,0.5912,0.6776
46,1.4065834204777483,1.2825511739359667,0.8606,0.8002,0.5912,0.6776
47,1.4071043524248847,1.2848984533069536,0.8613,0.8008,0.5908,0.6767
48,1.4012007910550748,1.2781459457161024,0.8605,0.8001,0.5905,0.6768
49,1.4060480555109383,1.278791951835981,0.8594,0.7993,0.5905,0.6759
