epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.7489827816777268,1.6787675037938803,0.8509,0.7475,0.2477,0.2775
1,1.6729706808806097,1.6514848289067066,0.8767,0.8175,0.5837,0.6667
2,1.6650644861734831,1.642340583319149,0.8719,0.8144,0.6028,0.6994
3,1.6676786505575205,1.643169323658349,0.8664,0.8096,0.6062,0.7041
4,1.666736265629609,1.6404306934811073,0.8682,0.8111,0.5987,0.6972
5,1.666769945336906,1.6452012078583735,0.8656,0.8089,0.6074,0.7018
6,1.663984967084399,1.6365470896137058,0.8707,0.8135,0.6011,0.703
7,1.6652883344208846,1.6388057797239097,0.8719,0.8145,0.6048,0.7046
8,1.666037365675605,1.643400226273365,0.873,0.8153,0.6049,0.6992
9,1.6659094737126277,1.6403667367066042,0.8664,0.8096,0.6043,0.7018
10,1.6652301759397319,1.6414472860312528,0.8691,0.8121,0.601,0.6961
11,1.6662446627250085,1.6434122299223395,0.8713,0.814,0.6009,0.6971
12,1.6663897091260955,1.639065662744633,0.8744,0.8165,0.6009,0.6993
13,1.6667384983531992,1.6454546842878874,0.8696,0.8124,0.6068,0.7002
14,1.6662178300419916,1.639650524818336,0.863,0.8065,0.6044,0.7014
15,1.6672354110514138,1.6386052322189564,0.8694,0.8124,0.6007,0.7019
16,1.6666173419522354,1.6422500744090516,0.8643,0.8077,0.6011,0.699
17,1.66529338943231,1.6393445315783703,0.8744,0.8165,0.5974,0.6973
18,1.6690064318458344,1.6406286576778275,0.8718,0.8144,0.6006,0.6991
19,1.6665829229576201,1.6383663661922445,0.8632,0.8066,0.6027,0.7021
20,1.6674377582275584,1.6431774700117243,0.8614,0.8049,0.6012,0.6962
21,1.6659296268809696,1.6432318520678046,0.8719,0.8145,0.6052,0.6992
22,1.6660447723827565,1.637574473246313,0.8716,0.8142,0.5992,0.7001
23,1.6661593346443986,1.639466049433415,0.8667,0.8098,0.5962,0.6935
24,1.6659102819326386,1.637785866485078,0.8703,0.813,0.5983,0.6983
25,1.66535212814966,1.6387906373372698,0.8648,0.8082,0.6015,0.6983
26,1.665263576358952,1.6429328211787004,0.8707,0.8134,0.6006,0.6937
27,1.6670072414672659,1.6441855244028931,0.8729,0.8152,0.6047,0.6984
28,1.661998610123399,1.6358074484769658,0.8695,0.8125,0.5989,0.7007
29,1.6662487797933168,1.6399746811290856,0.8678,0.8109,0.5975,0.6932
30,1.6654375630285125,1.6390767371555444,0.8722,0.8146,0.5972,0.6931
31,1.6664859645404613,1.643478728562511,0.875,0.8169,0.6048,0.6983
32,1.6662322465399533,1.6414041704088036,0.8719,0.8144,0.604,0.7038
33,1.6636165754390333,1.6395962707223655,0.8762,0.8175,0.5996,0.6961
34,1.6676371667524232,1.6414160583157948,0.8739,0.816,0.5976,0.6932
35,1.6638011388500427,1.6359182044739868,0.8719,0.8145,0.602,0.7035
36,1.6666644445622947,1.6388551520178523,0.8677,0.8107,0.6044,0.7031
37,1.6636249402473713,1.6376361562934938,0.8639,0.8073,0.6082,0.7078
38,1.6678039260821254,1.6389858161313382,0.8618,0.8053,0.6015,0.7014
39,1.6671096899939468,1.644774866071104,0.8716,0.8142,0.6028,0.6988
40,1.666206236701429,1.640022824510643,0.8621,0.8056,0.5995,0.6951
41,1.6658802133656307,1.6381679940091607,0.8691,0.8121,0.6028,0.7033
42,1.6645309227056782,1.6351584714535532,0.8726,0.8151,0.5982,0.6998
43,1.6650538664281527,1.6409028581965333,0.8682,0.8112,0.6018,0.6972
44,1.6677177769752016,1.645412080010549,0.8678,0.8109,0.6033,0.6943
45,1.6675727756333287,1.6441166909447666,0.8666,0.8098,0.5997,0.6951
46,1.6658123279439991,1.6398681814980969,0.8738,0.8159,0.6037,0.7039
47,1.6653917005745107,1.6407693953065001,0.8751,0.8169,0.5974,0.6942
48,1.667076718269672,1.6400528588123269,0.8563,0.8,0.5929,0.6889
49,1.6642114775408485,1.6381866997959211,0.8698,0.8127,0.5971,0.6939
