epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.7313859390565398,1.644388450705546,0.0,0.2755,0.3462,0.2762
1,1.6225846562853437,1.5886784968804701,0.8591,0.8021,0.6285,0.7164
2,1.6130606232207105,1.5770653882482422,0.8713,0.8134,0.6504,0.7517
3,1.6110345955598495,1.5714713853708178,0.8747,0.8162,0.651,0.755
4,1.613999560547937,1.5724415609057723,0.8724,0.8145,0.6528,0.7576
5,1.6138159643882002,1.5686589632496855,0.8719,0.814,0.6514,0.7571
6,1.6183638367788942,1.5732272394033369,0.873,0.8149,0.6492,0.7539
7,1.610410251879576,1.569783344078336,0.8727,0.8146,0.6523,0.7574
8,1.611977101367799,1.568095038518756,0.8714,0.8135,0.6541,0.7627
9,1.6127359405854715,1.5684973054197477,0.8732,0.8151,0.6528,0.7605
10,1.6169726280346461,1.5734807349815858,0.873,0.8149,0.655,0.7611
11,1.6115020278766077,1.568822124034974,0.8734,0.8153,0.6506,0.7591
12,1.6161406560332392,1.5699734941188688,0.8745,0.8161,0.6507,0.7596
13,1.6125452910850009,1.5712637868995503,0.8729,0.8148,0.6476,0.7514
14,1.6145354816294746,1.5730526845227295,0.8693,0.8114,0.6511,0.7547
15,1.6125178498033856,1.56816666204477,0.8724,0.8144,0.6552,0.7645
16,1.6131081865658425,1.5698137660849623,0.8706,0.8127,0.6539,0.7608
17,1.6144073797582998,1.5700700310259506,0.8737,0.8156,0.653,0.7583
18,1.6164155376397162,1.570938588719225,0.8725,0.8144,0.654,0.7624
19,1.6121598622329383,1.5660840242293355,0.8714,0.8135,0.6518,0.7618
20,1.6123126741905718,1.5662153549439217,0.8718,0.8139,0.6513,0.7612
21,1.61487490191755,1.5678613316825725,0.8726,0.8146,0.6511,0.7585
22,1.6121119157921215,1.5689164519139942,0.8723,0.8143,0.6527,0.762
23,1.614760513926183,1.5698601685985178,0.8732,0.8151,0.6514,0.7588
24,1.6114498054972937,1.5659098805442517,0.8741,0.8159,0.652,0.7587
25,1.6112843438329676,1.5688253365637743,0.8713,0.8134,0.6528,0.7551
26,1.615974891990444,1.5689534166570056,0.873,0.8148,0.6535,0.7611
27,1.6143946262723303,1.5709233156454545,0.873,0.8149,0.6553,0.762
28,1.613431970029551,1.5716083481716532,0.8745,0.8161,0.6529,0.7585
29,1.6103134935069765,1.5709568967832819,0.874,0.8159,0.6498,0.7519
30,1.6113903822795999,1.570186098359961,0.874,0.8158,0.6544,0.76
31,1.6151166804233357,1.570261939446018,0.8737,0.8156,0.6532,0.7586
32,1.610444118599968,1.567464765230361,0.8714,0.8134,0.6547,0.7623
33,1.6122712950450975,1.5644312063059351,0.8738,0.8156,0.6517,0.761
34,1.6115008393508656,1.5719485444451196,0.873,0.8149,0.6486,0.7482
35,1.6153492285463655,1.5706138195903088,0.8732,0.8151,0.6541,0.7617
36,1.6131402373562775,1.569037928220719,0.8728,0.8147,0.6504,0.7574
37,1.6115816367858802,1.5673265304102877,0.8729,0.8148,0.6502,0.7591
38,1.613957545536628,1.568628092295093,0.8742,0.8159,0.6516,0.7606
39,1.612826626750439,1.5689800193748529,0.8724,0.8144,0.6534,0.7618
40,1.6144796117943199,1.5703582729660666,0.8733,0.8152,0.6559,0.7637
41,1.6154859450100691,1.5717469851742798,0.8692,0.8113,0.6522,0.7584
42,1.6141624705361757,1.570667838574136,0.8727,0.8146,0.649,0.7533
43,1.6105863897022308,1.5654476945648519,0.8739,0.8158,0.6534,0.7621
44,1.6146411348235383,1.5672565606793392,0.8729,0.8148,0.653,0.7612
45,1.6126724761147921,1.5681722778056386,0.8725,0.8145,0.6544,0.7639
46,1.6128083938679598,1.5668767532506445,0.8723,0.8143,0.6539,0.7655
47,1.609871876596492,1.5670825744661556,0.8711,0.8131,0.6511,0.759
48,1.615226072574873,1.5706485741148661,0.8719,0.814,0.6514,0.7578
49,1.6141509135398253,1.5711122249570622,0.8728,0.8147,0.6528,0.7592
