epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.7205722278908218,1.637746466889701,0.0,0.2755,0.2206,0.2429
1,1.625421684486798,1.5910901380503568,0.849,0.792,0.6231,0.7039
2,1.6141151864244943,1.5771942017932081,0.8732,0.8151,0.6457,0.7441
3,1.6130321661299438,1.5714737709170572,0.8741,0.8159,0.647,0.748
4,1.6122304446678986,1.5708854276681592,0.8727,0.8146,0.6514,0.7548
5,1.616224896103123,1.5719641986144932,0.8711,0.8132,0.6543,0.7594
6,1.6125312612217668,1.5688395403251159,0.8729,0.8148,0.6538,0.7599
7,1.614355846005508,1.5691639875379337,0.8713,0.8133,0.6523,0.7574
8,1.614491950329095,1.571346550967316,0.8734,0.8153,0.6537,0.7577
9,1.6145404289394265,1.5704532798788857,0.8729,0.8148,0.6535,0.7578
10,1.6125269854491837,1.5694758934573338,0.8739,0.8158,0.6512,0.7556
11,1.611136345541469,1.5672280647275112,0.8749,0.8164,0.6537,0.7609
12,1.613313596864168,1.571164991988265,0.8743,0.8159,0.6518,0.7543
13,1.610353619586119,1.5680324407174822,0.8742,0.8159,0.6535,0.7578
14,1.6127565026532136,1.5666504163034631,0.8729,0.8148,0.6517,0.7581
15,1.6134667240586145,1.5694362533925774,0.8747,0.8162,0.6538,0.7595
16,1.6149709002376018,1.571238569118157,0.873,0.8149,0.6553,0.7604
17,1.6125808999865272,1.5705546251207207,0.8727,0.8147,0.651,0.7555
18,1.6135791804778883,1.5683885931798633,0.8703,0.8124,0.6515,0.7583
19,1.6119452623667283,1.563212502699946,0.8731,0.815,0.6505,0.7598
20,1.6150548824769553,1.5707047461783155,0.8745,0.8161,0.6509,0.7552
21,1.6133853694010545,1.5682836895152268,0.875,0.8165,0.6503,0.7572
22,1.614213239922653,1.5726122740502024,0.8741,0.8159,0.6532,0.7576
23,1.614011083448937,1.5731735433559444,0.8727,0.8146,0.6529,0.7536
24,1.6151251233777157,1.571050574878143,0.8709,0.813,0.6504,0.7541
25,1.6118280165047802,1.5713471191245718,0.8727,0.8146,0.6515,0.7536
26,1.6139997687701475,1.5716964358439969,0.8725,0.8144,0.6515,0.7551
27,1.6170659558841065,1.5697917909322894,0.8747,0.8162,0.6553,0.7628
28,1.613597809148482,1.5700029155157091,0.8726,0.8146,0.6512,0.7547
29,1.6129377015199442,1.5668351288018656,0.8744,0.8161,0.6497,0.7569
30,1.6121318194297094,1.5715021127981057,0.8737,0.8156,0.6493,0.7512
31,1.6161002964299838,1.5712335422613821,0.8718,0.8139,0.6565,0.7628
32,1.6144742068102895,1.5742690354032964,0.8722,0.8142,0.6527,0.7543
33,1.6112322336115934,1.5720474401996412,0.8728,0.8147,0.6515,0.7527
34,1.6164294702772806,1.5705541171633057,0.8741,0.8159,0.6511,0.7564
35,1.6146361852737459,1.5753383699395347,0.8745,0.8161,0.6547,0.7563
36,1.6145910319140493,1.5714466690847095,0.8732,0.815,0.655,0.7611
37,1.612480520621388,1.570142338347333,0.8734,0.8152,0.6516,0.7559
38,1.6093302400226632,1.5670994509984015,0.874,0.8158,0.6555,0.7619
39,1.6116724056590326,1.5670773928583774,0.873,0.8149,0.6493,0.7535
40,1.6119505154563887,1.5652584242242549,0.8713,0.8134,0.6527,0.7621
41,1.6117859735369433,1.5635394431044813,0.8727,0.8147,0.65,0.7604
42,1.6141163366240765,1.5685414152376662,0.8749,0.8163,0.6518,0.7578
43,1.6127485289868997,1.5717811084507876,0.8731,0.815,0.6491,0.7531
44,1.6123331992594667,1.5681834047429062,0.8737,0.8156,0.6501,0.7557
45,1.613108267448972,1.5691756372274923,0.8742,0.8159,0.6462,0.75
46,1.6121692971877946,1.566874736896085,0.8742,0.8159,0.6536,0.7612
47,1.6151122723342481,1.5672654367547572,0.8711,0.8131,0.6501,0.7574
48,1.613131060895608,1.5682258039670391,0.8726,0.8146,0.6535,0.7604
49,1.6150617129120797,1.5696841641601584,0.8734,0.8153,0.6502,0.7534
