epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.6799249253791586,1.6218646092758284,0.8393,0.7231,0.5907,0.7419
1,1.645971816714942,1.6064093088179083,0.8412,0.7271,0.617,0.75
2,1.6458204512728936,1.6184215152692927,0.8821,0.8202,0.6436,0.7521
3,1.646286107105665,1.6155874289964374,0.8684,0.8111,0.6309,0.7421
4,1.6462912631445918,1.6085806824163718,0.8803,0.8206,0.6171,0.7392
5,1.6474309592885743,1.6076309938510038,0.8131,0.7574,0.6032,0.7277
6,1.6464013572713108,1.616049747718008,0.8664,0.8093,0.6336,0.7455
7,1.6467150565958149,1.6106351098855778,0.826,0.77,0.6173,0.7305
8,1.6471103908054392,1.61031169194594,0.882,0.8181,0.6211,0.7407
9,1.64571226844737,1.6159986288923966,0.8815,0.8206,0.6254,0.7327
10,1.645822739016156,1.6040493920239054,0.8708,0.8134,0.5946,0.7269
11,1.6462371055264056,1.6111119620687744,0.8802,0.8205,0.6116,0.7264
12,1.6459995627561361,1.6061640601409108,0.8815,0.8209,0.6097,0.73
13,1.6454103632536112,1.6133690180870965,0.8768,0.8182,0.6167,0.7342
14,1.646844506263733,1.6093995439048618,0.861,0.804,0.5964,0.7222
15,1.6466262523944561,1.606471909710575,0.8758,0.8174,0.6176,0.7377
16,1.6461311544758572,1.6078670206492627,0.8707,0.8133,0.6156,0.7303
17,1.6465125404080914,1.605375516777884,0.8747,0.8167,0.6118,0.732
18,1.6446961169217562,1.6050542944686235,0.8819,0.8203,0.6045,0.7317
19,1.645928771489495,1.6044798821953856,0.844,0.7876,0.6092,0.7286
20,1.6465458239105082,1.6111680256032548,0.8555,0.7988,0.6177,0.7278
21,1.6466950997907857,1.6067398079874773,0.8781,0.8191,0.6173,0.734
22,1.6464129040506854,1.597310261382951,0.8546,0.7979,0.6041,0.739
23,1.6461793614319211,1.6051527587000354,0.87,0.8127,0.6188,0.7384
24,1.6466547691853672,1.6061635506120084,0.8585,0.8017,0.6242,0.7379
25,1.642608660364657,1.5927930543627435,0.8728,0.8151,0.6041,0.7315
26,1.6442875930896172,1.597270838606721,0.8626,0.8056,0.5908,0.7206
27,1.6450849153318836,1.5999718896239747,0.8774,0.8188,0.6194,0.7368
28,1.646982490779234,1.595745475008217,0.8728,0.8151,0.5896,0.7284
29,1.6458514833956246,1.6066800237032186,0.8742,0.8163,0.6191,0.7355
30,1.645270893206963,1.6023484868025846,0.8759,0.8175,0.6076,0.735
31,1.6475314779370154,1.5950909889305727,0.8735,0.8157,0.5813,0.7271
32,1.6456428572575041,1.5939924715298364,0.8695,0.8122,0.5724,0.7216
33,1.647495650090969,1.6044143745443498,0.8799,0.8203,0.6062,0.7315
34,1.6480644322358644,1.6054232285623735,0.8773,0.8186,0.6165,0.7362
35,1.6453437213081896,1.5980110947775379,0.8508,0.7942,0.6201,0.7387
36,1.645199537435324,1.5960026604647122,0.8703,0.8129,0.6159,0.7367
37,1.6456816797231173,1.5983666014803413,0.8669,0.8098,0.6205,0.7391
38,1.6459292524373184,1.6033916204259666,0.8779,0.819,0.6212,0.7357
39,1.6469510259299442,1.601142294023836,0.8284,0.7724,0.6146,0.7356
40,1.6461032061425065,1.6046891474987992,0.8792,0.8199,0.6246,0.735
41,1.6462580103140612,1.6013986091864736,0.8403,0.7841,0.608,0.7262
42,1.645885399782373,1.598225656308626,0.8796,0.8201,0.6246,0.7366
43,1.6449049338896016,1.594484863519008,0.8652,0.8081,0.6097,0.7346
44,1.645617534769625,1.607318079702742,0.8779,0.8191,0.6275,0.7318
45,1.64301869794924,1.5982883990306274,0.8679,0.8106,0.6269,0.7406
46,1.646501662876625,1.5983415023111571,0.8808,0.8205,0.6186,0.7376
47,1.6455526413588688,1.5972824412039441,0.8728,0.8152,0.6196,0.7402
48,1.6457989007155522,1.5987916020805486,0.8689,0.8116,0.6177,0.7393
49,1.643390643897044,1.6026445790671247,0.878,0.8191,0.6276,0.7424
