epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.56177026317986,1.3711209108954983,0.8393,0.7231,0.6552,0.7516
1,1.4976512800002921,1.3379785693418287,0.8819,0.8177,0.6574,0.7549
2,1.4917582850557423,1.3376138911187814,0.872,0.8149,0.6571,0.7545
3,1.4883229594964247,1.3262758487809727,0.8701,0.8132,0.6539,0.7536
4,1.4922116340313414,1.3380090533201054,0.8718,0.8146,0.6568,0.7555
5,1.4918164279637982,1.3361295374972009,0.8706,0.8136,0.6569,0.7566
6,1.4878627330618133,1.3270150200151671,0.8656,0.8091,0.657,0.7574
7,1.4911218028644035,1.3388655026368488,0.8564,0.8003,0.6568,0.7568
8,1.4860423899771997,1.3310820196969357,0.8589,0.8029,0.6564,0.7562
9,1.489150097895048,1.3272270710514522,0.8626,0.8063,0.6564,0.7574
10,1.4927894925249034,1.332405083149754,0.8652,0.8088,0.6547,0.7552
11,1.4919755785313462,1.3379102511088934,0.8625,0.8063,0.6557,0.7561
12,1.4923268482286671,1.3358528346566283,0.8602,0.804,0.654,0.7558
13,1.493877492469565,1.3370396297559184,0.856,0.8,0.6533,0.7538
14,1.491277110671491,1.338339816004946,0.8669,0.8103,0.6557,0.756
15,1.4879315161104227,1.3327926090219344,0.8679,0.8112,0.6539,0.7557
16,1.4905334707912778,1.3408756287474382,0.8618,0.8055,0.6552,0.7559
17,1.4915361519833774,1.3395452302083415,0.8697,0.8129,0.6543,0.7557
18,1.4886780507684703,1.3398020210523685,0.8646,0.8083,0.657,0.7573
19,1.4932486549296493,1.3414617127989137,0.8681,0.8114,0.6561,0.7562
20,1.4922314126548464,1.3387607998134687,0.8684,0.8117,0.6557,0.756
21,1.4891410862893577,1.3362472291798473,0.8657,0.8092,0.6568,0.7563
22,1.494022220531256,1.3337173769843875,0.8638,0.8075,0.6548,0.7564
23,1.4897459688490202,1.3335273567164043,0.8656,0.8091,0.655,0.757
24,1.4925290909781064,1.3326723531837938,0.8651,0.8088,0.6558,0.7572
25,1.4902837296221554,1.3348741278754046,0.8634,0.8071,0.6561,0.7563
26,1.4931525750090653,1.3246749660975385,0.8615,0.8051,0.6539,0.757
27,1.4883105144576623,1.340471247804462,0.8581,0.8021,0.6553,0.7558
28,1.48888233383075,1.3336187794267966,0.8577,0.8016,0.6534,0.7546
29,1.49281841595546,1.3443871008392185,0.8607,0.8044,0.6562,0.7562
30,1.490393802088831,1.3386944323530487,0.8694,0.8126,0.6548,0.7545
31,1.487689546944292,1.3253160616862807,0.8652,0.8088,0.6546,0.756
32,1.4904165112213368,1.3305825115571062,0.8649,0.8085,0.6533,0.7559
33,1.4881177052104504,1.33238719383105,0.8687,0.8119,0.6549,0.7564
34,1.4892024343304673,1.3379039018933463,0.8672,0.8106,0.6551,0.7562
35,1.4900255488622094,1.3353726403204689,0.8661,0.8096,0.6557,0.7567
36,1.4924622073730043,1.338017667347044,0.8707,0.8138,0.6569,0.7575
37,1.4893817924536192,1.3337739162828124,0.8613,0.805,0.6553,0.7568
38,1.49016941384232,1.3291252003647285,0.8667,0.8102,0.656,0.7579
39,1.4939003652381644,1.3471525655724006,0.864,0.8076,0.6552,0.7542
40,1.4870563978699853,1.3411298990249634,0.8583,0.8023,0.6565,0.7569
41,1.4940049581091348,1.3371642224511282,0.8654,0.809,0.6538,0.7548
42,1.4943047796699667,1.3451822083907774,0.8578,0.8017,0.6545,0.7536
43,1.4899844929615447,1.3387530809294155,0.8602,0.804,0.6546,0.7542
44,1.493622771308656,1.3476123798256765,0.8576,0.8016,0.6557,0.7555
45,1.489994193498905,1.335375020626179,0.8603,0.8041,0.6567,0.7571
46,1.493683162513399,1.3356663452621311,0.859,0.803,0.6552,0.7569
47,1.4956274954330384,1.349104766370187,0.8562,0.8002,0.6559,0.7556
48,1.4927324903264285,1.3372711610265715,0.8691,0.8123,0.655,0.7565
49,1.4914533840566477,1.341164144452589,0.8638,0.8075,0.6562,0.7556
