epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.7319184701385801,1.658540277765068,0.0,0.2769,0.6123,0.704
1,1.6678051121671256,1.6383955741192826,0.7572,0.7028,0.6604,0.7552
2,1.662505030948224,1.6330985867745988,0.854,0.7931,0.6662,0.7608
3,1.6632825595472474,1.6291547292157222,0.8644,0.801,0.6688,0.7683
4,1.6615468200385097,1.631169894890772,0.8506,0.7902,0.6669,0.7592
5,1.662416543505236,1.6277673469025673,0.8319,0.7726,0.6695,0.7714
6,1.6637037245443076,1.6292316175563843,0.8619,0.7989,0.6673,0.7655
7,1.6606805637597406,1.6247474845096346,0.8522,0.7911,0.6708,0.7699
8,1.6638020933148716,1.6277271491008451,0.855,0.7938,0.6688,0.7667
9,1.6619840147324518,1.6275525715542631,0.8364,0.7774,0.6678,0.7645
10,1.6611510886753902,1.6272110019364185,0.8263,0.7673,0.6658,0.7626
11,1.6630853741017197,1.6311002528898604,0.8449,0.7849,0.6675,0.7633
12,1.660452308325932,1.6259057076023555,0.8536,0.7925,0.669,0.7697
13,1.6593094867325588,1.6273237435441268,0.8614,0.7995,0.6678,0.7645
14,1.662897523186251,1.630450046458733,0.8071,0.749,0.6674,0.7629
15,1.6589706200977852,1.6249772176518005,0.8239,0.765,0.6671,0.7647
16,1.6616878031261404,1.6275960033620163,0.8208,0.7617,0.6676,0.7633
17,1.6606652079747906,1.6234242250714606,0.8385,0.7789,0.666,0.7673
18,1.6654966773183655,1.6269873666300998,0.8407,0.7804,0.6668,0.7646
19,1.661556451880331,1.626140586226931,0.8408,0.7805,0.6669,0.7641
20,1.662498498547931,1.6248246193592568,0.8284,0.7696,0.6684,0.7676
21,1.661422718425012,1.6260203516054021,0.8537,0.7927,0.6697,0.7691
22,1.6616181482212613,1.6253215099305658,0.8427,0.7828,0.6707,0.7731
23,1.6597047991240372,1.6240951935670382,0.8555,0.7946,0.6696,0.7728
24,1.660332085441215,1.6234385625477312,0.8348,0.7757,0.6699,0.7734
25,1.6597780694379731,1.626262585211989,0.8123,0.7546,0.669,0.7669
26,1.6625253147882872,1.6294443257297506,0.8602,0.7983,0.6668,0.7615
27,1.6626128087151273,1.627256612863567,0.8514,0.7899,0.6685,0.7662
28,1.6622264865855008,1.6292823718195146,0.8349,0.7744,0.6661,0.76
29,1.6613810126439963,1.6262571648217303,0.8381,0.7783,0.6672,0.7673
30,1.6629219610115578,1.6279517499693874,0.8549,0.7934,0.6688,0.7703
31,1.662376387286882,1.628748015353554,0.8624,0.8,0.6691,0.7653
32,1.6612572200418467,1.6269071813765654,0.8265,0.7674,0.6672,0.7638
33,1.6633392569240903,1.6292826137054,0.8477,0.7874,0.6682,0.7629
34,1.6625709510766542,1.628631346939013,0.8577,0.7969,0.6695,0.7706
35,1.6615419556196551,1.6279463214887477,0.8307,0.7713,0.6658,0.7603
36,1.6635597844655066,1.6303871866738697,0.8499,0.7893,0.6675,0.7637
37,1.6608778800350918,1.6257451934497442,0.8498,0.7889,0.6698,0.7687
38,1.6628713344547414,1.6266439946734674,0.791,0.734,0.6689,0.7663
39,1.661651929983726,1.624337703072133,0.825,0.7653,0.6691,0.7681
40,1.6626914779924904,1.6301091651837252,0.8512,0.7904,0.6656,0.7566
41,1.6620616808494142,1.628993355996721,0.8292,0.7699,0.6699,0.7677
42,1.6585686196540963,1.627205551331063,0.8308,0.7716,0.6664,0.7601
43,1.662293798569343,1.625157882632311,0.8356,0.7758,0.6651,0.7633
44,1.661834622409679,1.6235005619453262,0.8418,0.7814,0.6684,0.7719
45,1.6599302015190731,1.6248109687398344,0.8451,0.7852,0.6682,0.7689
46,1.6618462593074819,1.6281793820891024,0.8206,0.762,0.6677,0.7671
47,1.6610668512649183,1.6286691105266686,0.8424,0.7825,0.666,0.7594
48,1.662705837020191,1.62875387691725,0.8575,0.7956,0.6669,0.7641
49,1.6629600571542582,1.6290741863343194,0.8568,0.7953,0.6673,0.7646
