epoch,beta,beta_event,train_recon,train_kl,train_raw_kl,train_interv,train_total,train_aux_pres_f1,train_aux_pres_acc,train_aux_type_f1,train_aux_type_acc,val_recon,val_kl,val_raw_kl,val_interv,val_total,val_aux_pres_f1,val_aux_pres_acc,val_aux_type_f1,val_aux_type_acc,val_ref_elbo
0,0.02,↑,2.9983226815026676,0.0,642.3426377054639,0.4548162931989053,5.416115973095694,0.846,0.7396,0.3884,0.5045,3.0155601390512476,658.0513727179854,658.0513727179854,0.43133615673362435,663.7751413485704,0.8635,0.7622,0.2761,0.4505,661.0669328570366
1,0.04,↑,2.9786788932934494,12.501267664928637,625.0634139180897,0.4533931694344846,17.9124545562767,0.8436,0.7424,0.4142,0.509,2.9993210499420826,623.5119175487782,623.5119175487782,0.43204412948001514,629.2069812182224,0.8461,0.7423,0.2772,0.449,626.5112385987203
2,0.06,↑,2.980251066020863,24.885900528309588,622.1475438149389,0.454330939063412,30.34124835522589,0.8266,0.7234,0.4196,0.5093,3.0181415292607756,621.5733087000909,621.5733087000909,0.4342002089405473,627.3018999357761,0.8338,0.7288,0.2522,0.456,624.5914502293517
3,0.08,↑,2.9888422447407317,37.26276254393383,621.0460729798871,0.45551127352400456,42.764175131221016,0.8074,0.7016,0.4169,0.5063,2.9812383907181874,620.5591625078416,620.5591625078416,0.43416418828618475,626.2701368817003,0.8084,0.7019,0.2778,0.4584,623.5404008985598
4,0.1,↑,2.9983232883279194,49.63284394849917,620.4105799239553,0.45635634933760066,55.17437118127675,0.7872,0.6791,0.408,0.5003,3.016966403433771,620.0754862407069,620.0754862407069,0.4356338901050163,625.8419861287782,0.7908,0.6826,0.28,0.4539,623.0924526441407
5,0.12000000000000001,↑,3.0068984994631327,62.0004358129587,620.0043504684985,0.4573783580860692,67.57408812260199,0.7693,0.6594,0.3996,0.4962,2.9890028598246636,619.6852847877003,619.6852847877003,0.43662377101776406,625.4438920836428,0.7648,0.6562,0.2677,0.4489,622.6742876475249
6,0.14,↑,3.016897223274151,74.36412187554166,619.7010461825811,0.45823583968742165,79.96863625120974,0.7554,0.6447,0.39,0.4885,3.0006238349846432,619.5124522323732,619.5124522323732,0.4372591231808518,625.2880150146815,0.7547,0.6459,0.2812,0.4577,622.5130760673578
7,0.16,↑,3.0239183269931886,86.72881559963355,619.4915160134167,0.4588876802407339,92.35879121626209,0.7427,0.6313,0.3823,0.4841,2.985599912735291,619.2182064335068,619.2182064335068,0.4382937066740804,624.9971676326934,0.7213,0.6116,0.2877,0.4579,622.2038063462421
8,0.18,↑,3.032876121640919,99.09174586782555,619.3234422206879,0.45923130053603006,104.74766340398503,0.7321,0.6204,0.3725,0.4758,3.0050688198892583,619.0636955411919,619.0636955411919,0.4383863458385715,624.8762648673285,0.6984,0.5883,0.2838,0.4573,622.0687643610812
9,0.19999999999999998,↑,3.041676396952418,111.454141548847,619.1896633624317,0.4597179154346803,117.13207785640648,0.7238,0.612,0.3665,0.4705,3.0407656908551335,619.0417157267079,619.0417157267079,0.4391494969720448,624.8860173875636,0.7065,0.5964,0.2738,0.4549,622.082481417563
