epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.7905326416794682,1.600670689150043,0.0,0.2824,0.3945,0.2982
1,1.653280756619055,1.4860706769901773,0.7827,0.7283,0.6699,0.7046
2,1.6227824631990961,1.444334365427494,0.8613,0.8066,0.6837,0.7257
3,1.606727883401611,1.4251560125014056,0.866,0.8111,0.6857,0.7264
4,1.607757105066183,1.4166031658001568,0.8712,0.8165,0.6858,0.7265
5,1.6039583580035,1.4139843022693759,0.8705,0.816,0.6842,0.724
6,1.6044798074193964,1.4110531544555789,0.8711,0.8165,0.685,0.723
7,1.6071702507180228,1.4155801586482837,0.8689,0.8143,0.6847,0.7213
8,1.604403175770397,1.4130533493083457,0.8703,0.8158,0.6863,0.7239
9,1.6067472744435771,1.4130616437481798,0.8708,0.8161,0.6837,0.7227
10,1.6048862024092339,1.4121888603853143,0.8711,0.8164,0.6853,0.7237
11,1.603943899427781,1.4118262283180072,0.8704,0.8159,0.6849,0.7232
12,1.6013541917845677,1.4089278526928113,0.8705,0.8159,0.6839,0.7232
13,1.6015855466815787,1.412831567875717,0.8707,0.8161,0.6854,0.7211
14,1.6042755735871936,1.4135886048493178,0.8707,0.8161,0.6845,0.721
15,1.6068784577745787,1.4128563889990682,0.8699,0.8155,0.685,0.7228
16,1.606661676688933,1.4137547450221104,0.8705,0.816,0.6842,0.7232
17,1.60542379600901,1.4117210863724998,0.8705,0.816,0.6855,0.7244
18,1.6002252577616016,1.4080034452288046,0.8697,0.8152,0.6851,0.7238
19,1.6031169077600111,1.4107943614539893,0.8704,0.8159,0.6857,0.7233
20,1.6042170707048944,1.4122707918286324,0.87,0.8156,0.6845,0.7211
21,1.6032577826943195,1.409665479608204,0.8705,0.8159,0.6849,0.7233
22,1.605294180699917,1.4123142497695012,0.871,0.8163,0.6832,0.7206
23,1.6048049481262063,1.4109187887414643,0.872,0.8171,0.6848,0.7228
24,1.6013537988976134,1.4078578660669534,0.8704,0.8159,0.6858,0.7234
25,1.602131635034588,1.4087317799744399,0.8709,0.8162,0.6858,0.7225
26,1.6054487103027917,1.4098866484735324,0.8708,0.8162,0.6855,0.7232
27,1.6029810226019559,1.4127586373816365,0.8688,0.8143,0.6837,0.7211
28,1.6080267254735383,1.4154688200872878,0.871,0.8162,0.6847,0.7217
29,1.6027230150822742,1.4094503006857375,0.8707,0.8161,0.6849,0.7238
30,1.6038815599092295,1.415179039473119,0.87,0.8156,0.6834,0.7206
31,1.608954231951718,1.4153158415270888,0.8707,0.8161,0.6821,0.7206
32,1.605759485674576,1.414791193669257,0.8692,0.8147,0.6847,0.7218
33,1.6088224240871662,1.41725228888833,0.8707,0.8161,0.6857,0.7219
34,1.6037251461279785,1.4138153464249943,0.8687,0.8141,0.6859,0.7224
35,1.6056106131961088,1.4152893206995467,0.8704,0.8159,0.6843,0.7211
36,1.6080838204549512,1.4135387640284456,0.8694,0.8149,0.6849,0.7225
37,1.603978903304803,1.41227123853953,0.8691,0.8146,0.6841,0.723
38,1.5996142101959443,1.4066676225351251,0.8706,0.8161,0.687,0.7256
39,1.6001464913148835,1.4116319379080897,0.8706,0.816,0.6841,0.7208
40,1.6040088232694099,1.4111973066692767,0.8708,0.8161,0.6852,0.7225
41,1.606629766432892,1.4124084458402966,0.871,0.8163,0.6835,0.722
42,1.6050796527817774,1.41356416694496,0.871,0.8163,0.6848,0.722
43,1.605004000999558,1.413399663956269,0.8708,0.8162,0.6855,0.7219
44,1.607472511188525,1.4154074480352195,0.8705,0.816,0.6855,0.7223
45,1.60258300371573,1.4091817830567774,0.8695,0.815,0.6863,0.7247
46,1.6050361221385114,1.4091311971778455,0.8706,0.8162,0.6859,0.7238
47,1.604344788739379,1.4144988448723503,0.87,0.8156,0.6835,0.7198
48,1.6058418539208426,1.4124132890416228,0.871,0.8163,0.6858,0.7231
49,1.6025668333393868,1.4119969855832017,0.8714,0.8167,0.6847,0.7223
