epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.640468621365901,1.218477189540863,0.8827,0.8132,0.6815,0.7515
1,1.4667692390406075,1.1575742653854515,0.889,0.8333,0.6787,0.754
2,1.449097089364495,1.1481795098794543,0.8869,0.8323,0.6793,0.7532
3,1.456016972255259,1.1595133617520332,0.8871,0.8326,0.68,0.7496
4,1.4437441446411778,1.150768087124047,0.8851,0.8313,0.6776,0.7495
5,1.4509680229733248,1.1593980016591756,0.8834,0.8293,0.6798,0.7468
6,1.450420400010588,1.1449203450718652,0.8818,0.828,0.6848,0.7533
7,1.4482961007686848,1.1581422657422398,0.8795,0.8257,0.6805,0.7474
8,1.4507474464989605,1.1529012405030106,0.882,0.828,0.6849,0.7499
9,1.4418719291687012,1.149546592131905,0.8778,0.8241,0.6863,0.7501
10,1.4475185961790489,1.1500836842409943,0.8751,0.8212,0.6824,0.752
11,1.4436115101469515,1.1328699682717738,0.876,0.8223,0.6837,0.7559
12,1.4414624358007047,1.1444915427785853,0.8792,0.8254,0.6834,0.7516
13,1.4387381243593815,1.1314654917172764,0.8727,0.819,0.6806,0.752
14,1.440856555370098,1.1447805342790873,0.871,0.8172,0.6816,0.7512
15,1.4390258795778517,1.14074381991573,0.8768,0.8232,0.68,0.7503
16,1.4400002759387236,1.137260893602734,0.8746,0.8207,0.6795,0.7502
17,1.4436085158110785,1.1383688524365425,0.8746,0.8207,0.6799,0.7507
18,1.4459673127098263,1.1422107585746308,0.87,0.8164,0.6837,0.7512
19,1.440964006985857,1.1396583364061688,0.8721,0.8184,0.6826,0.7513
20,1.4398699898115346,1.1420851581446503,0.8688,0.8151,0.681,0.7467
21,1.4416116876781266,1.1442653878551463,0.87,0.8163,0.6813,0.7467
22,1.438266755493594,1.1421120098751525,0.8731,0.8194,0.6844,0.7502
23,1.4382595370073274,1.150366909963929,0.872,0.8182,0.6804,0.7458
24,1.44381401729136,1.1429037100271038,0.8711,0.8174,0.682,0.7504
25,1.440267946798477,1.1391464820050674,0.8705,0.8169,0.6777,0.7507
26,1.444490291479048,1.1560032678687053,0.8719,0.8181,0.6788,0.7432
27,1.4382390789023027,1.1436484658523747,0.8707,0.8171,0.6824,0.7472
28,1.4419439015254167,1.1290900948578897,0.8708,0.8172,0.6872,0.7566
29,1.437023613038757,1.1359948136884233,0.869,0.8154,0.6803,0.751
30,1.4417503921078965,1.1532291282454263,0.866,0.8126,0.681,0.7458
31,1.4386853353518276,1.159607755911091,0.8705,0.8168,0.6829,0.7442
32,1.436042692179971,1.1387882111189158,0.87,0.8164,0.6792,0.7487
33,1.4390539580107855,1.1382604092359543,0.8738,0.8202,0.6812,0.7508
34,1.440494028055612,1.1562520524729853,0.8693,0.8156,0.6823,0.7424
35,1.4437522263594076,1.1423595852178077,0.8692,0.8156,0.6824,0.7512
36,1.4388788170657807,1.1368981094464012,0.8734,0.8198,0.6833,0.7526
37,1.4399758809049366,1.1363019185221714,0.872,0.8181,0.6836,0.7503
38,1.4381424026310163,1.1446101179589396,0.8642,0.8107,0.6815,0.7485
39,1.437525511571499,1.1404146177937156,0.8685,0.815,0.6835,0.7508
40,1.4398685945591456,1.1464844851390175,0.8689,0.8153,0.6803,0.7489
41,1.4400969632914369,1.1407592074702615,0.8706,0.8169,0.6853,0.7516
42,1.441961700255882,1.1339056117703086,0.8695,0.8159,0.6843,0.7528
43,1.444018419135904,1.1400715854504835,0.8688,0.8152,0.683,0.7509
44,1.4494868603110873,1.154781276765077,0.8653,0.8119,0.681,0.7449
45,1.4368947922903608,1.136182649951914,0.8682,0.8146,0.6794,0.7489
46,1.4451087329309311,1.1403138762258964,0.872,0.8181,0.6867,0.7519
47,1.438522763767153,1.127510535814192,0.8688,0.8152,0.6814,0.7534
48,1.4403521742619259,1.1357581327142923,0.8662,0.8128,0.6833,0.7526
49,1.439151895885736,1.1282280944287777,0.8711,0.8173,0.6842,0.7554
