epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,2.0154803030927417,1.6257341850710951,0.5987,0.5213,0.3779,0.5745
1,1.8203473242235855,1.6417252133074014,0.5069,0.4786,0.3064,0.3363
2,1.734910258217037,1.6227890771368276,0.4699,0.4593,0.4136,0.5552
3,1.7185440892904578,1.623405913295953,0.4582,0.4534,0.3646,0.3321
4,1.7169041546297745,1.6343057913624721,0.458,0.4527,0.3519,0.3203
5,1.7167959184154098,1.6405118483564127,0.7815,0.67,0.3354,0.3075
6,1.7136401826786882,1.6222653550946193,0.7797,0.6683,0.3814,0.5103
7,1.7116239903678356,1.6183983136130415,0.7795,0.6683,0.3793,0.505
8,1.7121657428607135,1.610610243095004,0.4565,0.4519,0.3741,0.5034
9,1.710637021400559,1.6131533591643623,0.7798,0.6683,0.365,0.4974
10,1.7086665350506562,1.6192678728181382,0.4563,0.4518,0.3075,0.2831
11,1.7087428789183567,1.62436300807673,0.7805,0.6691,0.2926,0.2827
12,1.7080606081116367,1.6135225645873859,0.455,0.4512,0.2919,0.281
13,1.7072124979305716,1.627040540718514,0.4559,0.4516,0.2873,0.2728
14,1.7060164946345655,1.622037638788638,0.4569,0.452,0.3015,0.276
15,1.7078287111201755,1.6314951375774716,0.78,0.6687,0.2339,0.2525
16,1.7051625878598209,1.622062820131364,0.4546,0.4511,0.3683,0.4872
17,1.7059538808786814,1.6299567170765088,0.7798,0.6684,0.2901,0.2745
18,1.704166170688862,1.6172645198910132,0.7801,0.6687,0.2855,0.2696
19,1.7066663830492979,1.619449682533741,0.7821,0.6708,0.3671,0.4847
20,1.704319188964199,1.6389699733775596,0.7805,0.6691,0.2452,0.2661
21,1.7048380529376823,1.6313495318526807,0.7799,0.6686,0.2853,0.2661
22,1.7026801738380826,1.6253855850385583,0.4575,0.4527,0.3701,0.4774
23,1.703481086990643,1.635446783317172,0.7809,0.6695,0.2873,0.2701
24,1.703918165556142,1.614950855465039,0.7807,0.6693,0.3674,0.4848
25,1.7046179353910993,1.6208745989462603,0.7805,0.6692,0.364,0.477
26,1.7038129364380814,1.6166926110568254,0.4543,0.4508,0.3775,0.4973
27,1.7020716769034874,1.6232188949766366,0.7794,0.668,0.3705,0.4825
28,1.703277971263223,1.6356957493268924,0.7799,0.6684,0.3044,0.2796
29,1.7027470137591654,1.6264080220590467,0.7789,0.6674,0.3023,0.2758
30,1.7033657125464068,1.633813691527947,0.7795,0.6683,0.3034,0.2814
31,1.7017263373298823,1.6227011862008467,0.7804,0.6691,0.3056,0.2828
32,1.7041579042801835,1.625085801857969,0.7796,0.6685,0.3759,0.4921
33,1.7023034711398988,1.6409699566986249,0.7802,0.6688,0.2816,0.2652
34,1.7022238988831568,1.6331324658316115,0.4535,0.4506,0.2276,0.2455
35,1.7018307840320426,1.645703587519086,0.4569,0.4521,0.2693,0.2587
36,1.7018007869451819,1.6301282657229381,0.7803,0.6689,0.2637,0.2564
37,1.7032784285120002,1.6282108089198237,0.4529,0.4503,0.3615,0.477
38,1.7032389270307873,1.6487802373974219,0.4537,0.4509,0.2896,0.267
39,1.7024849471911578,1.6291455539024395,0.4574,0.4522,0.3633,0.4824
40,1.7011780151179139,1.630822571399419,0.4565,0.452,0.2798,0.266
41,1.7023670380104317,1.6351935617301776,0.455,0.4516,0.3683,0.4806
42,1.7007874325407504,1.6361100210443786,0.7826,0.6714,0.2697,0.2605
43,1.7016139770337673,1.6277072368108707,0.7802,0.6688,0.3649,0.479
44,1.7009034045985048,1.6344396122123883,0.4557,0.4516,0.2919,0.2708
45,1.7019627747961052,1.6377080471619316,0.7801,0.6688,0.2935,0.2702
46,1.7017461058119654,1.6265139608927395,0.7793,0.668,0.3032,0.2867
47,1.7024412334245136,1.637828663315462,0.4525,0.4503,0.36,0.472
48,1.7000935461599502,1.63978686378054,0.781,0.6697,0.2883,0.2684
49,1.7033460689822273,1.6402095258235931,0.7814,0.6698,0.2615,0.2551
