epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,2.6181692433469173,1.6624738143190094,0.8234,0.721,0.2404,0.33
1,1.7390368870166546,1.6354742506923883,0.4827,0.479,0.2311,0.3194
2,1.7162489643678978,1.6460316416038119,0.7911,0.6882,0.2738,0.3306
3,1.7124167972887065,1.6353171931012818,0.4622,0.4682,0.3527,0.3496
4,1.7121880760774926,1.6249608439595804,0.4615,0.4677,0.4089,0.5652
5,1.7111359336566476,1.6313020355351593,0.4609,0.4673,0.3541,0.354
6,1.7111895316083667,1.621943848774485,0.7879,0.6846,0.3565,0.3564
7,1.7099373642827425,1.627184206214936,0.4604,0.4669,0.3522,0.3521
8,1.7123158750399736,1.6442621810280758,0.4606,0.4672,0.2881,0.3346
9,1.7123088321775337,1.6253968140353328,0.4602,0.467,0.4072,0.5606
10,1.7129597725442878,1.6226498317783293,0.4609,0.4674,0.3556,0.3521
11,1.710545522842049,1.6267161434111388,0.459,0.4663,0.4001,0.5549
12,1.7107944104593125,1.6212164409782575,0.4611,0.4673,0.4053,0.5588
13,1.711453773717925,1.6155622489750385,0.788,0.6846,0.4089,0.5635
14,1.7108632623869489,1.622161643984525,0.7884,0.6849,0.4042,0.5613
15,1.7116022367432644,1.6364213412870532,0.7886,0.6851,0.3589,0.3564
16,1.7115214613122,1.6408182186600955,0.7882,0.6847,0.3538,0.3518
17,1.712326269418421,1.6242084180855232,0.4619,0.4676,0.4098,0.5573
18,1.7117135349013997,1.6314215974315354,0.7884,0.685,0.3592,0.3562
19,1.7126361298449162,1.641681458477093,0.4604,0.4671,0.356,0.3474
20,1.7134802325790477,1.6338162242394427,0.7884,0.6851,0.2915,0.3329
21,1.713570812386526,1.6372561683149442,0.4606,0.4671,0.3593,0.3544
22,1.710732416591734,1.625996224258257,0.7881,0.6847,0.412,0.5642
23,1.714041773254323,1.6369408297797907,0.4597,0.4667,0.3585,0.3567
24,1.7102412999515801,1.6254623200258482,0.7881,0.6847,0.4035,0.5614
25,1.7119286667013391,1.64156774820193,0.461,0.4671,0.2931,0.3334
26,1.7117388761099515,1.6349892817113711,0.4592,0.4665,0.3604,0.3522
27,1.7119231056159652,1.636260679234629,0.4606,0.4672,0.3584,0.3516
28,1.7128559391263505,1.6301314429096554,0.4617,0.4677,0.3636,0.3622
29,1.7145289622562032,1.628144938012828,0.7888,0.6854,0.4052,0.5629
30,1.7125062915640819,1.6255760878000571,0.7886,0.6852,0.4059,0.5616
31,1.7117339159961038,1.6501123382021552,0.788,0.6847,0.3567,0.3511
32,1.711739997572742,1.6477580182254314,0.4611,0.4674,0.2944,0.3351
33,1.711982480461049,1.62963507923743,0.7891,0.6858,0.4088,0.5676
34,1.7118578099308999,1.6269209772024467,0.7884,0.685,0.2839,0.3317
35,1.7134202567624375,1.6350311048976753,0.4607,0.4671,0.3559,0.3506
36,1.7110313040549767,1.6234650168081988,0.4609,0.4672,0.4079,0.5614
37,1.7114097918702962,1.6405091915765535,0.4604,0.4669,0.3569,0.355
38,1.7109497970258687,1.6428652119053446,0.4607,0.4671,0.3566,0.348
39,1.712109399065725,1.630923278953718,0.7883,0.6849,0.362,0.3585
40,1.7107767688276623,1.643646739585244,0.4598,0.4668,0.357,0.3501
41,1.7113389826716392,1.6349653574111669,0.788,0.6846,0.3649,0.3594
42,1.711019596807274,1.6276680200320224,0.462,0.468,0.3586,0.3522
43,1.7113715328521013,1.621059425337159,0.4608,0.4674,0.4084,0.5626
44,1.7129848785803352,1.6425608344700025,0.7884,0.685,0.359,0.3551
45,1.7118056578255596,1.6271093727453896,0.7884,0.685,0.3556,0.3573
46,1.7119056957988112,1.619696085219798,0.4585,0.466,0.4085,0.5654
47,1.7109875410375461,1.6385738924145699,0.7882,0.6847,0.36,0.356
48,1.7110048388091612,1.628652164955502,0.7883,0.6849,0.4134,0.5621
49,1.711098476083066,1.6436706384562927,0.7886,0.6852,0.2899,0.3348
