epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.7626387002882264,1.508211873471737,0.804,0.6794,0.3912,0.5273
1,1.664249297598718,1.466596838572751,0.8273,0.7343,0.4985,0.5741
2,1.6427413871030851,1.4456975430898045,0.8155,0.7376,0.5297,0.5914
3,1.6375586188455142,1.4371248085213744,0.7919,0.7208,0.5324,0.5962
4,1.6361765662269414,1.4346176155883332,0.7795,0.711,0.5322,0.5945
5,1.6368514303870045,1.4327805923378987,0.7679,0.7011,0.5322,0.5942
6,1.6336845020732969,1.4300586046731991,0.756,0.6906,0.5294,0.5937
7,1.636147873838183,1.4314141733490902,0.7559,0.6903,0.5308,0.5932
8,1.634100851878314,1.4295157278361528,0.752,0.6875,0.5309,0.5937
9,1.6334164028436364,1.4269202202558517,0.7666,0.6998,0.5271,0.5921
10,1.6347537647390589,1.429077900622202,0.7594,0.6937,0.5265,0.5911
11,1.6343063247035927,1.4280823294235312,0.758,0.692,0.5279,0.5916
12,1.636744967872548,1.4285022830185683,0.7598,0.6933,0.527,0.5923
13,1.6340465160602695,1.4265578249874322,0.756,0.6911,0.5294,0.5952
14,1.632850226326168,1.4260885812666104,0.7564,0.6913,0.5291,0.5945
15,1.6343232978677527,1.428036159147387,0.7512,0.6866,0.5295,0.5944
16,1.6374193802685806,1.4292772613141849,0.7541,0.6888,0.531,0.5935
17,1.6352681649123,1.429679004718428,0.7559,0.6904,0.5273,0.5932
18,1.6353864731363288,1.4289204154325568,0.7681,0.7005,0.5307,0.5925
19,1.6346087344935243,1.4287729088378989,0.7636,0.6972,0.5311,0.5927
20,1.6326385569684383,1.4282294343347135,0.759,0.6938,0.5324,0.5929
21,1.6347150120936649,1.4282259830962056,0.7512,0.6873,0.5296,0.5911
22,1.6365225209876406,1.4304957046456959,0.7611,0.6954,0.5271,0.5894
23,1.6332223500444296,1.4266287334587262,0.7629,0.6961,0.5285,0.5913
24,1.634895365898598,1.429237885967545,0.7629,0.6966,0.5282,0.5913
25,1.6342625203826617,1.4281676123323648,0.7565,0.6916,0.5279,0.5905
26,1.6353597231314216,1.4261616750255874,0.7541,0.6892,0.5272,0.5971
27,1.6343546146518189,1.4274118487601695,0.7591,0.6933,0.5297,0.5975
28,1.6346296060812866,1.428823060963465,0.7555,0.6907,0.5283,0.5922
29,1.6366283527562315,1.4299892093176427,0.7607,0.6945,0.5286,0.5895
30,1.6344977685543294,1.4281159078945285,0.7593,0.6933,0.5298,0.5945
31,1.6344688439033401,1.4289125385491743,0.7594,0.693,0.5293,0.5933
32,1.6361314211652873,1.4292523375023967,0.7547,0.6898,0.5285,0.5948
33,1.6335772211003192,1.4274638466860936,0.7628,0.6967,0.5296,0.594
34,1.6342150102758632,1.4287429746726286,0.7669,0.6998,0.5258,0.5885
35,1.6329236778295095,1.4279894472464272,0.768,0.7008,0.5288,0.5942
36,1.6348817688758384,1.4269026909833369,0.7605,0.6941,0.5299,0.5936
37,1.6343339208146217,1.4258410396135373,0.7589,0.6929,0.5325,0.5962
38,1.6330000586352997,1.4281851979701414,0.7509,0.6857,0.527,0.5917
39,1.6354427220116199,1.4276515365294788,0.7538,0.6888,0.5271,0.5947
40,1.6368721248958031,1.429817971975907,0.7514,0.687,0.5289,0.5889
41,1.6340365271053403,1.4279247441369554,0.7611,0.6952,0.5288,0.5908
42,1.634554358043581,1.4269458023102388,0.7557,0.6911,0.528,0.5939
43,1.6330235326793832,1.4263896572849024,0.7533,0.6884,0.5318,0.5964
44,1.6345721857088833,1.426106848794481,0.7602,0.6943,0.5298,0.5945
45,1.632447394854586,1.4266808467066807,0.7573,0.6912,0.5289,0.5948
46,1.6342412435952487,1.4279279449711675,0.7517,0.6864,0.532,0.5966
47,1.6342807920885758,1.4285692167670831,0.7482,0.6845,0.5309,0.5922
48,1.6355018528414444,1.4284905836634014,0.754,0.689,0.5277,0.5927
49,1.6376033249035689,1.4294927065139231,0.7562,0.6914,0.5296,0.5942
