epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.98809908869121,1.6484313879324042,0.8356,0.7176,0.3366,0.5702
1,1.7383733271433155,1.6485412496587504,0.8356,0.7176,0.3627,0.3439
2,1.7301293732414782,1.6335915676925494,0.5982,0.5179,0.3843,0.5412
3,1.728620208149225,1.6652617992266365,0.8451,0.7375,0.2601,0.2895
4,1.72708067367894,1.6575290171996406,0.8383,0.7329,0.2792,0.2816
5,1.7256606481444667,1.6469306913406954,0.8294,0.726,0.3692,0.4843
6,1.7251669440470951,1.6638358960980955,0.5109,0.4903,0.2985,0.2734
7,1.724858363357508,1.680944859009722,0.5483,0.5053,0.2798,0.2532
8,1.7239414378510953,1.6768716411746067,0.7943,0.6909,0.2584,0.2513
9,1.7244057501985433,1.6465408980198528,0.7878,0.6845,0.3399,0.4667
10,1.7242957111815331,1.665480370754781,0.5161,0.4923,0.251,0.2451
11,1.7244600620627963,1.6883549291802489,0.812,0.709,0.246,0.2358
12,1.7235404926846285,1.6659011312800904,0.5256,0.4973,0.2459,0.2361
13,1.7246890120662994,1.6655894569728686,0.8359,0.7309,0.2059,0.2252
14,1.7238201617075244,1.6649485236924628,0.8373,0.7318,0.2694,0.2454
15,1.7238687445859955,1.642118912352168,0.5501,0.5064,0.3334,0.4499
16,1.7248711982243499,1.6591949249091356,0.4945,0.4825,0.3293,0.4476
17,1.723486117130154,1.6682314270216485,0.5118,0.4907,0.219,0.2295
18,1.7235254650384608,1.6542959028612012,0.8064,0.7035,0.3317,0.4473
19,1.7237174025163964,1.6525092280429343,0.4994,0.4853,0.3338,0.4538
20,1.7224665642344337,1.6762923018439957,0.4927,0.4825,0.2065,0.2204
21,1.723108431878784,1.6542155221104622,0.7858,0.6829,0.3562,0.4576
22,1.72415847923834,1.6545232080894967,0.3726,0.431,0.2693,0.2424
23,1.7246096270744788,1.6490887053634808,0.3126,0.4059,0.3296,0.4433
24,1.723068983118299,1.6844722460145536,0.4826,0.4781,0.2653,0.2363
25,1.7228961058065926,1.6565093663723574,0.5153,0.4921,0.3353,0.4409
26,1.723900022976835,1.6788438283230946,0.507,0.4885,0.2164,0.2246
27,1.7246497195651274,1.671656910168088,0.4882,0.4798,0.2075,0.2177
28,1.7235171117693047,1.669160639786202,0.4639,0.4688,0.2521,0.238
29,1.72253037696713,1.6619861926073614,0.5224,0.4955,0.3439,0.4471
30,1.7222618794777025,1.669259214206882,0.8298,0.7258,0.2706,0.2397
31,1.7222862933163352,1.6696580288850742,0.5339,0.5008,0.206,0.2196
32,1.7232612464349595,1.6617360960530199,0.5151,0.4926,0.2665,0.2371
33,1.7225311466225997,1.6769094295475795,0.812,0.7099,0.2166,0.2205
34,1.7220873614432106,1.6614956369866496,0.8213,0.7188,0.3521,0.4544
35,1.72165275795359,1.651338286049988,0.4596,0.4672,0.2505,0.2418
36,1.7232454475662518,1.6613480322386907,0.4785,0.4759,0.3475,0.4509
37,1.7233259533492613,1.671444048376187,0.7896,0.6864,0.2687,0.2381
38,1.7225566525974183,1.6566355173354563,0.8317,0.7273,0.2717,0.243
39,1.720745804500132,1.6531103392658026,0.8083,0.7056,0.3447,0.4478
40,1.722942744622208,1.6605217560477878,0.3148,0.4065,0.3424,0.4493
41,1.7216467854002833,1.6708438626450042,0.8081,0.7053,0.208,0.2185
42,1.7226856651440472,1.649682862279208,0.4202,0.4507,0.3453,0.4491
43,1.723821714114695,1.671176905217378,0.8168,0.7145,0.2209,0.2252
44,1.721585666405763,1.6635004003410754,0.7939,0.6911,0.2206,0.2265
45,1.721751441418285,1.6712293087140373,0.4865,0.4791,0.2059,0.2196
46,1.7229756224323327,1.6597077765542527,0.8256,0.7226,0.2574,0.2432
47,1.723005186112274,1.6735212657114733,0.5196,0.4949,0.2092,0.2206
48,1.7218620326037697,1.6735559893043146,0.8211,0.7187,0.266,0.2353
49,1.7211308084183456,1.6657120063900948,0.5036,0.4875,0.2463,0.2341
