epoch,beta,beta_event,train_recon,train_kl,train_raw_kl,train_interv,train_total,train_aux_pres_f1,train_aux_pres_acc,train_aux_type_f1,train_aux_type_acc,val_recon,val_kl,val_raw_kl,val_interv,val_total,val_aux_pres_f1,val_aux_pres_acc,val_aux_type_f1,val_aux_type_acc,val_ref_elbo
0,0.02,↑,9.965562644975629,0.0,967.8840809096833,0.46626723430113876,12.129038828718448,0.8607,0.7564,0.2872,0.4619,1.6039420250174288,899.1723144002807,899.1723144002807,0.425972089300424,902.8334577816389,0.8788,0.7911,0.3722,0.482,900.7762564252981
1,0.04,↑,2.1194483277326572,3.383483603186236,169.1741843766081,0.45147385579383303,7.483323540944539,0.8629,0.7723,0.4423,0.5118,1.5572108830208387,61.58356885373335,61.58356885373335,0.4203637909321558,65.16804738891074,0.857,0.7839,0.4103,0.4618,63.14077973675418
2,0.06,↑,1.9809491241763453,1.638847750104116,40.97119466130605,0.44158696189611973,5.490831772010483,0.8645,0.783,0.5497,0.5855,1.6268499914185826,31.96798597889029,31.96798597889029,0.4131005702145172,35.637592736776774,0.8594,0.788,0.4196,0.5116,33.59483597030887
3,0.08,↑,2.0619042122435425,1.6427835929893448,27.379727172851563,0.4356579479343163,5.553722190285871,0.8644,0.7845,0.5853,0.6133,1.4398589317416732,25.054161913983233,25.054161913983233,0.40916316478928444,28.554047621689833,0.8854,0.8157,0.3947,0.5107,26.494020845724904
4,0.1,↑,2.0452461099910164,1.7077783013532262,21.347229230046985,0.4348988044226241,5.594957039313402,0.8615,0.7805,0.6135,0.6326,1.4292732675870259,18.797381628127326,18.797381628127326,0.4099154444290446,22.24056849128756,0.8853,0.8159,0.4382,0.5268,20.22665489571435
5,0.12000000000000001,↑,1.9923686131745755,1.735194555156959,17.351945332281606,0.4350410135384805,5.587100431019675,0.8584,0.7747,0.6111,0.6309,1.421941710240913,15.071642363742317,15.071642363742317,0.40801234911014506,18.51365347858115,0.8868,0.814,0.4106,0.492,16.49358407398323
6,0.14,↑,1.8935291939866756,1.6471562295616744,13.726302220007616,0.44196897286497905,5.437367571185449,0.855,0.7714,0.5982,0.6204,1.2312373696983634,11.791687234655603,11.791687234655603,0.41479043946379707,15.078797596357601,0.8835,0.8163,0.4288,0.4996,13.022924604353966
7,0.16,↑,1.7838033032274532,1.5096334311776531,10.783095910306463,0.4441339868271422,5.220591123660881,0.8414,0.7563,0.5964,0.619,1.2312552954727438,9.911303400477289,9.911303400477289,0.42140875653529064,13.179853707680971,0.8877,0.8132,0.4398,0.5256,11.142558695950033
8,0.18,↑,1.701371562980606,1.3928272872627852,8.705170747334371,0.4477220522429415,5.057692857845101,0.8314,0.746,0.5817,0.6087,1.2175896719936685,7.937098532012015,7.937098532012015,0.4235715273912851,11.199158094662092,0.8879,0.8115,0.4168,0.5305,9.154688204005684
9,0.19999999999999998,↑,1.6194971201662531,1.3006922427765624,7.226067730338274,0.4504597680654354,4.931379651737784,0.8189,0.7323,0.5605,0.5939,1.1789031026167271,6.3119002255526455,6.3119002255526455,0.42280766213095033,9.573391451980129,0.8858,0.8217,0.391,0.5101,7.490803328169372
10,0.21999999999999997,↑,1.5596719941693151,1.2109732763495988,6.054866267107204,0.4517121093001908,4.831347146291219,0.8009,0.7121,0.5383,0.5788,1.1468480812522757,5.8052662069147285,5.8052662069147285,0.42834205054617547,9.0364628127127,0.888,0.8203,0.4011,0.4996,6.952114288167004
11,0.23999999999999996,↑,1.527249276994945,1.1551706405456907,5.250775654729969,0.45204457412222904,4.775511380726706,0.7927,0.705,0.5272,0.5678,1.1534320141845968,4.78679236498746,4.78679236498746,0.4315599964939671,8.109291681479583,0.8674,0.8042,0.3849,0.4779,5.940224379172057
12,0.25999999999999995,↑,1.4930271238623978,1.1087511650102582,4.619796619586602,0.45451596414971496,4.72868868034043,0.7832,0.6959,0.5103,0.5539,1.1222985224290327,4.084664942382218,4.084664942382218,0.4318347859047192,7.400814758234726,0.857,0.7937,0.3335,0.4481,5.206963464811251
13,0.27999999999999997,↑,1.461933649085953,1.0774303121481112,4.1439628869473575,0.4555446408644408,4.686794929161757,0.7777,0.6923,0.5046,0.5483,1.1507553099553822,3.605409015308727,3.605409015308727,0.43506601375418824,6.957645445158987,0.8442,0.7805,0.3675,0.4711,4.756164325264109
14,0.3,↑,1.4705583936440016,1.059731572973514,3.784755603424803,0.4568656150452391,4.701680235377329,0.7616,0.6754,0.4969,0.5422,1.1321214027219004,3.533629268794865,3.533629268794865,0.4359481688185688,6.875704148115018,0.8649,0.8043,0.3654,0.4622,4.665750671516765
