epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.7859535540975453,1.635708297485913,0.6221,0.5628,0.3619,0.4683
1,1.663067233049128,1.5921939007647625,0.816,0.7531,0.3461,0.4515
2,1.6124860578746887,1.5670812150616666,0.7593,0.6931,0.3478,0.42
3,1.5954494154054013,1.554717712072067,0.7393,0.6733,0.3377,0.4027
4,1.5863598090324675,1.5475015041632054,0.7251,0.6597,0.3292,0.3945
5,1.5844471945146625,1.5455231395634739,0.7146,0.6498,0.3328,0.3938
6,1.5768838185442693,1.5410769163788138,0.7069,0.6427,0.3332,0.3941
7,1.58088228762435,1.5405481235805527,0.7007,0.6373,0.3249,0.3897
8,1.5771479662240406,1.5419132688860873,0.7005,0.6372,0.3292,0.3916
9,1.57909565465302,1.542763864839232,0.6995,0.6363,0.3291,0.3917
10,1.5801307526216553,1.5420063556014718,0.7014,0.6379,0.3304,0.393
11,1.5766321513356205,1.5433436789553918,0.6977,0.6346,0.332,0.3928
12,1.579406075785605,1.5433354367425431,0.6968,0.6339,0.3291,0.3909
13,1.576988411862314,1.5427364815365185,0.697,0.6341,0.3302,0.3925
14,1.5773192036665227,1.5434897007880273,0.695,0.6323,0.3343,0.3944
15,1.5783250912239677,1.5411496523654822,0.6989,0.6357,0.3297,0.3915
16,1.5776271330968044,1.5439718063775596,0.6979,0.6348,0.3364,0.3953
17,1.583578722043471,1.544876249837669,0.6956,0.6329,0.3316,0.3926
18,1.5817124859282845,1.5423719717826678,0.6992,0.636,0.3276,0.3922
19,1.5760533902348515,1.542274165205109,0.7009,0.6375,0.3292,0.3921
20,1.5780355429820467,1.5412271074402384,0.6992,0.6361,0.3233,0.3896
21,1.5800040445544503,1.5427696095916617,0.6999,0.6366,0.3289,0.3928
22,1.5805135966773238,1.5450129312870307,0.7017,0.6382,0.3348,0.3943
23,1.5832188060979524,1.5450605257248982,0.6965,0.6337,0.3267,0.3907
24,1.5793009299125398,1.542557863446025,0.7011,0.6376,0.3322,0.3935
25,1.5763247746029538,1.5417651541821369,0.7005,0.6372,0.3342,0.3946
26,1.5788931860878137,1.5418625135958453,0.6994,0.6361,0.3354,0.3948
27,1.5807592342629957,1.5442635654371022,0.6963,0.6335,0.3357,0.3943
28,1.5777225778148505,1.542835983105036,0.6995,0.6363,0.3323,0.3935
29,1.5825849785759118,1.544602477447295,0.7,0.6367,0.3305,0.3928
30,1.5789497692904404,1.540907300395883,0.7014,0.6379,0.3277,0.3918
31,1.5776049444835152,1.5426096160174447,0.7017,0.6382,0.3324,0.3937
32,1.582015521075737,1.541327702792692,0.7021,0.6386,0.3321,0.3931
33,1.5799709779508946,1.5419471516753689,0.6979,0.6349,0.333,0.3935
34,1.579894744465796,1.5415403703590491,0.6957,0.633,0.3332,0.3943
35,1.5790591533674578,1.542906082295752,0.6991,0.6359,0.3271,0.3911
36,1.5780239582917337,1.5401873707255245,0.704,0.6403,0.3335,0.3936
37,1.5835347041558991,1.5436234843163263,0.698,0.635,0.3327,0.3936
38,1.580373690886931,1.5416588360096986,0.698,0.635,0.323,0.389
39,1.5821039003618595,1.5411191154351997,0.6987,0.6356,0.3341,0.3951
40,1.5834822532092556,1.5403939165594258,0.7013,0.6378,0.323,0.3899
41,1.576929570812928,1.54041598756592,0.7002,0.6369,0.3238,0.3894
42,1.5801165198024951,1.5417205601027517,0.7008,0.6374,0.3308,0.3934
43,1.5825886479690314,1.5437052667915048,0.6967,0.6338,0.3241,0.3905
44,1.5799383465468029,1.5423406741835854,0.7013,0.6378,0.3316,0.3937
45,1.5846774153161847,1.5437160325256778,0.6939,0.6313,0.3298,0.393
46,1.579099624208286,1.5434055976021341,0.6961,0.6333,0.3325,0.3941
47,1.5847369965754057,1.543892733720474,0.695,0.6324,0.3341,0.3943
48,1.5800107580622988,1.5443268712464866,0.6975,0.6345,0.3365,0.3949
49,1.5829155075778232,1.5448361950003224,0.6974,0.6344,0.3353,0.3951
