epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.7459229212343408,1.602814580454971,0.7531,0.6507,0.3563,0.4793
1,1.6172744064239795,1.5516306425069835,0.8898,0.8365,0.383,0.4691
2,1.5631549245717993,1.5226455617260624,0.8098,0.7443,0.397,0.4586
3,1.5399604850408564,1.5046909061861244,0.7703,0.703,0.4027,0.4548
4,1.527213105174343,1.5004145299201403,0.736,0.6698,0.4057,0.4524
5,1.5257014285719566,1.493720939407101,0.718,0.6531,0.4066,0.45
6,1.5220784226958262,1.4920534171583333,0.7143,0.6497,0.4062,0.4478
7,1.5211304286450291,1.4884118845452479,0.7062,0.6425,0.4102,0.4505
8,1.5181091751493336,1.4874616027910472,0.705,0.6415,0.4095,0.4493
9,1.5224836552827552,1.489441859773743,0.6928,0.6304,0.4081,0.4493
10,1.51983135396784,1.4881849257976978,0.6909,0.6288,0.408,0.4482
11,1.514404958515076,1.487415178771659,0.6896,0.6276,0.4114,0.4495
12,1.5281520699770257,1.4891386008881904,0.6869,0.6253,0.4082,0.4481
13,1.517783877096678,1.4878973573833316,0.6864,0.625,0.4121,0.4514
14,1.5181414272511404,1.487705750124795,0.6867,0.6252,0.4099,0.4502
15,1.5177877338594228,1.4876982938675654,0.6862,0.6249,0.4116,0.4511
16,1.5106977710598393,1.4847124427944034,0.6885,0.6267,0.4125,0.4522
17,1.520225854581623,1.489853879590055,0.6855,0.6242,0.4153,0.4525
18,1.5235578265201533,1.4886900405863146,0.6828,0.622,0.414,0.4515
19,1.5216209492044586,1.4870763939696472,0.6869,0.6254,0.4131,0.4524
20,1.5211209312580418,1.4900467568661744,0.6831,0.6221,0.414,0.4521
21,1.5171002346362794,1.488243441303055,0.6883,0.6265,0.4125,0.4517
22,1.513745501138377,1.4838858321631625,0.6928,0.6304,0.4159,0.4546
23,1.5192379085926349,1.4832754816327776,0.6923,0.63,0.4097,0.4518
24,1.5190210949861263,1.4867416271915683,0.6863,0.6249,0.4156,0.4533
25,1.5216122502060028,1.488310087036777,0.6875,0.6259,0.4115,0.4511
26,1.5215423882863168,1.4880127754562344,0.6869,0.6254,0.4109,0.4507
27,1.5188113855973384,1.4885137140492857,0.6882,0.6265,0.4116,0.4513
28,1.5202869206809542,1.4885473506791251,0.6868,0.6254,0.4118,0.4514
29,1.5153937066000613,1.4861666985920496,0.6832,0.6223,0.4113,0.4509
30,1.5183182338778483,1.4860653067047978,0.6845,0.6233,0.4127,0.4524
31,1.5214790378175853,1.4877560396731158,0.6865,0.6251,0.4125,0.4524
32,1.5210709648839595,1.4891848231290843,0.6781,0.6179,0.413,0.4517
33,1.5202849129455511,1.4901901651254463,0.677,0.617,0.4134,0.4512
34,1.5208318046690745,1.48940406113992,0.6791,0.6187,0.4113,0.4502
35,1.5206133609183097,1.4869055874419934,0.6846,0.6235,0.4124,0.4502
36,1.5123431368878013,1.486133520737355,0.6882,0.6264,0.412,0.4504
37,1.5171751114740326,1.4871470964316167,0.6889,0.6271,0.4131,0.4514
38,1.520853443008861,1.488442444698119,0.6856,0.6243,0.4145,0.4513
39,1.5175304974665482,1.4879195344396483,0.6848,0.6236,0.4161,0.4531
40,1.5140361516384417,1.4860852654878196,0.6861,0.6246,0.4128,0.4517
41,1.5191718385550395,1.489827326881937,0.6869,0.6254,0.4128,0.4508
42,1.5186835417622013,1.4885144455608352,0.6835,0.6225,0.4127,0.4502
43,1.5157456847184012,1.4886557986209918,0.6843,0.6232,0.4121,0.4518
44,1.5181619486455142,1.4870779473028142,0.6856,0.6243,0.415,0.4523
45,1.5211666527262144,1.4883104322792648,0.6855,0.6242,0.4111,0.4514
46,1.5192275177063554,1.4863488741251298,0.6903,0.6283,0.4124,0.4524
47,1.5182325661752782,1.4886295594178236,0.6864,0.625,0.4132,0.4524
48,1.5208220511817476,1.4869415440084615,0.6856,0.6243,0.4123,0.4502
49,1.5151884746893742,1.487792471786598,0.694,0.6316,0.4143,0.4522
