epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.7525621431581142,1.6417931199589848,0.6566,0.5909,0.2332,0.3107
1,1.6566075741103963,1.5963668441359615,0.8192,0.7565,0.3489,0.4612
2,1.6162491044359344,1.575100578787007,0.7744,0.7081,0.3291,0.448
3,1.6035566965929058,1.5646932109609826,0.7431,0.6769,0.3111,0.4328
4,1.5962249767837342,1.5597362389296163,0.7275,0.662,0.3007,0.418
5,1.5872927377954054,1.5554678569108378,0.7152,0.6504,0.2959,0.4072
6,1.5873424449320614,1.5558578026243102,0.7085,0.6441,0.2942,0.3932
7,1.585810448279221,1.5547903487176606,0.7058,0.6417,0.2935,0.3957
8,1.586604057031385,1.5555871495436797,0.7017,0.6382,0.2981,0.4023
9,1.5879677047854976,1.5572911800244154,0.6996,0.6364,0.2994,0.3988
10,1.58580236172562,1.556386149548865,0.7,0.6367,0.2963,0.3888
11,1.5844264230089324,1.5548465429962455,0.7003,0.6369,0.287,0.3947
12,1.5844548809471313,1.5548622037941244,0.7004,0.637,0.2913,0.4015
13,1.5872029657854418,1.5547238516085076,0.6921,0.6298,0.2959,0.4009
14,1.5838341898324957,1.55545557706387,0.6975,0.6346,0.2964,0.4081
15,1.5876433524218472,1.5553770576204573,0.7006,0.6372,0.2964,0.4067
16,1.5899166772810467,1.5557023952533673,0.7017,0.6382,0.2908,0.4073
17,1.588479594608243,1.556928309011253,0.7015,0.638,0.2999,0.4039
18,1.5853704370950397,1.5559715148690458,0.6991,0.6359,0.2995,0.4084
19,1.5898731554809369,1.5571822529231316,0.7001,0.6367,0.3005,0.4045
20,1.5872306890750045,1.556063428069606,0.6996,0.6364,0.2958,0.4024
21,1.5871354027798301,1.5559190914228365,0.6927,0.6304,0.2902,0.3977
22,1.5867699900882666,1.5562885230753845,0.6986,0.6355,0.29,0.3985
23,1.587915824075635,1.5558667902822618,0.7012,0.6377,0.2905,0.4018
24,1.5896450677556855,1.556513347667017,0.6988,0.6357,0.296,0.4015
25,1.5834828575262043,1.5560015458049197,0.7005,0.6372,0.2954,0.4029
26,1.5858859890385677,1.5554921389658214,0.7021,0.6386,0.2911,0.3971
27,1.587907830779062,1.556743647887077,0.7014,0.6379,0.293,0.3936
28,1.582554035066988,1.5561874057307388,0.7018,0.6383,0.2919,0.3905
29,1.5874502417858707,1.5563291484143311,0.6979,0.6349,0.2949,0.4008
30,1.5914336063645103,1.5576678996994382,0.6974,0.6344,0.2937,0.4052
31,1.5885639615606464,1.5542280384988496,0.6951,0.6324,0.2971,0.4037
32,1.5881965880473834,1.5582088539094636,0.6971,0.6342,0.3013,0.3919
33,1.5907890962071396,1.556862312993962,0.7004,0.637,0.2916,0.3907
34,1.5861171917481856,1.5568476448327433,0.7067,0.6424,0.2952,0.394
35,1.5887690910882357,1.5561498919606724,0.7025,0.6389,0.2942,0.4023
36,1.5880868941117703,1.5566318644073618,0.7048,0.6409,0.2895,0.4001
37,1.5909638875409176,1.5544972491986824,0.6981,0.6351,0.2894,0.3984
38,1.5878149986837469,1.555072696436019,0.7015,0.638,0.2926,0.3915
39,1.5866235754136264,1.5558204743769262,0.6992,0.636,0.2917,0.392
40,1.584560381881358,1.5537776405161077,0.6985,0.6354,0.291,0.3937
41,1.5849879719138715,1.5553413890140912,0.7008,0.6374,0.2969,0.3946
42,1.5877643385857487,1.5564900948887779,0.6995,0.6363,0.301,0.3986
43,1.583126519000131,1.5539994544281073,0.7013,0.6378,0.2941,0.4023
44,1.5869016340759952,1.5567264825234681,0.7006,0.6372,0.301,0.4045
45,1.5852608071845113,1.5543248150255773,0.7007,0.6373,0.2862,0.4008
46,1.5879089184925317,1.5550487913610616,0.7005,0.6372,0.2893,0.3979
47,1.590598646676141,1.5572914251517425,0.6991,0.6359,0.298,0.3935
48,1.58427298739196,1.5560417693930786,0.6999,0.6366,0.3026,0.3893
49,1.5895445449500563,1.5553426448400918,0.6964,0.6336,0.2907,0.3918
