epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.734470680569918,1.6210333413375921,0.7731,0.6722,0.3722,0.456
1,1.625733599708411,1.568413673025189,0.8914,0.8384,0.3995,0.4711
2,1.5796170749447562,1.542926236664578,0.819,0.7541,0.3965,0.4656
3,1.5586697640316338,1.530153092883882,0.7661,0.699,0.3953,0.4638
4,1.5512694485449905,1.5283492586829446,0.7422,0.6755,0.3948,0.461
5,1.5428265089338475,1.5235506969612915,0.7166,0.6519,0.3951,0.4607
6,1.545165564169724,1.5250793148428847,0.7059,0.6422,0.3945,0.4599
7,1.541435536585356,1.5235121595911134,0.6972,0.6344,0.3944,0.4597
8,1.542337079510164,1.5272038643494312,0.6964,0.6336,0.3916,0.4568
9,1.542300313283382,1.5274161735138336,0.6927,0.6304,0.3973,0.4593
10,1.5427252075603703,1.52518968355088,0.6897,0.6277,0.3931,0.4579
11,1.5400830798171925,1.5265753325961886,0.6935,0.6311,0.3961,0.4586
12,1.5398203890289417,1.5258501538466582,0.6889,0.6271,0.3933,0.4587
13,1.5418200569860103,1.526205714646872,0.6895,0.6275,0.3911,0.4578
14,1.5443380325319664,1.5263124054128474,0.686,0.6247,0.3922,0.4582
15,1.5379627379789307,1.5266038445167212,0.6856,0.6243,0.3959,0.4587
16,1.536126714431498,1.5252838539870786,0.6868,0.6253,0.3939,0.4577
17,1.5384517093879755,1.5248306816790527,0.6897,0.6277,0.3912,0.4575
18,1.5435923059876455,1.5254439861227425,0.6869,0.6253,0.3907,0.4562
19,1.5406354088247107,1.5275294742026886,0.6841,0.623,0.3954,0.4586
20,1.536019626559253,1.5257551670074463,0.6835,0.6225,0.3969,0.4593
21,1.5391749773869674,1.525887713287816,0.6837,0.6226,0.398,0.4597
22,1.5374206700963837,1.5270366655799734,0.6817,0.621,0.394,0.4583
23,1.5471103820218994,1.5283570653432375,0.6826,0.6218,0.3967,0.4585
24,1.5341290131425174,1.526601043872503,0.6862,0.6248,0.3943,0.4582
25,1.533752427717145,1.5241930203520375,0.6908,0.6288,0.3932,0.4577
26,1.543025790932076,1.5255282490284412,0.6858,0.6243,0.3925,0.4578
27,1.5371473982003316,1.5259296932777802,0.6867,0.6251,0.3956,0.4583
28,1.5408372418446974,1.5243720974757042,0.6851,0.6239,0.3923,0.4575
29,1.5395421221781005,1.5250590110754039,0.6846,0.6235,0.3925,0.4575
30,1.5369927828962153,1.524194916863462,0.682,0.6212,0.3914,0.4572
31,1.5459641346520785,1.5279430197430897,0.6796,0.6191,0.394,0.4576
32,1.5382938540438145,1.5265715950495238,0.6853,0.6241,0.3967,0.4589
33,1.5389744868974367,1.5280242149447982,0.6857,0.6244,0.3958,0.4587
34,1.541386195774854,1.5277494006342702,0.686,0.6245,0.3946,0.4592
35,1.537266029410385,1.526992107108558,0.6886,0.6268,0.3896,0.4569
36,1.543059771711176,1.527011601697831,0.6841,0.623,0.3946,0.4591
37,1.537221318084087,1.5251353491436352,0.6845,0.6233,0.3937,0.4589
38,1.5387980802492662,1.5254595145518646,0.6867,0.6251,0.3923,0.4581
39,1.540253848978207,1.526912664438223,0.6857,0.6243,0.3948,0.4582
40,1.5373725382049688,1.5259890659546955,0.6867,0.6252,0.3945,0.4577
41,1.537380699478268,1.5271817368346374,0.6885,0.6267,0.3974,0.4592
42,1.5407430056179539,1.5247971867070054,0.6856,0.6243,0.3939,0.4578
43,1.5376325112780886,1.5249613394468893,0.6873,0.6256,0.3953,0.4584
44,1.5375920074978513,1.526232065060438,0.6813,0.6206,0.3959,0.4589
45,1.5434559616460755,1.52680373295045,0.6813,0.6206,0.3955,0.4591
46,1.5433175205899197,1.5261973710287184,0.6853,0.624,0.392,0.4571
47,1.5442205147024548,1.5265416975145216,0.6832,0.6222,0.3924,0.4575
48,1.536877165428189,1.5242930377200568,0.6864,0.6248,0.3968,0.4594
49,1.5444004049426632,1.5279769804570582,0.6858,0.6245,0.3925,0.4576
