epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.887844031222129,1.6617067747817926,0.1991,0.2717,0.2867,0.3379
1,1.5850052388661215,1.6436932365615646,0.5521,0.4731,0.2903,0.3434
2,1.5512504055739589,1.6507904209615865,0.8301,0.7244,0.2632,0.3155
3,1.539887899131866,1.64797453601639,0.4918,0.4432,0.2822,0.2842
4,1.5333454909792357,1.6488423620983637,0.8144,0.7069,0.271,0.3334
5,1.5308757100664256,1.650338458292412,0.4717,0.4344,0.2671,0.3308
6,1.5323433191582347,1.6461471102454446,0.809,0.7015,0.2908,0.4217
7,1.5301686034818585,1.6485494979016193,0.4604,0.4286,0.2637,0.3288
8,1.5284874811412044,1.6524426044323743,0.4565,0.4268,0.2904,0.4218
9,1.5287512518002087,1.6759124215031083,0.4528,0.4248,0.2501,0.3048
10,1.5273349804170964,1.6560326277951658,0.4513,0.4242,0.2914,0.4224
11,1.5296385965564034,1.6557142373287317,0.8029,0.6947,0.2909,0.4235
12,1.5279016434861141,1.6487172759456552,0.4525,0.4247,0.2885,0.4173
13,1.5290395587540129,1.6533787616919646,0.803,0.6947,0.2517,0.3084
14,1.5283577654635507,1.6532846513764683,0.8023,0.6941,0.291,0.4242
15,1.5268236971928173,1.6833189978744045,0.8029,0.6946,0.2778,0.2779
16,1.5319125536811409,1.6591071494213947,0.4505,0.4238,0.2784,0.2787
17,1.5275991578991903,1.6712242705481393,0.8032,0.695,0.2799,0.2809
18,1.5289131926292439,1.6526233169423554,0.8033,0.6951,0.2906,0.4228
19,1.5311441849293321,1.6414269337922465,0.8029,0.6947,0.2893,0.4209
20,1.5284616439536427,1.639641355126451,0.4469,0.4223,0.2892,0.4215
21,1.5294030342946212,1.6510557772277237,0.4512,0.4242,0.2908,0.4236
22,1.5292223282693105,1.6626487087893795,0.8026,0.6945,0.2755,0.2754
23,1.5256882264283285,1.6635448530122832,0.8033,0.6951,0.265,0.3291
24,1.527367752704894,1.665221035738528,0.4497,0.4236,0.2653,0.3299
25,1.5264334921061138,1.668285061786701,0.8028,0.6946,0.2497,0.3064
26,1.528615152864365,1.6638862828671674,0.8028,0.6946,0.2768,0.2769
27,1.529849374265762,1.657791076800524,0.8027,0.6945,0.2607,0.3261
28,1.5303562287793775,1.6379725257039586,0.8031,0.6948,0.2909,0.4243
29,1.529177012340874,1.6536667919778205,0.8026,0.6944,0.2645,0.3283
30,1.5274907477449573,1.6629921254657565,0.4507,0.4239,0.2622,0.3277
31,1.5293827943824696,1.649242645218259,0.8033,0.6951,0.2898,0.4203
32,1.5276615957609203,1.6609097507608916,0.4524,0.4247,0.2764,0.2762
33,1.529723323275598,1.6699911061819497,0.803,0.6948,0.2775,0.2776
34,1.5297388501429672,1.6470742643653573,0.4514,0.4242,0.2905,0.4219
35,1.5304804970488024,1.661309730438959,0.8026,0.6945,0.2639,0.3289
36,1.5303933670361076,1.6519161679527976,0.803,0.6947,0.2614,0.3267
37,1.5258338870614339,1.6616049808857245,0.4515,0.4243,0.2646,0.3295
38,1.5282810289038427,1.6577621311336368,0.8031,0.6949,0.2638,0.3276
39,1.5262168702896701,1.6437317365175719,0.4517,0.4243,0.2899,0.4214
40,1.5264423841779882,1.6537394900342604,0.8023,0.6942,0.289,0.4197
41,1.5270887298161904,1.663290042381782,0.8031,0.6949,0.2654,0.33
42,1.5269626209325198,1.6609272012462863,0.4481,0.423,0.2654,0.3303
43,1.5284091100168,1.6707701012169645,0.8024,0.6942,0.278,0.2783
44,1.5274414194828014,1.6604239780665475,0.8023,0.6942,0.2649,0.3307
45,1.529433928608324,1.6846114448654703,0.4491,0.4233,0.2769,0.2771
46,1.5307089274294639,1.6842169219797307,0.8028,0.6946,0.2766,0.2769
47,1.5299032937967036,1.6621457988565618,0.8027,0.6945,0.2619,0.3266
48,1.5302984918418683,1.6520240353299427,0.4489,0.4233,0.2895,0.4224
49,1.5310464782292763,1.6723317558115178,0.4497,0.4235,0.251,0.3065
