epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.7580105873386256,1.7206138759464413,0.6494,0.5243,0.169,0.2816
1,1.7202180491394974,1.7062461561970896,0.8042,0.6953,0.2663,0.2941
2,1.7096039816808473,1.7017343044281006,0.4887,0.4418,0.2852,0.3407
3,1.7061901932412928,1.7000421151454315,0.4703,0.4323,0.2747,0.3375
4,1.7052564022073335,1.6906472609672711,0.8014,0.6929,0.2387,0.3557
5,1.7068295299151297,1.695764406934961,0.806,0.6978,0.2703,0.3328
6,1.7046003799404255,1.691012311291385,0.8006,0.6921,0.2687,0.3327
7,1.7052940194401445,1.698299298554788,0.8,0.6916,0.2692,0.3328
8,1.7052078415332228,1.6847891549527387,0.7996,0.6913,0.263,0.446
9,1.705538033440923,1.695234557766935,0.4312,0.4147,0.266,0.443
10,1.7056465452652798,1.698709976105463,0.7961,0.6873,0.2667,0.3288
11,1.7065164676408449,1.6963703900704652,0.795,0.6862,0.261,0.4401
12,1.7066289674152026,1.6956050783008725,0.794,0.685,0.2663,0.326
13,1.7041668592457566,1.6876630860489685,0.4361,0.4169,0.2741,0.4469
14,1.705785526898489,1.699514186743534,0.7965,0.6878,0.244,0.3516
15,1.706210784364545,1.7043082853416345,0.4345,0.4162,0.2691,0.3014
16,1.7054135055062873,1.6992318568291602,0.8023,0.6938,0.2369,0.3519
17,1.7082401437052128,1.6916778552067744,0.4382,0.418,0.2627,0.4415
18,1.7069948572291143,1.6919468909631044,0.4333,0.4157,0.2742,0.4473
19,1.7068972369415338,1.6961213752820894,0.7962,0.6875,0.2544,0.3537
20,1.7069292827086016,1.6924928787982825,0.7985,0.69,0.2686,0.3316
21,1.7060227803351207,1.6997624878243451,0.4357,0.4167,0.2671,0.3289
22,1.7056521977248944,1.6910067868955208,0.4354,0.4165,0.2694,0.4467
23,1.705726188620882,1.691548870239423,0.7979,0.6893,0.2704,0.4443
24,1.7073486903637791,1.7041153371076048,0.7969,0.6882,0.2687,0.3027
25,1.704956190865576,1.6937003460797397,0.442,0.42,0.2712,0.4455
26,1.706496569671129,1.6940783076472097,0.4382,0.418,0.2662,0.4482
27,1.704455310505543,1.6842068051879024,0.7961,0.6873,0.2563,0.4464
28,1.7063817200763374,1.7031512441057148,0.7988,0.6904,0.2681,0.3299
29,1.7059311973706386,1.6856507728626202,0.7963,0.6876,0.2621,0.4469
30,1.7056951291823501,1.6973699733808443,0.7981,0.6895,0.2449,0.3507
31,1.7062526512088958,1.6954140828285382,0.7964,0.6877,0.243,0.35
32,1.7042674456486862,1.6920007224722857,0.4289,0.4134,0.2779,0.4479
33,1.7058532742792338,1.695088317899993,0.433,0.4155,0.2634,0.3585
34,1.7049398778728322,1.6878211317640361,0.7998,0.6914,0.2679,0.4476
35,1.7046019024255743,1.6876304897911105,0.7981,0.6896,0.231,0.3527
36,1.7043173395845879,1.6948979313755448,0.7991,0.6906,0.2411,0.3513
37,1.7054388042557183,1.6896449998343661,0.8005,0.6921,0.2453,0.3527
38,1.7047217536771127,1.7027088821708383,0.8007,0.6922,0.2712,0.2973
39,1.7072560045707739,1.701432333364115,0.7999,0.6915,0.2666,0.3012
40,1.7047886859857295,1.7000622026848071,0.4441,0.4208,0.2699,0.3335
41,1.70573686412647,1.6930105727472347,0.8014,0.6928,0.2639,0.4423
42,1.7060370191432643,1.6948271551173486,0.7996,0.6912,0.2412,0.3502
43,1.7035272744568912,1.6874479039922936,0.7996,0.6912,0.2644,0.4428
44,1.7041696138929523,1.7026101149521864,0.7993,0.6909,0.2673,0.3284
45,1.7049372157696903,1.687193583100389,0.4388,0.4183,0.2368,0.3496
46,1.7041355392864446,1.70041895067537,0.795,0.6862,0.2695,0.331
47,1.7042999019463096,1.6970714841570174,0.7961,0.6874,0.273,0.302
48,1.7052574874966908,1.6997140088638703,0.7945,0.6857,0.2661,0.2986
49,1.7038433201005014,1.6856134804812344,0.4399,0.4189,0.2654,0.4468
