epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.6913707132259626,1.6650088204965963,0.2293,0.28,0.2925,0.357
1,1.588351850304307,1.6331840820642778,0.8478,0.7446,0.2821,0.3296
2,1.5566541291595075,1.6378697347847415,0.5135,0.454,0.291,0.2974
3,1.5424418641904896,1.635485780703557,0.8202,0.7133,0.2894,0.2925
4,1.5349355993088352,1.636661477419205,0.4767,0.436,0.2976,0.4335
5,1.5330520343552365,1.6522035841301923,0.4681,0.4324,0.2738,0.3378
6,1.5305601130261945,1.6410780665162321,0.4591,0.4279,0.2579,0.3175
7,1.5293164817910445,1.6460847255987523,0.4569,0.4267,0.2588,0.3193
8,1.5287375317521072,1.6425187845766802,0.804,0.6958,0.2953,0.431
9,1.5287935993317783,1.6509216554237134,0.4529,0.4248,0.2732,0.3368
10,1.529679982713535,1.646918686953458,0.8031,0.6949,0.2955,0.4312
11,1.5298327950484445,1.651228894919028,0.8033,0.6952,0.2948,0.4297
12,1.526802633510252,1.6469214277350026,0.4495,0.4234,0.2948,0.4304
13,1.5271450399496909,1.648597736379285,0.8022,0.694,0.2947,0.4289
14,1.5255352134624738,1.6462346258617582,0.8031,0.6949,0.2942,0.4291
15,1.5292707723008387,1.6550575737313276,0.8035,0.6954,0.2543,0.314
16,1.5294544374543515,1.649656425822865,0.8028,0.6945,0.2951,0.4303
17,1.5298411183094864,1.6514531327532482,0.803,0.6948,0.2948,0.4289
18,1.5314373691971792,1.6627891197865143,0.8035,0.6954,0.2841,0.284
19,1.527964287967773,1.652559941981262,0.8029,0.6947,0.2732,0.3371
20,1.5277485234315316,1.6487992862602332,0.4506,0.4239,0.2945,0.4306
21,1.5290290326878215,1.6584981277391508,0.8039,0.6956,0.2851,0.2857
22,1.5295711258096558,1.651963495588922,0.8035,0.6953,0.294,0.4297
23,1.533392200629677,1.6513416323310885,0.8032,0.695,0.2943,0.4293
24,1.5338545022398662,1.6537716543519652,0.8024,0.6942,0.2536,0.314
25,1.5286178812741094,1.6691903221658815,0.4493,0.4233,0.2852,0.2854
26,1.5302455445225729,1.654820974255021,0.803,0.6948,0.2556,0.3162
27,1.528056864390533,1.651351489545979,0.4511,0.4241,0.2947,0.4304
28,1.530947207406377,1.6533670884706242,0.4502,0.4238,0.2549,0.3143
29,1.5265709851917468,1.6598748009958308,0.4488,0.4232,0.2549,0.3142
30,1.5288734202179612,1.6533896195424067,0.4488,0.4232,0.2955,0.4321
31,1.5279480183238618,1.6642034740159006,0.8026,0.6945,0.254,0.3138
32,1.5304258414432763,1.6580210093295935,0.4486,0.4231,0.27,0.335
33,1.5321156462413843,1.6567368414494898,0.8021,0.694,0.2721,0.337
34,1.5284899290668907,1.6622996516041941,0.4503,0.4238,0.2548,0.315
35,1.532533020351492,1.661574658377346,0.8029,0.6947,0.2859,0.2865
36,1.5282551771716069,1.6530375635469114,0.448,0.4229,0.2723,0.337
37,1.5285816219719974,1.6479805759537272,0.4499,0.4237,0.2951,0.4303
38,1.5276525113286015,1.6592626184612125,0.8034,0.6952,0.2878,0.2889
39,1.5288638444038098,1.6611436693183272,0.4497,0.4235,0.2558,0.3156
40,1.525809944531564,1.6623032815528638,0.8025,0.6943,0.2723,0.3372
41,1.5301226030981712,1.657261880445274,0.4525,0.4247,0.2722,0.3371
42,1.526761222826807,1.6657232469294494,0.8033,0.6951,0.2541,0.3142
43,1.5286071919368214,1.6597713825506566,0.4491,0.4233,0.2545,0.3134
44,1.5277883019743923,1.6608207793462844,0.8029,0.6947,0.2862,0.2872
45,1.5285904073829286,1.6669216032152052,0.4509,0.424,0.2846,0.2851
46,1.5317173286488182,1.6542799137371442,0.4488,0.4232,0.2757,0.3403
47,1.5295060040277728,1.6541109616622265,0.8018,0.6936,0.2955,0.429
48,1.5293141174259368,1.6511349105215691,0.8029,0.6947,0.256,0.3163
49,1.5289930694126057,1.6458640934584976,0.4498,0.4236,0.2943,0.4288
