epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.725253257027083,1.6944205724831782,0.1303,0.254,0.1619,0.4305
1,1.709812974387949,1.6917056216822042,0.8092,0.7007,0.2791,0.3706
2,1.7065678526910297,1.6851923507013362,0.4665,0.4306,0.2069,0.3458
3,1.7046254090430064,1.6942113937237562,0.8038,0.6953,0.2989,0.377
4,1.705965895401804,1.688918914113726,0.8047,0.6963,0.243,0.3463
5,1.7058383927961285,1.7014941746022278,0.8019,0.6934,0.2916,0.3253
6,1.7041901869066594,1.699808585695374,0.8006,0.6921,0.293,0.3238
7,1.7044872260835182,1.6911990931539824,0.4414,0.4197,0.2912,0.3631
8,1.7049309463021858,1.682949827346967,0.7976,0.689,0.276,0.4597
9,1.7053650800120888,1.697736618838785,0.4376,0.4177,0.284,0.3061
10,1.7055722797316226,1.7088035453449597,0.7966,0.6879,0.2989,0.3143
11,1.7051862700704181,1.6941457749445201,0.7961,0.6873,0.2929,0.3639
12,1.7061290572704881,1.7014550832442907,0.795,0.6862,0.299,0.3128
13,1.7040367892199155,1.6992298865215087,0.7999,0.6916,0.2306,0.3219
14,1.7039141057495866,1.6966302379385216,0.7958,0.687,0.2606,0.3314
15,1.7053605547647157,1.6948676842115658,0.4271,0.4124,0.2823,0.4347
16,1.7035852888839667,1.6949612939512575,0.4392,0.4184,0.2696,0.3353
17,1.704246861655176,1.6897172195054753,0.4362,0.4169,0.2818,0.4427
18,1.7033043539410002,1.6937233932090527,0.8014,0.6929,0.2685,0.3369
19,1.7038425552217584,1.6956242751249504,0.798,0.6894,0.2586,0.3272
20,1.7066356511207288,1.6949742846674734,0.4407,0.4192,0.2614,0.33
21,1.7045974062675495,1.6981894428079778,0.7964,0.6877,0.2716,0.2797
22,1.70439521020109,1.6930920943553314,0.4338,0.4159,0.2889,0.4355
23,1.7032211388697465,1.6952686547200917,0.4398,0.4188,0.2868,0.4397
24,1.7020535406313444,1.6995973669605338,0.7991,0.6907,0.2739,0.2736
25,1.704385560095025,1.6952777786172313,0.7989,0.6905,0.2862,0.4257
26,1.7040170048982903,1.6987369576573887,0.8007,0.6922,0.2198,0.3032
27,1.7024072501362797,1.6962131210219809,0.4449,0.4212,0.2955,0.303
28,1.7044552270875593,1.6964208852677118,0.4465,0.4217,0.2685,0.3362
29,1.7040419913650129,1.693641523262123,0.4367,0.4172,0.2908,0.4431
30,1.7042943741145886,1.6888377996750208,0.793,0.684,0.2906,0.4509
31,1.7040996220693634,1.6944261500329683,0.7972,0.6885,0.2723,0.3467
32,1.7044760927058864,1.6850785476304753,0.4421,0.4201,0.2908,0.4496
33,1.7032985735738106,1.6976901850143036,0.4431,0.4205,0.2271,0.3096
34,1.7052067606643055,1.694021978935638,0.8002,0.6918,0.2676,0.3391
35,1.7049262108700127,1.6929822700880306,0.4363,0.417,0.2921,0.4473
36,1.704645077007239,1.6975407332052916,0.4359,0.4168,0.2895,0.2985
37,1.704444982360995,1.696902101690119,0.4352,0.4164,0.2961,0.3021
38,1.7045853157933248,1.6891521277365746,0.431,0.4146,0.2748,0.4458
39,1.704369420069827,1.689470050654886,0.4354,0.4165,0.284,0.4482
40,1.703948545969274,1.6996375812596574,0.4406,0.4192,0.2736,0.2751
41,1.703964045601028,1.697388599961351,0.4463,0.4216,0.2303,0.3138
42,1.7042987450743405,1.6906148845499211,0.4422,0.4201,0.2856,0.4317
43,1.7049973165019277,1.6901042033067513,0.4413,0.4196,0.2817,0.4342
44,1.7037434763315191,1.6939469565560807,0.4246,0.4109,0.2776,0.4298
45,1.7053729562382949,1.6935964301551059,0.7954,0.6866,0.2774,0.4289
46,1.7041911151990936,1.6971421293366007,0.4331,0.4156,0.2742,0.4216
47,1.7033668980358891,1.696054671749924,0.7972,0.6886,0.2659,0.332
48,1.705467874496177,1.6961284746855367,0.7964,0.6876,0.2573,0.323
49,1.7057845390014101,1.6989875402285424,0.7972,0.6886,0.2782,0.2839
