epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.8048268492427169,1.7250468287117038,0.8705,0.7707,0.0607,0.138
1,1.739086393106497,1.7107568618023035,0.8705,0.7707,0.3501,0.3486
2,1.7204773846710697,1.705464348132476,0.8705,0.7707,0.3637,0.4392
3,1.716460241227629,1.7029371597034075,0.8705,0.771,0.3798,0.501
4,1.7143171928716048,1.7022439009183412,0.8551,0.765,0.3745,0.4961
5,1.7148460121246045,1.7021146512134766,0.8045,0.7106,0.3709,0.5015
6,1.7145376805768628,1.7017510272723773,0.7825,0.6885,0.3645,0.5035
7,1.7157512859009099,1.7008548030605564,0.7328,0.6417,0.3659,0.5034
8,1.7151861657081038,1.7018955940808052,0.7456,0.6531,0.3693,0.4997
9,1.7156629896049864,1.7017098082092417,0.7281,0.6391,0.3699,0.5053
10,1.7162732926852395,1.701861226197445,0.5823,0.531,0.373,0.5024
11,1.714846959382153,1.7014715588970102,0.6676,0.591,0.3721,0.4959
12,1.7145720877145465,1.7016626054590398,0.7501,0.6577,0.3646,0.5093
13,1.7140065203443098,1.7009681876087601,0.7096,0.6234,0.3624,0.5063
14,1.7153823666595387,1.7005342410240338,0.7328,0.6426,0.3561,0.5078
15,1.7148900745017677,1.7007234468088521,0.5232,0.4901,0.3623,0.5048
16,1.714719086315073,1.700751820167938,0.6714,0.5963,0.3707,0.5058
17,1.7151166447326898,1.7014361119373536,0.612,0.5511,0.3665,0.5045
18,1.715308793281254,1.7013384821094992,0.682,0.6025,0.3637,0.5029
19,1.716154681581059,1.7014694301596969,0.7162,0.6293,0.3667,0.5046
20,1.715919967330814,1.70206360435073,0.6479,0.5768,0.3685,0.4991
21,1.713578530190664,1.7012285071533997,0.6262,0.561,0.3676,0.503
22,1.7166701419786974,1.70119968534032,0.5495,0.5073,0.3624,0.5044
23,1.7142702301153157,1.7007554403115144,0.7197,0.6313,0.3626,0.5055
24,1.7147717427408866,1.700881189082092,0.6641,0.5874,0.3625,0.5045
25,1.7145525918622906,1.7011776770348157,0.8149,0.7217,0.3661,0.4945
26,1.7144546929443851,1.7007050441973137,0.5744,0.5224,0.362,0.5021
27,1.7141901481379733,1.7002835216976346,0.6754,0.5956,0.3662,0.4996
28,1.7146750400511273,1.7003719290613613,0.6854,0.6053,0.3604,0.5074
29,1.7159092784213108,1.7014337876142362,0.6959,0.6146,0.3714,0.5027
30,1.7142619698811947,1.7008328184936985,0.5987,0.5424,0.36,0.5062
31,1.7142647236728212,1.700837169890796,0.6714,0.594,0.364,0.5017
32,1.714689876189072,1.7013676956102446,0.5726,0.523,0.3603,0.5005
33,1.7146713332981585,1.7008033433517853,0.6877,0.6054,0.357,0.5026
34,1.7163610290112108,1.7010009195897486,0.753,0.6606,0.3569,0.5051
35,1.7153267779133536,1.7012513710822894,0.7081,0.6213,0.3596,0.5067
36,1.7152909499606448,1.7010387662169222,0.7117,0.6242,0.3454,0.5061
37,1.716317908472992,1.7017503543333574,0.7185,0.6305,0.3661,0.5081
38,1.7152886188201357,1.7008529080973043,0.6321,0.5642,0.3589,0.5047
39,1.713264102713343,1.700519345539473,0.7444,0.6544,0.3686,0.5046
40,1.7152563818333821,1.7002849950418844,0.7225,0.6355,0.3572,0.5013
41,1.7142054904876143,1.700156865181861,0.6308,0.5655,0.3576,0.5041
42,1.71550751972997,1.7008942050851268,0.761,0.6697,0.359,0.5044
43,1.7156592098434575,1.7011462491312068,0.692,0.6118,0.3524,0.5041
44,1.7153741087069352,1.7010936133273236,0.7141,0.6267,0.358,0.504
45,1.7160289270455757,1.7011090702824778,0.7386,0.649,0.3654,0.5069
46,1.714817137096487,1.701601873744618,0.7398,0.6509,0.3719,0.5024
47,1.7156128846287158,1.701034630015815,0.6525,0.5821,0.358,0.5047
48,1.71417181044104,1.7013894556920766,0.5584,0.5147,0.3727,0.4991
49,1.714800048530387,1.701641048703875,0.6921,0.6111,0.3747,0.4999
