epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.809170582790694,1.7243795074941792,0.8705,0.7707,0.0635,0.1403
1,1.7415003534139057,1.7097886707875636,0.8705,0.7707,0.2871,0.3318
2,1.7216887351428494,1.705368437292256,0.8705,0.7707,0.3859,0.4876
3,1.7160809610448955,1.7038758420324944,0.8753,0.7872,0.3806,0.5029
4,1.7166579478380213,1.7026266757543984,0.8623,0.7762,0.3787,0.5082
5,1.716358396140012,1.7019673121439947,0.8238,0.7321,0.3675,0.5114
6,1.715866335128483,1.7023380504542098,0.7105,0.6287,0.3619,0.5108
7,1.7148765920166764,1.7020883353757652,0.723,0.6381,0.3777,0.513
8,1.7155356214662487,1.7019207214380239,0.7315,0.6451,0.3715,0.5144
9,1.7161487305278413,1.7024657282478366,0.676,0.6019,0.3778,0.5059
10,1.7159939368375752,1.7019302628257058,0.7413,0.6555,0.3681,0.512
11,1.7151417100543611,1.7024088649006632,0.6486,0.5813,0.3722,0.5123
12,1.7142976683577853,1.7021009013766335,0.6514,0.5814,0.3721,0.5142
13,1.7154304512094654,1.7022343615948896,0.5719,0.5253,0.3737,0.5133
14,1.7164242554224278,1.7028440670533613,0.6872,0.6095,0.3711,0.5146
15,1.7165562628844138,1.7019421414379434,0.6653,0.5946,0.3512,0.5086
16,1.7152712527644691,1.7014937075701626,0.7135,0.631,0.355,0.5119
17,1.7147698229865025,1.702367740276056,0.6591,0.5892,0.3588,0.5089
18,1.7159255484930065,1.7023097230242443,0.5941,0.5425,0.3666,0.5117
19,1.7167299311412008,1.7028637164598937,0.4262,0.4316,0.3568,0.5089
20,1.7172832292232787,1.7027129239334173,0.6,0.5458,0.3649,0.511
21,1.7162829613286343,1.7024362980029284,0.5513,0.5121,0.3609,0.512
22,1.7160359750809282,1.7028172392865797,0.6522,0.5851,0.3753,0.5156
23,1.716160029458087,1.7029025301788792,0.7065,0.6266,0.3792,0.5032
24,1.7160234963209435,1.701973031093548,0.6624,0.5914,0.3691,0.514
25,1.7145320667604511,1.701603924557244,0.6875,0.6112,0.3771,0.5123
26,1.7155915642754314,1.7016134752339616,0.6372,0.5725,0.3743,0.5139
27,1.7156126955479527,1.7019552787144978,0.6194,0.5598,0.3709,0.5164
28,1.7150174772910525,1.7015195548276365,0.5726,0.5259,0.3642,0.5135
29,1.715114987638008,1.7022450037332841,0.8149,0.724,0.3758,0.5124
30,1.716115644388792,1.7021957568792037,0.7722,0.6814,0.3766,0.5138
31,1.715467176654122,1.7020369608164865,0.7086,0.6277,0.3738,0.5129
32,1.7152266453898124,1.701761284431854,0.781,0.6903,0.378,0.5142
33,1.716803726111873,1.7019381306388162,0.7644,0.6744,0.3637,0.512
34,1.7140177322917007,1.701423981489041,0.5976,0.5449,0.3614,0.5121
35,1.716329752828516,1.702012662247662,0.6316,0.5684,0.3751,0.5141
36,1.7175179440439032,1.7024351699011666,0.589,0.5384,0.3641,0.5128
37,1.7155568970447521,1.7021896962995653,0.6239,0.5641,0.3645,0.5124
38,1.7165776348570316,1.7013790261693846,0.6405,0.5762,0.3546,0.5092
39,1.7162827076524068,1.7027033933829436,0.5777,0.5293,0.3719,0.5153
40,1.7158102387446537,1.7027860838613469,0.7587,0.6706,0.3775,0.5073
41,1.7164153681987782,1.7022220474300962,0.7568,0.6674,0.3767,0.5123
42,1.7147263403999748,1.7017744366740768,0.6647,0.5936,0.3629,0.514
43,1.7153400951310207,1.7009891075489325,0.633,0.5702,0.3483,0.507
44,1.7168601922441327,1.7023540379165054,0.706,0.6262,0.3683,0.5129
45,1.7154971142990167,1.7018813751476667,0.6013,0.5475,0.3693,0.5143
46,1.7162977916201907,1.7018005347355103,0.5491,0.5111,0.3686,0.5152
47,1.715413852456654,1.7023149434622231,0.6819,0.6065,0.3731,0.5153
48,1.715515975604217,1.7021558547948863,0.6449,0.577,0.3715,0.517
49,1.715226439055073,1.7015026740697554,0.7096,0.626,0.3644,0.5138
