epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.907226275599174,1.712930862005655,0.8525,0.743,0.1732,0.2817
1,1.7164789404024918,1.6991086176463537,0.8704,0.7706,0.2519,0.2774
2,1.7062772240079762,1.7095718755350484,0.5885,0.4918,0.2308,0.3221
3,1.7013202369498295,1.6999720015051045,0.8314,0.7253,0.2748,0.2775
4,1.699522604354831,1.6879735937366238,0.4836,0.4385,0.2732,0.4162
5,1.6987269884376435,1.6886370403942093,0.808,0.6991,0.2407,0.2966
6,1.699612315761986,1.688239623973896,0.8053,0.6964,0.235,0.3224
7,1.697331534475801,1.6911814109587566,0.4503,0.4226,0.2319,0.3278
8,1.6981213105637492,1.690067985357144,0.4525,0.4235,0.256,0.4136
9,1.6966401426986073,1.6941895386873385,0.4508,0.4229,0.2234,0.3284
10,1.6957472685421482,1.6859091876389145,0.4465,0.4211,0.2499,0.3073
11,1.6981065708199186,1.6905169739867703,0.4464,0.421,0.2419,0.2972
12,1.6975377069420792,1.6838638503830154,0.4494,0.4222,0.262,0.3981
13,1.7003418838863738,1.6982616944746538,0.8012,0.6923,0.2586,0.2701
14,1.699420558778863,1.6886569344120108,0.4415,0.419,0.2246,0.3314
15,1.6988434236870997,1.6972433787919743,0.445,0.4205,0.2593,0.2742
16,1.6981299284257387,1.6826465165976323,0.4493,0.4221,0.2578,0.4181
17,1.6999038253959857,1.7134778473800394,0.8006,0.6917,0.2437,0.2984
18,1.6981505884223007,1.6887840589919647,0.4466,0.421,0.2236,0.3105
19,1.6996176063158865,1.6866552122743614,0.8007,0.6917,0.259,0.4157
20,1.699712263054825,1.7178516119589538,0.4458,0.421,0.261,0.274
21,1.698734092084985,1.6949797332028806,0.8011,0.6922,0.2413,0.2959
22,1.6993618586131831,1.6874559957743722,0.4455,0.4208,0.2276,0.3201
23,1.6988984781304044,1.721011970982407,0.4484,0.4218,0.2387,0.2935
24,1.7004708375371815,1.7014224137062635,0.4438,0.4201,0.2441,0.3
25,1.6992952375891106,1.6863419096191208,0.4417,0.4191,0.2546,0.4016
26,1.6990461557675778,1.7002825685393759,0.8012,0.6923,0.2407,0.2943
27,1.6967354044674687,1.7085643304890885,0.4454,0.4207,0.2566,0.268
28,1.6979601143649892,1.6953509179028599,0.4447,0.4203,0.2413,0.2951
29,1.698290612709009,1.6904783254061944,0.8001,0.6913,0.2555,0.2718
30,1.699187942811747,1.672502054280533,0.8009,0.692,0.2608,0.4208
31,1.6977673599309329,1.682501138546766,0.4444,0.4203,0.2622,0.3968
32,1.6975183124747573,1.6795417287132957,0.4426,0.4195,0.2595,0.4128
33,1.6975133631503183,1.6956664628280707,0.8006,0.6918,0.2157,0.3236
34,1.6991285429331675,1.696976739606816,0.8021,0.6932,0.2435,0.2986
35,1.7004926342998394,1.6991159405027116,0.4385,0.4173,0.2609,0.2809
36,1.696256066623487,1.7117092387500779,0.4455,0.4208,0.26,0.2818
37,1.6970954162367222,1.6829079709527812,0.7999,0.691,0.2597,0.4174
38,1.6968771853800595,1.7010224102895497,0.8006,0.6918,0.2258,0.3241
39,1.7001671113751151,1.7065920406605775,0.8006,0.6917,0.2555,0.2664
40,1.6978618525432057,1.6877897668194461,0.4443,0.4203,0.2175,0.3235
41,1.6985323390607059,1.695545425146689,0.8005,0.6916,0.2349,0.3285
42,1.6989864967941668,1.695429260080511,0.8006,0.6917,0.2571,0.2803
43,1.6970851305854378,1.7149582667784258,0.4458,0.4209,0.2538,0.2761
44,1.6980425647000947,1.6904683510462444,0.7992,0.6904,0.2552,0.412
45,1.696584287442659,1.7036866852731416,0.8002,0.6914,0.2475,0.3031
46,1.699617235711887,1.7006650899911855,0.8014,0.6925,0.2445,0.3006
47,1.6985382292259252,1.7230933997538183,0.4509,0.423,0.2602,0.2732
48,1.6966968716331645,1.6861890513143498,0.8012,0.6923,0.2374,0.2921
49,1.6991590937358911,1.7119170251862827,0.4488,0.4218,0.253,0.263
