epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.826121894651623,1.6685593174649525,0.4781,0.408,0.2742,0.435
1,1.6686257600213923,1.6760619171770104,0.858,0.7517,0.2504,0.3078
2,1.6488133152706201,1.6717909719004775,0.8688,0.7681,0.2752,0.2765
3,1.6390732290071734,1.6637350150517054,0.6065,0.5,0.2538,0.3072
4,1.6350709660486742,1.650657835976902,0.8705,0.7707,0.2548,0.3121
5,1.6328430624955008,1.6594143641459478,0.6065,0.5001,0.2769,0.2772
6,1.6317230790996096,1.6537686003234995,0.6014,0.497,0.2489,0.3047
7,1.630528894195146,1.6574992101429862,0.5906,0.4921,0.2471,0.3038
8,1.6293707554135026,1.654035960441028,0.5836,0.4891,0.2967,0.4202
9,1.6275514301500822,1.6624547991401706,0.5701,0.4824,0.2761,0.2763
10,1.6287899171336415,1.6681156148126115,0.5509,0.4728,0.2471,0.3021
11,1.630215163008448,1.6519724889235063,0.8455,0.7421,0.2942,0.4137
12,1.627788210884806,1.6759889425137342,0.8387,0.7339,0.2714,0.324
13,1.6285880852544137,1.6661143132618494,0.5222,0.458,0.2718,0.2713
14,1.6263640637032724,1.6736641559765968,0.5162,0.4547,0.248,0.3019
15,1.6264770358943483,1.6574987379503456,0.8293,0.7232,0.272,0.2722
16,1.6247476012798017,1.664878336898176,0.8251,0.7186,0.2752,0.2763
17,1.6260598793839725,1.6548725268541475,0.5006,0.4473,0.2679,0.3203
18,1.6264003336999975,1.6613140689346182,0.4948,0.4447,0.2497,0.3069
19,1.6264097656359513,1.669646175908836,0.8246,0.718,0.273,0.3263
20,1.6261240432136936,1.6502724147978283,0.4883,0.4419,0.2438,0.2975
21,1.6251190887969076,1.6423444133816343,0.4821,0.4391,0.2945,0.4161
22,1.6267153148730975,1.6661538520416657,0.4784,0.4371,0.2472,0.3002
23,1.6236664825364162,1.6608553531365993,0.8176,0.7107,0.2704,0.2713
24,1.6237458893271726,1.650102096718627,0.8162,0.7091,0.263,0.3181
25,1.6253638109236812,1.6623099593373087,0.8164,0.7092,0.2682,0.3225
26,1.620877218160903,1.666460674046438,0.4751,0.4353,0.2659,0.3202
27,1.6227120978124974,1.6384245797153159,0.4766,0.4363,0.2911,0.4099
28,1.6242904098410356,1.659316165106637,0.471,0.4333,0.245,0.3004
29,1.6234024155653264,1.664223930020353,0.8129,0.7054,0.2635,0.3175
30,1.6231497496223906,1.6496061592391043,0.4736,0.4345,0.2907,0.4096
31,1.6229105183952732,1.6412550035493199,0.465,0.4304,0.2927,0.4129
32,1.6214660839600996,1.6839325231907172,0.8119,0.7043,0.2666,0.2657
33,1.6242441686146567,1.6363242028595566,0.465,0.4303,0.293,0.4131
34,1.622862110868025,1.6644082513206448,0.465,0.4304,0.2395,0.2898
35,1.6237663866230174,1.6527284270241147,0.4616,0.4291,0.2636,0.3182
36,1.6235676586057581,1.654922821305015,0.4587,0.4277,0.2469,0.3007
37,1.6259067392235167,1.696722800597484,0.81,0.7023,0.2674,0.2677
38,1.62039418967717,1.6516619600774922,0.8112,0.7036,0.2633,0.3182
39,1.6232275660528521,1.660558382154027,0.8106,0.703,0.2557,0.3097
40,1.6232236348555988,1.646422250446303,0.8074,0.6994,0.2907,0.4102
41,1.6199398534149645,1.666545354442679,0.8083,0.7003,0.2704,0.2711
42,1.6218024497967587,1.6483096317811445,0.4601,0.4281,0.2905,0.4107
43,1.6208482942227542,1.6489796917159836,0.4646,0.4301,0.2627,0.3176
44,1.6205811925481952,1.6892051758704247,0.4631,0.4294,0.2421,0.2951
45,1.6215697773620843,1.6724194737223836,0.8067,0.6986,0.2635,0.2623
46,1.6217329281083706,1.6536762306700536,0.8086,0.7006,0.2908,0.4124
47,1.6201258635406859,1.6343884235852724,0.4599,0.4279,0.29,0.4088
48,1.621758699559709,1.6359900375465295,0.8064,0.6983,0.2915,0.4144
49,1.6223262980509032,1.6503894452924852,0.8069,0.6987,0.2597,0.3148
