epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.880434548598157,1.7186426543570184,0.572,0.4698,0.1613,0.2912
1,1.727536329242031,1.7053161426024004,0.8704,0.7706,0.1754,0.2306
2,1.7081005948297145,1.7029521036973763,0.5862,0.4905,0.2128,0.3481
3,1.7016560383960961,1.6876651812425423,0.8275,0.7212,0.2332,0.4409
4,1.7003241043056598,1.6964901278029272,0.4758,0.4345,0.2502,0.2965
5,1.6983715016305732,1.6918298449867215,0.4677,0.4301,0.2352,0.3439
6,1.6991355949611755,1.6881075622715476,0.4585,0.426,0.2537,0.4351
7,1.6995231188370281,1.6921710699667663,0.4504,0.4227,0.2585,0.3179
8,1.69662032828947,1.6879247421826118,0.448,0.4216,0.2615,0.4364
9,1.6992150653492322,1.6873119971452852,0.446,0.4209,0.2319,0.338
10,1.6978951363187087,1.6940333941282133,0.8005,0.6916,0.2661,0.29
11,1.6999859941062745,1.7033162416317762,0.4475,0.4214,0.2665,0.2892
12,1.6989010385634227,1.687534473675154,0.4429,0.4197,0.2547,0.4345
13,1.6975512063959568,1.6972218922206335,0.4456,0.4208,0.2678,0.2918
14,1.698888442020097,1.6854515302748907,0.8006,0.6918,0.2633,0.4327
15,1.697672560311961,1.6865069850698693,0.4461,0.421,0.2531,0.4327
16,1.6988923753562726,1.6875031603363169,0.4463,0.421,0.2572,0.4296
17,1.6984025989993337,1.6858024499117037,0.7998,0.6909,0.2271,0.3359
18,1.699462963776155,1.6861001438908763,0.7998,0.6909,0.2313,0.3376
19,1.698697225328838,1.6881581802904864,0.8001,0.6913,0.2639,0.4295
20,1.6980205403560658,1.6871313620439339,0.8008,0.6919,0.255,0.4357
21,1.6981700278069984,1.6975292467967773,0.4495,0.4222,0.2458,0.3457
22,1.6972849175120084,1.692605023776298,0.8015,0.6925,0.2333,0.3408
23,1.6969462781431572,1.6832423653953519,0.8009,0.6919,0.2522,0.4342
24,1.698644977437252,1.696702472575299,0.7998,0.6911,0.2601,0.3208
25,1.6972977561813793,1.6944834540932725,0.4496,0.4223,0.2588,0.3194
26,1.6964481196335057,1.6919706559284424,0.7999,0.6911,0.2592,0.3211
27,1.6960792580004513,1.6901121841364608,0.4443,0.4203,0.2569,0.3169
28,1.6986333492555117,1.68415409610385,0.446,0.4209,0.24,0.3405
29,1.6989857068187313,1.6959969625844584,0.4434,0.42,0.2647,0.2931
30,1.6976811017431142,1.6966601290228047,0.4466,0.4211,0.2324,0.3361
31,1.6996202745506068,1.6847728738537082,0.4423,0.4194,0.265,0.4283
32,1.6966456832212695,1.689173994126258,0.4513,0.423,0.2574,0.4346
33,1.6985898464205162,1.6849544383746722,0.8001,0.6913,0.2323,0.3392
34,1.698614693714671,1.6931490588497806,0.7983,0.6895,0.2236,0.3366
35,1.6975335584302838,1.6889101684867562,0.4451,0.4206,0.271,0.4353
36,1.699691021841679,1.6750618988301331,0.8006,0.6917,0.2538,0.4359
37,1.6978722010788165,1.6854218131019956,0.8023,0.6934,0.2552,0.4306
38,1.7003771625637438,1.6899048982760607,0.4502,0.4226,0.2242,0.3369
39,1.6978026681254355,1.6974829058626513,0.4499,0.4226,0.2581,0.3162
40,1.6997541214860798,1.690327050365927,0.8019,0.693,0.2539,0.2872
41,1.6980132008568523,1.6816447519120716,0.8013,0.6923,0.2346,0.3408
42,1.6982031473132413,1.687558906934994,0.4475,0.4214,0.2367,0.3409
43,1.6979100062516317,1.6925699277357622,0.4474,0.4213,0.2597,0.3189
44,1.6952899042784313,1.6882667572467358,0.8009,0.6919,0.2531,0.4331
45,1.6985554468403592,1.6933062984829856,0.8023,0.6935,0.2304,0.3383
46,1.696206247977663,1.6883823582620332,0.8013,0.6924,0.2611,0.4335
47,1.6979231392367604,1.6893302646034207,0.8007,0.6918,0.228,0.3391
48,1.6993538265308124,1.6906117056355332,0.447,0.4211,0.2594,0.4277
49,1.697244266716487,1.6934980025023092,0.4447,0.4205,0.2281,0.336
