epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.684686048036557,1.660112020773289,0.4381,0.3859,0.2783,0.3273
1,1.6392043234343734,1.6651643927479203,0.5828,0.4797,0.2747,0.3295
2,1.6383552538435995,1.6643613690421695,0.6042,0.498,0.2887,0.3018
3,1.6353585379260578,1.6518772417332703,0.8705,0.7707,0.2972,0.4375
4,1.629779789293782,1.6637926612581526,0.8705,0.7707,0.2621,0.3286
5,1.6340526828640385,1.6580022903747889,0.8705,0.7707,0.2918,0.2987
6,1.6293231251707487,1.6497126642243687,0.869,0.7688,0.2879,0.3459
7,1.630316047719791,1.6608137604478117,0.5938,0.4936,0.2485,0.3204
8,1.6302861504292374,1.6504694605286503,0.5839,0.4891,0.2542,0.3271
9,1.6265236832308427,1.6594208731795803,0.5669,0.4809,0.2511,0.3212
10,1.6289936710487714,1.6479550063352049,0.8517,0.7492,0.2444,0.3152
11,1.6278135452829479,1.6488484856370207,0.551,0.4732,0.2413,0.3161
12,1.6268372140717848,1.6709093041234202,0.8369,0.7321,0.2398,0.3121
13,1.6265685432835628,1.6629486961282176,0.8346,0.7294,0.2731,0.2793
14,1.6236141626344343,1.6624399330708888,0.5217,0.4576,0.2404,0.3119
15,1.6240320713326122,1.6533157004938497,0.827,0.7208,0.2894,0.4226
16,1.6255573195418673,1.6362419964431167,0.8263,0.7199,0.2919,0.4268
17,1.6250367041980252,1.6480681922012594,0.8227,0.7162,0.2879,0.4233
18,1.6263154663822867,1.6502327144920053,0.4946,0.4449,0.2879,0.4269
19,1.6265708692906575,1.6501371741810917,0.8229,0.7164,0.2863,0.4256
20,1.6245979387224005,1.6472052449271792,0.4938,0.4441,0.2861,0.4215
21,1.6256965150673424,1.6587987235098174,0.818,0.7112,0.2684,0.2785
22,1.6189736585582843,1.6464487830281773,0.8171,0.7102,0.2901,0.4246
23,1.6238887191674356,1.661809178657862,0.818,0.7112,0.2297,0.3043
24,1.6232448874763326,1.6551345607419035,0.4828,0.4391,0.2283,0.3039
25,1.6205522530672083,1.6654601133230962,0.8159,0.7087,0.266,0.2743
26,1.6223792901449796,1.6513274108176623,0.8162,0.709,0.2663,0.3213
27,1.6218366487459703,1.6449963654274549,0.8155,0.7084,0.2846,0.4158
28,1.6211130405156806,1.6541238940639413,0.8128,0.7052,0.2722,0.2826
29,1.623682720809462,1.6479160192208888,0.8125,0.7049,0.2805,0.4138
30,1.619838011321839,1.6439661907427239,0.8135,0.706,0.2872,0.4272
31,1.6226815229112452,1.644181092064102,0.8112,0.7037,0.2806,0.4135
32,1.6212839800775336,1.6701946563018866,0.4673,0.4317,0.2581,0.2645
33,1.620742706876052,1.652603478658767,0.4646,0.4303,0.2702,0.3256
34,1.6216610611625835,1.6535434872557075,0.8084,0.7005,0.2226,0.2988
35,1.6212500566215606,1.654682738956435,0.4653,0.4306,0.267,0.2745
36,1.6214302023917293,1.6534803094285908,0.8103,0.7026,0.22,0.2949
37,1.620401768165342,1.6548584291945287,0.4635,0.4297,0.2256,0.2991
38,1.617104219335118,1.6513798211044046,0.4611,0.4288,0.2667,0.2731
39,1.6192680782678595,1.6508001202628726,0.4622,0.429,0.2827,0.4201
40,1.6187792471721412,1.6565906371905175,0.4573,0.4269,0.2658,0.3205
41,1.6191924433959157,1.6545552773909136,0.4635,0.4295,0.2258,0.3018
42,1.6187665114562477,1.650390531593587,0.8087,0.7008,0.2684,0.3231
43,1.620072502696343,1.6443668289102,0.8079,0.6999,0.2826,0.4183
44,1.6208224390682422,1.6473863744116448,0.8074,0.6993,0.2844,0.4204
45,1.621984546121798,1.6549297302832335,0.4567,0.4266,0.2279,0.3045
46,1.6213328876848996,1.6568819078016075,0.4602,0.4281,0.2274,0.3017
47,1.6190738081932068,1.6483037513055843,0.8061,0.6981,0.2843,0.4136
48,1.6198173938185405,1.647880425184836,0.8066,0.6986,0.283,0.4178
49,1.62186901249954,1.6533085169730248,0.46,0.4281,0.2707,0.3252
