epoch,beta,beta_event,train_recon,train_kl,train_raw_kl,train_interv,train_total,train_aux_pres_f1,train_aux_pres_acc,train_aux_type_f1,train_aux_type_acc,val_recon,val_kl,val_raw_kl,val_interv,val_total,val_aux_pres_f1,val_aux_pres_acc,val_aux_type_f1,val_aux_type_acc,val_ref_elbo
0,0.02,↑,6.070825225878173,0.0,955.1125625099025,0.3277939372283778,8.106120281608673,0.8611,0.7596,0.2098,0.6139,1.2711422914192183,706.1304588582414,706.1304588582414,0.3542933022130627,709.1130325169239,0.8436,0.7453,0.2491,0.607,707.4016011496606
1,0.04,↑,1.606718336380944,1.5923417494956753,79.6170892519277,0.31818336485214554,4.93246903811849,0.8674,0.7756,0.2358,0.6153,1.1027368907913586,47.257589726441445,47.257589726441445,0.3554998875547836,50.06238209093493,0.8451,0.7379,0.2619,0.6145,48.3603266172328
2,0.06,↑,1.4445893265351446,1.2459580430781991,31.148951781057093,0.3176643234969926,4.408735074819756,0.8669,0.7778,0.261,0.6233,1.146895404455566,29.576019410121457,29.576019410121457,0.35539253803949167,32.44586655832362,0.8431,0.7331,0.2857,0.6255,30.722914814577024
3,0.08,↑,1.4655456293792066,1.362018994408565,22.700317098039147,0.3177406778973147,4.563175301561311,0.8672,0.7779,0.2708,0.6285,0.8886069998496449,21.41551668931641,21.41551668931641,0.34844766778357317,24.04417000531158,0.8477,0.7444,0.2825,0.6332,22.304123689166055
4,0.1,↑,1.439141250677115,1.373286205644867,17.16607795555859,0.31924279757936663,4.566205291852464,0.8667,0.776,0.2694,0.6287,0.9556656514556663,15.489308127748487,15.489308127748487,0.35110567234218865,18.245482682851087,0.8486,0.7476,0.2647,0.6281,16.444973779204155
5,0.12000000000000001,↑,1.3063527572289475,1.2416523847464465,12.416523630285232,0.31942103680547057,4.340427454528859,0.8639,0.7732,0.2913,0.6265,0.8629967836293698,11.529773628827437,11.529773628827437,0.3512533174339429,14.208556923224757,0.8486,0.7493,0.3072,0.6367,12.392770412456807
6,0.14,↑,1.21478335103533,1.1301281287445482,9.41773461694344,0.3213219832735261,4.19357038003052,0.8567,0.7671,0.318,0.6141,0.7952375671775926,8.975153530850985,8.975153530850985,0.35508979487539,11.594379533511095,0.8475,0.75,0.3254,0.6412,9.770391098028577
7,0.16,↑,1.1551746136120162,1.0361424238775137,7.401017288380137,0.32304671097252646,4.086280389502892,0.8428,0.752,0.331,0.6059,0.7885079452259035,7.165517939277892,7.165517939277892,0.35787297230880405,9.8043735311696,0.8439,0.75,0.3306,0.6449,7.954025884503796
8,0.18,↑,1.1341664046741275,0.9726721765627985,6.079201243852414,0.32262884264326125,4.040733116386581,0.8208,0.7269,0.335,0.5989,0.8212344549110627,5.764876664594208,5.764876664594208,0.35755436061965445,8.486530332393356,0.8375,0.7488,0.3063,0.6416,6.586111119505271
9,0.19999999999999998,↑,1.1367457633629174,0.9026233992911998,5.014574242650711,0.32227527771414555,4.01417490719325,0.7895,0.6909,0.3373,0.5903,0.896012040720568,4.703153596175692,4.703153596175692,0.35686895518916323,7.534175684977835,0.814,0.7318,0.3246,0.6332,5.59916563689626
10,0.21999999999999997,↑,1.1557110075572508,0.8521151976448539,4.260575899717107,0.321753698702118,4.013867625433954,0.7663,0.6668,0.3416,0.5827,0.8516282041385336,4.267231600625174,4.267231600625174,0.3561411679266395,7.063205898221422,0.8171,0.7301,0.3561,0.6251,5.118859804763708
11,0.23999999999999996,↑,1.1614760853790176,0.8119187792781654,3.690539921920032,0.321069467958624,4.0048805443593505,0.7526,0.6538,0.3448,0.5702,0.8623043708554915,3.8036642358141037,3.8036642358141037,0.35558720960717094,6.614015399004319,0.8282,0.7465,0.3524,0.6433,4.665968606669595
12,0.25999999999999995,↑,1.1760570846137102,0.7767298390276794,3.2363744062861626,0.32063123214972594,4.011610281412065,0.7389,0.6402,0.3433,0.5527,0.899486022956163,3.3221194167904318,3.3221194167904318,0.354190000114593,6.206415705475827,0.8034,0.7274,0.3928,0.6346,4.221605439746595
13,0.27999999999999997,↑,1.1998352400894265,0.7508777765817964,2.887991553240449,0.32049435373660184,4.032906433724376,0.7263,0.6283,0.3414,0.5375,0.9390998308271707,2.9513856071704967,2.9513856071704967,0.35376627548971057,5.888973827335606,0.791,0.7159,0.3853,0.6449,3.8904854379976674
14,0.3,↑,1.2276740720435018,0.7460038602134608,2.664299486683312,0.32065326476985045,4.077151189043416,0.7147,0.617,0.3348,0.5249,0.9582670753855315,2.8081452417059514,2.8081452417059514,0.3544389438684952,5.770753497224244,0.776,0.6981,0.3832,0.6386,3.7664123170914827
15,0.32,↑,1.2389403433299808,0.7530162722544711,2.510054135370033,0.3207848258687315,4.108315931224,0.7057,0.608,0.3352,0.5213,0.9866946098212561,2.6393812866713566,2.6393812866713566,0.3545855772365065,5.638916601751118,0.7752,0.7046,0.3822,0.6351,3.6260758964926127
16,0.34,↑,1.2643289185946718,0.7603121079212795,2.3759753892733393,0.32076356788898197,4.156450996750146,0.6985,0.6006,0.331,0.5134,1.0875966758486633,2.3103823176948106,2.3103823176948106,0.3550219757536661,5.455508277254197,0.7156,0.6526,0.3976,0.6336,3.397978993543474
17,0.36000000000000004,↑,1.284860481864661,0.768240296868354,2.25953026199942,0.3208335029936501,4.196712118153866,0.6911,0.5937,0.3296,0.5073,1.0053705479665536,2.363300891921193,2.363300891921193,0.3542367887687088,5.415723486019404,0.7565,0.6949,0.3809,0.6363,3.3686714398877466
18,0.38000000000000006,↑,1.2959745808714023,0.7785140912443419,2.1625390572506777,0.3209758720446598,4.2285433012519995,0.6864,0.5897,0.3266,0.5029,1.0887453443630393,2.1732162776171915,2.1732162776171915,0.35543439156490786,5.318709378599625,0.7105,0.6595,0.4103,0.6356,3.2619616219802308
