epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.7464119609376163,1.6192028969939065,0.7158,0.5796,0.3126,0.4584
1,1.6722123584159174,1.6014947348024047,0.7189,0.652,0.4343,0.6061
2,1.6625451719887376,1.5970868116600692,0.7461,0.6744,0.434,0.5841
3,1.6612024204484348,1.5981054012134794,0.75,0.68,0.4687,0.597
4,1.66071545492749,1.5972001483235663,0.769,0.6947,0.4578,0.5906
5,1.6617812555411766,1.5961242879526767,0.7749,0.7007,0.458,0.5898
6,1.66060969241418,1.5975672503587612,0.7582,0.6881,0.4725,0.5839
7,1.6606863164775252,1.5925144236173656,0.779,0.7033,0.4849,0.6117
8,1.6606513249937356,1.5955443610114735,0.7884,0.7091,0.4977,0.6081
9,1.662032541292732,1.5956432035094814,0.7843,0.7072,0.4789,0.605
10,1.6596696173638816,1.5948912763859757,0.7702,0.6977,0.4772,0.5856
11,1.660847285302944,1.5941412815426856,0.781,0.7046,0.4555,0.5929
12,1.6589556224150115,1.5939312767123912,0.7755,0.7012,0.4868,0.5937
13,1.6599726325162842,1.5973672962584984,0.7664,0.6946,0.4604,0.5733
14,1.6596456411188414,1.5908585436786642,0.7263,0.662,0.455,0.5937
15,1.6606391345000078,1.5946314381100135,0.7646,0.693,0.4567,0.5849
16,1.6620858586751497,1.5941614510279944,0.7745,0.7013,0.4546,0.5906
17,1.6610415020577154,1.5933281815613405,0.7768,0.7024,0.4643,0.5847
18,1.6609184100077703,1.595236378198185,0.7644,0.6932,0.4629,0.5968
19,1.6603170384304593,1.5960953204255355,0.7681,0.6963,0.4834,0.5958
20,1.6608964703601614,1.5950766831553873,0.7861,0.7091,0.4406,0.5825
21,1.6611392901177748,1.5970309132354081,0.7798,0.7037,0.4363,0.5842
22,1.6606906429526027,1.5937019436313176,0.7828,0.7066,0.4383,0.5872
23,1.6604893300830528,1.5979906257830168,0.779,0.7033,0.4523,0.5836
24,1.6596326228794431,1.5939157743863452,0.7652,0.6941,0.4493,0.5731
25,1.6612189816068907,1.5964631740406279,0.7716,0.6985,0.46,0.589
26,1.6616968627159412,1.597226223126673,0.763,0.6923,0.4536,0.5834
27,1.6597213216264304,1.5934070302508874,0.7776,0.7031,0.4676,0.6
28,1.6612224040518389,1.5966213477615505,0.7659,0.6944,0.4566,0.5842
29,1.6602781547001249,1.5964999938605564,0.7858,0.7086,0.4769,0.5861
30,1.661526330428035,1.5940340567493703,0.7277,0.6632,0.4525,0.5922
31,1.6604534363082613,1.595258839407786,0.7708,0.6986,0.4722,0.5957
32,1.6595793907933274,1.591176700559019,0.7765,0.7022,0.4403,0.5934
33,1.6600605348218973,1.5940465304660005,0.7799,0.7045,0.4433,0.5893
34,1.6616368462931888,1.5953027305510565,0.7798,0.7046,0.4345,0.5892
35,1.6591810876557935,1.5950040813958546,0.7749,0.7007,0.4441,0.5825
36,1.660863670967618,1.59515515209235,0.7832,0.7063,0.4624,0.5923
37,1.6608314092816978,1.5966677586457736,0.7722,0.6994,0.4532,0.5852
38,1.6592627570863112,1.593614614075901,0.7745,0.7009,0.4474,0.5812
39,1.6596092138271432,1.5923478981464523,0.78,0.7056,0.4534,0.5965
40,1.6613715885488678,1.5976201568283863,0.7855,0.7087,0.4369,0.5776
41,1.6593924984533528,1.5939586689267462,0.7722,0.6999,0.4669,0.5947
42,1.6589396904254783,1.5923148814661021,0.7797,0.7037,0.4691,0.5925
43,1.660457769344593,1.593769363254061,0.7806,0.7048,0.4619,0.5892
44,1.660117518838584,1.5956981188702781,0.772,0.6986,0.4571,0.6013
45,1.661327388700819,1.5932373498615466,0.7747,0.701,0.4575,0.6047
46,1.6597798458777309,1.5944144002618552,0.7789,0.7043,0.4561,0.5923
47,1.6601317656135053,1.5930333934992635,0.7694,0.6973,0.4566,0.5959
48,1.659590542948847,1.593969955999105,0.7672,0.6955,0.4535,0.5876
49,1.6598027572233418,1.5946531619391613,0.7795,0.7039,0.4772,0.5984
