epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.6749089103566401,1.617507519660058,0.2455,0.3096,0.4029,0.4574
1,1.5242782052624169,1.5990797977942925,0.4161,0.3989,0.392,0.4549
2,1.4988033031447652,1.5996283684974109,0.5603,0.49,0.3852,0.4502
3,1.492312657348277,1.6039113188202763,0.6524,0.562,0.3759,0.444
4,1.4861565928139755,1.6081380276452928,0.7004,0.6041,0.3748,0.443
5,1.4846628492243552,1.6103613866872086,0.7093,0.6117,0.3708,0.4392
6,1.4839710636002026,1.6145054932796594,0.7288,0.6303,0.3722,0.4408
7,1.48445303716728,1.6199721712054629,0.7356,0.637,0.3707,0.4421
8,1.483315790954389,1.6196720331778258,0.7255,0.6272,0.3722,0.4443
9,1.4815583163471313,1.6204746491981274,0.7433,0.6444,0.3707,0.4444
10,1.4773227177453383,1.6227485581393881,0.7274,0.6284,0.3728,0.4443
11,1.4783890273012044,1.6253236563174756,0.7423,0.643,0.3684,0.4415
12,1.4756806348784688,1.628635963320216,0.7355,0.636,0.3697,0.4433
13,1.4814525469068134,1.6303076295109538,0.7386,0.6399,0.3681,0.4422
14,1.4814900824327788,1.6311975268574503,0.7308,0.6322,0.37,0.4432
15,1.4798900497872294,1.6345718670717049,0.7382,0.6393,0.3661,0.44
16,1.4826893836402437,1.6324696871109339,0.7331,0.6341,0.3684,0.4418
17,1.4827287661972228,1.6313855916390687,0.728,0.629,0.3687,0.4428
18,1.4824631927116065,1.6294060119818816,0.7329,0.634,0.3683,0.4418
19,1.4773327567075427,1.6347686418723235,0.7341,0.6351,0.3687,0.4427
20,1.477079460210207,1.6354789702923267,0.7325,0.6342,0.3646,0.4387
21,1.4785929208166861,1.6365580187215434,0.7365,0.6378,0.3655,0.4393
22,1.484396849950535,1.6390247494627388,0.7451,0.6466,0.3669,0.4406
23,1.4783533821550854,1.6371330807219335,0.7364,0.6381,0.3666,0.4414
24,1.4763842346280385,1.6378908415377398,0.7314,0.6335,0.3667,0.4393
25,1.4822180532097247,1.6369598345323042,0.7268,0.6286,0.3688,0.4439
26,1.4754064207156878,1.637162321573728,0.7308,0.632,0.3702,0.4451
27,1.4842340276001744,1.6400414823969722,0.7402,0.6411,0.3673,0.4422
28,1.4797265407001003,1.6385189423829447,0.7367,0.6373,0.368,0.443
29,1.4751040974016965,1.6375227325406425,0.7519,0.6531,0.3683,0.4415
30,1.4805814639518136,1.6352913875084418,0.7262,0.6273,0.3676,0.4451
31,1.4820999158056158,1.6355113301958357,0.7328,0.6342,0.3666,0.4428
32,1.48493354600012,1.6388481819268428,0.7396,0.6405,0.3673,0.4415
33,1.4783529085976086,1.6363816049707915,0.7279,0.6294,0.3671,0.4417
34,1.4877197692553963,1.6380495761896108,0.7262,0.6275,0.3656,0.44
35,1.4812449221120496,1.6385716210196029,0.7229,0.6243,0.366,0.4401
36,1.4779300040890726,1.6402828017354527,0.7364,0.6377,0.369,0.4433
37,1.4811529909309589,1.6393443516322546,0.735,0.6358,0.3641,0.4379
38,1.481002542248183,1.6364247143526613,0.7476,0.6489,0.3685,0.4421
39,1.4794232598617316,1.6379610392954442,0.7277,0.6288,0.3666,0.4418
40,1.474933096238871,1.6391660640766095,0.7235,0.6246,0.3665,0.4421
41,1.4833994590494621,1.637058900548266,0.7216,0.6228,0.3673,0.4411
42,1.4780981072968844,1.6377927090698507,0.731,0.6323,0.3681,0.4445
43,1.4860951921871404,1.6383291420998511,0.7229,0.6245,0.3655,0.4405
44,1.4822140862211657,1.639222011421666,0.7383,0.6395,0.3662,0.4402
45,1.4756862773564443,1.6346751786929705,0.7262,0.6274,0.3694,0.4435
46,1.4813841983462064,1.637363677417045,0.7168,0.618,0.3665,0.4417
47,1.4848258215844916,1.6380507982138433,0.7382,0.6393,0.3663,0.44
48,1.4791702524041446,1.6399212745360998,0.7297,0.6314,0.3646,0.439
49,1.4819050928907531,1.637425178573245,0.7427,0.6446,0.3653,0.4429
