epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.6573291001707744,1.6002161502838135,0.2406,0.308,0.4184,0.48
1,1.4763620360331102,1.5735619181678409,0.4241,0.4032,0.4198,0.4756
2,1.4403811045810937,1.5568967611242683,0.5571,0.4876,0.4211,0.4855
3,1.444607684059006,1.5475514242143342,0.6493,0.5587,0.4301,0.4918
4,1.4352281093597412,1.538472156245987,0.6983,0.6024,0.4348,0.4953
5,1.4394617402952823,1.5343368164388649,0.7125,0.6147,0.4399,0.5004
6,1.4348624956094478,1.5333846066937302,0.7239,0.6258,0.439,0.4985
7,1.4353436782029256,1.5304421563169142,0.7279,0.6294,0.4386,0.5034
8,1.4339040758792294,1.530663441011916,0.7286,0.6307,0.4418,0.4986
9,1.4314909668630391,1.5237796445945642,0.7419,0.6432,0.4397,0.5045
10,1.4347429969949586,1.526156659766193,0.734,0.635,0.4423,0.5066
11,1.4337665013719403,1.5222191962844882,0.7211,0.6225,0.4419,0.5072
12,1.4282572169623307,1.5204671396837606,0.7394,0.6405,0.4484,0.5113
13,1.433859771661211,1.5187703213650428,0.7447,0.6458,0.4489,0.5095
14,1.4308020944515485,1.516158167675976,0.7457,0.6466,0.4489,0.5069
15,1.43639477845014,1.5207310189932455,0.738,0.6392,0.445,0.5069
16,1.431455791424336,1.5190756013899138,0.7499,0.651,0.4521,0.5101
17,1.428924710556651,1.514914126107187,0.7443,0.6458,0.4461,0.5097
18,1.4292175488894066,1.5091978763089036,0.7238,0.6255,0.4441,0.5096
19,1.4256417159543653,1.5138293352477994,0.7426,0.644,0.4436,0.5147
20,1.4318580369344738,1.5100737949470422,0.7326,0.6331,0.4547,0.5158
21,1.4332929711307636,1.5117318062555223,0.7347,0.6357,0.4412,0.5095
22,1.4298848331544958,1.5125423749803981,0.7349,0.6363,0.4505,0.5091
23,1.4249129101420133,1.5094872934993728,0.7183,0.6199,0.4429,0.5105
24,1.428196436480472,1.5168448849157854,0.7391,0.6405,0.4494,0.5142
25,1.4253893252194783,1.515717712315646,0.7399,0.6409,0.4517,0.5089
26,1.4292230510540556,1.516944853516368,0.7264,0.6276,0.4475,0.5107
27,1.429642317112553,1.5125872668249782,0.7222,0.6235,0.4476,0.5056
28,1.4305555053304828,1.5135636368355194,0.7205,0.622,0.4442,0.5106
29,1.4249959501067988,1.515745404994849,0.7237,0.6253,0.4492,0.508
30,1.4206932446603,1.5120966867967085,0.7295,0.6309,0.4534,0.509
31,1.4266625434588016,1.5076655699061108,0.7348,0.6359,0.448,0.5064
32,1.4256116166069177,1.50698759442284,0.7409,0.6421,0.4466,0.5104
33,1.4257186967790412,1.519441313041753,0.7347,0.6359,0.445,0.5062
34,1.418260653195769,1.5126698638969687,0.7393,0.6412,0.4459,0.5057
35,1.4258440456321935,1.5144302393450881,0.7148,0.6166,0.448,0.5092
36,1.42943311978185,1.509076141949856,0.7163,0.6183,0.4505,0.5038
37,1.4209816649770053,1.5136070494011884,0.7399,0.6418,0.4459,0.4995
38,1.4283718230051288,1.5120704024385063,0.726,0.627,0.4431,0.5075
39,1.4322985708713531,1.5087215890099992,0.7255,0.6271,0.4489,0.5069
40,1.4258598933379616,1.5174306153735042,0.7248,0.6264,0.4461,0.506
41,1.430360951064306,1.507485136583254,0.7233,0.6246,0.4391,0.5055
42,1.4360096568696237,1.5100550349656638,0.7186,0.6198,0.4478,0.5079
43,1.4289461799215473,1.5062681818421269,0.7382,0.6393,0.4483,0.5069
44,1.4239719701155522,1.5159588515500486,0.7235,0.6246,0.4422,0.5063
45,1.4270618281295995,1.5077240565122465,0.7311,0.6327,0.4398,0.5042
46,1.4300679748423362,1.5152836901284916,0.7309,0.6324,0.447,0.5055
47,1.4289510719228589,1.5113950828453162,0.7372,0.638,0.4343,0.5029
48,1.4256479929793964,1.5156038976334907,0.7266,0.6273,0.4459,0.5025
49,1.4243383361962423,1.5184761422537105,0.7321,0.633,0.4382,0.4975
