epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.7854316689466174,1.697953707728035,0.8704,0.7705,0.2293,0.353
1,1.6936756168541156,1.6707979688396701,0.8705,0.7707,0.4778,0.5908
2,1.6656000410255634,1.6600328487751288,0.8705,0.7707,0.4746,0.5985
3,1.6620079334557911,1.656102171707979,0.8859,0.8066,0.4739,0.6009
4,1.6615492942515744,1.6538593087877547,0.8686,0.7928,0.4743,0.6046
5,1.6564340609967994,1.6495503713558246,0.8482,0.7696,0.4736,0.6078
6,1.6593061828156979,1.650358908104174,0.8372,0.757,0.4739,0.6075
7,1.6565157232102024,1.6489347828415049,0.8241,0.7415,0.4725,0.6067
8,1.6579344025924445,1.6487780097243074,0.8318,0.7499,0.4758,0.6103
9,1.6591963826469258,1.6483965472225504,0.8371,0.7554,0.4747,0.6089
10,1.6529894171719346,1.6480087624999868,0.8369,0.7552,0.4747,0.6073
11,1.6540835896177155,1.6480674031492952,0.8347,0.7525,0.4739,0.6065
12,1.6567967139077528,1.6482883650503117,0.8349,0.7535,0.4746,0.6086
13,1.6563457602804357,1.6479234829609528,0.8409,0.7606,0.4706,0.606
14,1.6582316359834808,1.6481306459996607,0.8357,0.7546,0.4752,0.6096
15,1.6542215843520096,1.6474987201360396,0.8363,0.7548,0.4729,0.6065
16,1.6503945540583305,1.6453853587567548,0.8382,0.7567,0.4714,0.6076
17,1.6586675124875667,1.647059273410153,0.839,0.7577,0.4732,0.6074
18,1.660894687666277,1.6481238717124576,0.8379,0.7565,0.475,0.6101
19,1.6574782180158716,1.6492625655549946,0.8309,0.748,0.4719,0.6052
20,1.6605515673970492,1.6492681023362394,0.8384,0.7568,0.4732,0.607
21,1.6599548547461842,1.6492934995915467,0.8374,0.7556,0.473,0.6068
22,1.657960218961159,1.6479841088835812,0.8321,0.7502,0.4721,0.6072
23,1.65625801440061,1.6494956444868278,0.8226,0.7398,0.4747,0.608
24,1.6610733598613283,1.6498328359612138,0.8287,0.7471,0.4739,0.6071
25,1.6545823992154245,1.648118114574647,0.8196,0.7362,0.4733,0.6062
26,1.6579386095681259,1.6479127272899017,0.829,0.7465,0.4718,0.6061
27,1.6521109878731686,1.6478234452086609,0.8306,0.7486,0.4735,0.6055
28,1.6582825004198904,1.6474471391537489,0.8253,0.7421,0.4715,0.6066
29,1.652555793808978,1.6469478978739156,0.8275,0.7458,0.4736,0.6068
30,1.6592269487072977,1.6467865106863377,0.8383,0.7575,0.4726,0.6066
31,1.657646401076796,1.6476795606282881,0.8373,0.7565,0.4732,0.6054
32,1.6568038927025772,1.6490805959288692,0.8359,0.7546,0.4729,0.6057
33,1.6558265868556556,1.6484524305764732,0.8316,0.7497,0.4743,0.6064
34,1.6553587127815594,1.6483774598026688,0.8345,0.7523,0.4737,0.6047
35,1.6564141456305126,1.6481936282409735,0.8362,0.7543,0.4752,0.6077
36,1.6601698173290234,1.6494722557274295,0.8313,0.7485,0.4723,0.605
37,1.6547686041257028,1.6490912009111214,0.8263,0.7439,0.4716,0.605
38,1.656054826301821,1.6502785749765703,0.8391,0.7586,0.4714,0.6032
39,1.6565529386107432,1.6477819361211934,0.8366,0.755,0.4706,0.6058
40,1.6590844287256306,1.6471773520176545,0.8335,0.751,0.472,0.6083
41,1.6538485790553845,1.645718535819611,0.8256,0.742,0.4718,0.6072
42,1.6577381551550907,1.6481045500024574,0.8279,0.7452,0.4722,0.6059
43,1.6553521467167795,1.6475161184996236,0.8345,0.753,0.4727,0.6062
44,1.656045063973614,1.6480604657879123,0.8208,0.7373,0.4737,0.6089
45,1.657455707851209,1.6485360277679575,0.8312,0.7489,0.4735,0.6071
46,1.6588676648847225,1.6490852936005695,0.8333,0.7527,0.4748,0.6081
47,1.6520561845393842,1.6478295486210746,0.8341,0.7528,0.4731,0.6064
48,1.659266454608817,1.6490156211894311,0.825,0.742,0.4717,0.6054
49,1.6602444557481975,1.6497355524079624,0.8281,0.7458,0.4719,0.6056
