epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.798581634982351,1.690799044324206,0.8699,0.7697,0.3472,0.3984
1,1.6533568259061238,1.640080645486906,0.8704,0.7706,0.4979,0.6016
2,1.6162679785746707,1.6177187218810574,0.8738,0.7775,0.5059,0.6212
3,1.6020452281789916,1.6050823570845962,0.8883,0.8165,0.5053,0.627
4,1.601587139818657,1.6013277810373348,0.8546,0.7789,0.5043,0.6272
5,1.6094876389469257,1.6000903349418145,0.8402,0.7626,0.5036,0.6273
6,1.6000434917411166,1.5997258847926086,0.8325,0.7539,0.502,0.6255
7,1.603093283455908,1.5976344863057652,0.8274,0.7481,0.5036,0.6283
8,1.6071399167964333,1.5977249898951806,0.8263,0.7469,0.5012,0.627
9,1.6001897987566496,1.5975353991314447,0.829,0.7499,0.5018,0.6275
10,1.601531965167899,1.5981264124701033,0.8298,0.7508,0.5016,0.6268
11,1.6075328005272806,1.5994713476725988,0.8298,0.7508,0.4991,0.6238
12,1.5951837204289778,1.5966304158751583,0.8249,0.745,0.5006,0.6261
13,1.5995909534572985,1.5972590658055756,0.8252,0.7457,0.499,0.6246
14,1.6061960368920742,1.598082091385152,0.8269,0.7481,0.5016,0.6272
15,1.6026771178371029,1.5984952356908229,0.8271,0.748,0.5001,0.6259
16,1.6036228715803065,1.5983158716391692,0.8213,0.7414,0.5004,0.6262
17,1.6040967861145878,1.5985387295355529,0.8289,0.7499,0.5003,0.6267
18,1.6005101956819232,1.598256962639945,0.8317,0.7531,0.4991,0.6254
19,1.6038887084385995,1.5965656790382419,0.8246,0.7455,0.5008,0.6275
20,1.6040185618628726,1.597749484565867,0.8279,0.749,0.4998,0.6266
21,1.6035501723084153,1.598645679878466,0.832,0.7534,0.4972,0.6233
22,1.6069569095755307,1.598887014182615,0.8291,0.7501,0.4975,0.6235
23,1.6040885216026215,1.597762452059494,0.8338,0.7554,0.4975,0.6228
24,1.5953326963922054,1.596459461497022,0.8237,0.744,0.5002,0.6263
25,1.6055543090452988,1.5988262778236753,0.8267,0.7473,0.4999,0.6258
26,1.6030702449773486,1.5979603725078302,0.8219,0.7421,0.4999,0.6269
27,1.6009124122453078,1.5985618824566596,0.8242,0.7445,0.4993,0.6246
28,1.6052376137395794,1.5980560304798606,0.8236,0.7441,0.5001,0.6262
29,1.6041243649555736,1.6005942656364276,0.8233,0.744,0.4994,0.625
30,1.6030899540088963,1.5984052641567215,0.8213,0.7421,0.4986,0.6252
31,1.6027539419500452,1.5970371879024423,0.8222,0.7428,0.4996,0.6267
32,1.6007810103836242,1.5973691037206939,0.8293,0.7506,0.4981,0.6246
33,1.6045212316456023,1.5986981603490327,0.8235,0.744,0.4965,0.6237
34,1.6076058868015781,1.5989350575905341,0.8239,0.7452,0.4993,0.6246
35,1.6041820708074068,1.5972649751803576,0.821,0.7423,0.5004,0.6264
36,1.6076882194959377,1.6002990115772595,0.8191,0.7401,0.499,0.6241
37,1.5975733895621231,1.5979865964873012,0.8168,0.7375,0.4998,0.624
38,1.599985111700861,1.5975095472294532,0.8258,0.7466,0.4984,0.6238
39,1.6063603858628341,1.5982163107240355,0.8276,0.7484,0.4985,0.6248
40,1.5994236648938303,1.5959568400403639,0.8273,0.7479,0.4995,0.627
41,1.5994603628176822,1.5968522014039936,0.8241,0.7447,0.5002,0.6274
42,1.6077402599120254,1.598145171161338,0.8194,0.7399,0.4982,0.6248
43,1.6059695718961469,1.5977295286211617,0.828,0.7491,0.5004,0.6275
44,1.6045726797227085,1.596997467986433,0.8249,0.7461,0.4995,0.6258
45,1.601024119477523,1.598354373143349,0.8211,0.7416,0.4998,0.6256
46,1.6037186806281787,1.5994619043358476,0.8246,0.7452,0.4989,0.6235
47,1.601507529117274,1.5983232466173378,0.8294,0.7505,0.5001,0.6251
48,1.5991359846443651,1.5992173560253986,0.8227,0.7435,0.5006,0.6253
49,1.6059984604707744,1.5999073646801374,0.8283,0.7493,0.5001,0.6248
