epoch,beta,beta_event,train_recon,train_kl,train_raw_kl,train_align,train_stab,train_interv_inv,train_total,train_aux_pres_f1,train_aux_pres_acc,train_aux_type_f1,train_aux_type_acc,val_recon,val_kl,val_raw_kl,val_align,val_stab,val_interv_inv,val_total,val_aux_pres_f1,val_aux_pres_acc,val_aux_type_f1,val_aux_type_acc,val_ref_elbo
0,0.02,↑,0.020501147480415798,0.0,54.179622808986736,0.0,0.01999861845009983,0.022514929886791154,1.2733668338880684,0.8735,0.7886,0.4236,0.656,0.013900933534051607,58.01037435227393,58.01037435227393,0.0,0.008886155306171734,0.02435677946156379,59.36591032771562,0.8542,0.7564,0.4382,0.6558,58.02427528580798
1,0.04,↑,0.021076806859244908,0.0825268568492086,4.126342935916519,0.0,0.0043225111649943335,0.014965319125984153,1.2484025119865028,0.8837,0.8095,0.544,0.696,0.02060996764048872,2.486170498739499,2.486170498739499,0.0,0.001988207084680914,0.015921624970910413,3.7414246604115227,0.8633,0.7863,0.4779,0.6628,2.5067804663799875
2,0.06,↑,0.022287520031829742,0.0661652751647643,1.6541319160012116,0.0,0.0009580665036756916,0.013574693262374354,1.1730616897957642,0.8873,0.816,0.5854,0.7177,0.023526843523557574,1.3425105285214651,1.3425105285214651,0.0,0.0003843543295279964,0.015525483327366195,2.544434090097139,0.866,0.7853,0.5335,0.7081,1.3660373720450227
3,0.08,↑,0.024407020471520432,0.058813598283826714,0.9802266597035869,0.0,0.00015464971783817874,0.013142554129596846,1.1259066205825248,0.8899,0.8207,0.6135,0.7325,0.025436000539385165,0.796789335063691,0.796789335063691,0.0,3.485857112047469e-05,0.015041149458066456,1.9710436399700573,0.8707,0.798,0.567,0.7188,0.8222253356030762
4,0.1,↑,0.025811211228884842,0.05309316034625917,0.6636645192133328,0.0,1.0532719333677139e-05,0.012802600621121584,1.0895629233687463,0.8909,0.8231,0.6328,0.7447,0.027712148579351614,0.6675630233324186,0.6675630233324186,0.0,1.2983515490183756e-06,0.014939888548390132,1.8162833068638669,0.8687,0.7911,0.563,0.7129,0.6952751719117702
5,0.1,→hold,0.027123718448947343,0.04854893513078237,0.485489343619932,0.0,6.298032930028043e-07,0.012732011399231233,1.0593530797531214,0.8927,0.8262,0.6479,0.7525,0.0295708643068429,0.4102709866884512,0.4102709866884512,0.0,5.431977759579066e-07,0.01681448056474948,1.5442971483844328,0.8763,0.8124,0.5799,0.7219,0.4398418509952941
6,0.1,→hold,0.028592245628551765,0.03967905319070254,0.39679052450835667,0.0,6.577705731433163e-07,0.013267475853327416,1.026890013300194,0.8938,0.8285,0.6624,0.7608,0.03132175887713981,0.37758249759508733,0.37758249759508733,0.0,7.031554900058635e-07,0.015315304149262576,1.4596902358548485,0.8783,0.812,0.619,0.7373,0.40890425647222717
7,0.1,→hold,0.02996162355302103,0.034162131869237236,0.3416213120501328,0.0,7.441339952717361e-07,0.013434230523615304,1.000965868311365,0.8953,0.8311,0.6733,0.7676,0.03275601540520353,0.3684984071286145,0.3684984071286145,0.0,6.411895706753308e-07,0.016087357221228095,1.4694120437526834,0.8774,0.8081,0.606,0.7342,0.401254422533818
8,0.1,→hold,0.031264030710159346,0.030065851219309905,0.3006585073949647,0.0,7.690647259560698e-07,0.013657271297180107,0.9812217249962061,0.8958,0.8323,0.6843,0.7748,0.03522661225237314,0.2727435369060043,0.2727435369060043,0.0,1.1295331561987306e-06,0.014204143206802055,1.386415019114702,0.8756,0.8136,0.6072,0.7374,0.3079701491583774
9,0.1,→hold,0.032822283160364146,0.027005664006805055,0.2700566360906172,0.0,9.319472356962843e-07,0.013367192947640076,0.965022134124323,0.8964,0.8333,0.6889,0.778,0.036777493612383506,0.26901180019160414,0.26901180019160414,0.0,5.966970979850875e-07,0.01621127672346203,1.3532773555565145,0.8778,0.8162,0.6336,0.7419,0.30578929380398767
10,0.1,→hold,0.03426311431451396,0.024651739244518016,0.2465173887075299,0.0,8.5802804553024e-07,0.013289747822117592,0.9493225466042223,0.8973,0.8352,0.6968,0.783,0.037360449294442113,0.24486276451575772,0.24486276451575772,0.0,5.910514460083505e-07,0.01586394028120704,1.3178266093403557,0.8782,0.8156,0.6492,0.7473,0.2822232138101998
11,0.1,→hold,0.03562768818050445,0.022789434050892707,0.22789433684543656,0.0,7.918259767890157e-07,0.013338679809298789,0.9367408543212096,0.8986,0.8373,0.7028,0.7868,0.03939085782359609,0.23966102836325495,0.23966102836325495,0.0,1.1661516240301465e-06,0.014742752112158872,1.3060572255252965,0.8798,0.8152,0.6362,0.7565,0.27905188618685106
12,0.1,→hold,0.03690963144047654,0.021205247706760216,0.21205247318657644,0.0,8.529938613369386e-07,0.01311795597317534,0.9274269784612219,0.8984,0.8371,0.7082,0.7897,0.040466856911530444,0.2264507700186662,0.2264507700186662,0.0,1.562002334081177e-06,0.01655427608981305,1.291483464791606,0.8777,0.8169,0.6458,0.7511,0.26691762693019666
13,0.1,→hold,0.038004784144624305,0.019884303328967404,0.19884302949146,0.0,7.682843895919384e-07,0.013191041404686686,0.9163507507111588,0.8996,0.8394,0.7129,0.7933,0.042839986469787796,0.19160423886635433,0.19160423886635433,0.0,7.523014111804145e-07,0.012269051253069683,1.231461431712284,0.8769,0.8052,0.6517,0.7721,0.23444422533614212
14,0.12000000000000001,↑,0.03917993624665599,0.0187493272393932,0.18749326888741288,0.0,7.250733330090127e-07,0.012884796280030707,0.907847549516631,0.8998,0.8396,0.7184,0.7966,0.0422702663876478,0.20619496215398367,0.20619496215398367,0.0,5.74812011413637e-07,0.013914138555976249,1.2474527873625867,0.8796,0.8139,0.6509,0.7679,0.24846522854163147
15,0.12000000000000001,→hold,0.04009081255928839,0.020453036608892555,0.1704419756576409,0.0,6.259805821088264e-07,0.012600322128548556,0.903668987727276,0.9006,0.841,0.722,0.7995,0.044329209405613676,0.18219166563180547,0.18219166563180547,0.0,4.1511159074414614e-07,0.014652802033773553,1.2747195974385028,0.8798,0.8182,0.6444,0.7399,0.22652087503741913
16,0.12000000000000001,→hold,0.0410362721285483,0.019305664871083282,0.1608805443891327,0.0,6.555095967368492e-07,0.012505361060386334,0.8962125752885055,0.9013,0.8422,0.727,0.8012,0.04531971623813643,0.1652811215712525,0.1652811215712525,0.0,1.189379603653711e-06,0.013909047455287923,1.2377637771065457,0.8793,0.8108,0.6404,0.7615,0.21060083780938893
