epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.7459563854044249,1.6762699605355302,0.0,0.2769,0.5196,0.6418
1,1.687897991675597,1.6718001983172346,0.4051,0.4553,0.632,0.7338
2,1.6840429949507474,1.6662762500242514,0.7474,0.6901,0.6369,0.754
3,1.6805911882328417,1.6680607235993044,0.7364,0.6803,0.6415,0.7497
4,1.6829264186105297,1.6697768438555858,0.8198,0.756,0.6445,0.7508
5,1.680212029806815,1.6649813478673263,0.8135,0.749,0.6438,0.7585
6,1.6830135058977242,1.666720742333959,0.7945,0.7324,0.6402,0.7517
7,1.6813047721942476,1.6683077027923183,0.8544,0.7861,0.6436,0.751
8,1.6812211483005504,1.666564951312839,0.8418,0.773,0.6499,0.759
9,1.6794635756262417,1.6646789300804983,0.7665,0.7065,0.6388,0.749
10,1.6819160730832452,1.6638662162910207,0.8559,0.7858,0.635,0.7502
11,1.681256579783614,1.665800382556017,0.8397,0.7731,0.6387,0.7517
12,1.6848238244929428,1.6655228062019454,0.8582,0.7857,0.6311,0.7475
13,1.6807578681160347,1.6689051317045893,0.8599,0.7876,0.6434,0.7516
14,1.682499696231331,1.6664074596605802,0.8388,0.7716,0.6339,0.7434
15,1.6836597705235217,1.6681719676609514,0.8233,0.7587,0.6383,0.7476
16,1.6811073541008825,1.665998992332131,0.8511,0.7825,0.6442,0.759
17,1.6819992825112229,1.6649014419796064,0.8612,0.7873,0.6402,0.7605
18,1.683593736245082,1.6669683020530977,0.8529,0.7828,0.6334,0.7529
19,1.6843740570924643,1.6680520419598948,0.8007,0.7368,0.6338,0.7526
20,1.683276176531688,1.668657232024333,0.7975,0.7339,0.6464,0.7566
21,1.68327773621291,1.667876727528189,0.8582,0.7874,0.642,0.7562
22,1.681948765440392,1.6663976749224676,0.821,0.7568,0.6389,0.7528
23,1.6802549903683701,1.6662420169798622,0.8368,0.7704,0.6452,0.7591
24,1.6834709074358092,1.6698158097729459,0.85,0.7809,0.6411,0.7477
25,1.6841876664117414,1.6681750613236361,0.822,0.7559,0.6383,0.7534
26,1.6836735006985044,1.6679776233319101,0.8494,0.7816,0.6384,0.7524
27,1.6847380288241713,1.6644325338902566,0.8071,0.7432,0.6345,0.7599
28,1.6825118588990178,1.667487757522974,0.8205,0.7539,0.642,0.7535
29,1.6803812918201366,1.6644352847849564,0.8007,0.7373,0.6365,0.7508
30,1.6822530888910319,1.667309043975418,0.8131,0.7493,0.6386,0.7502
31,1.6829719416975026,1.6667358244555148,0.8084,0.7444,0.6459,0.7603
32,1.6829424524971281,1.6658610637168145,0.8116,0.7478,0.6379,0.7546
33,1.6822212070463822,1.6653925566792158,0.8376,0.7678,0.6393,0.7592
34,1.6816344159193317,1.662517881129257,0.8072,0.7431,0.6396,0.7633
35,1.683562708786375,1.6662375004007546,0.8277,0.7634,0.6379,0.7585
36,1.6808192727578413,1.6687540131262464,0.8521,0.7827,0.6445,0.7514
37,1.682011425890404,1.6677655131863094,0.8015,0.7375,0.6377,0.7437
38,1.68214760511244,1.6672449417391642,0.7876,0.7265,0.6414,0.7532
39,1.6820455953202134,1.6668108617499924,0.8295,0.7642,0.6445,0.7582
40,1.682909055160907,1.6660185819517543,0.8564,0.787,0.6369,0.7514
41,1.6828793022455524,1.6663246509771268,0.85,0.7791,0.63,0.745
42,1.6832744094990293,1.6685962886691423,0.852,0.7839,0.6384,0.7487
43,1.684201389630214,1.6684049192888255,0.8508,0.7824,0.6379,0.7549
44,1.6814374704734083,1.6689211993666566,0.855,0.7855,0.6387,0.7469
45,1.6833792188123304,1.6676788145155128,0.7908,0.7281,0.643,0.7574
46,1.6821644322783624,1.6673437216605507,0.8163,0.752,0.6389,0.75
47,1.683006976264225,1.6675905491176404,0.7813,0.7205,0.6461,0.7578
48,1.682508903014565,1.669403363132741,0.8389,0.7726,0.6456,0.7555
49,1.6815386050101617,1.6668710560019326,0.8559,0.7863,0.6454,0.7586
