epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.7396947943089178,1.6614045040098915,0.0,0.2769,0.5711,0.6122
1,1.667193328828331,1.6332031668388283,0.7853,0.7282,0.6602,0.7568
2,1.6644279785276408,1.6320526449634098,0.8339,0.7748,0.6647,0.76
3,1.6618438788370997,1.6279777194324292,0.841,0.7809,0.6658,0.763
4,1.6606726656700004,1.6282521215502246,0.8477,0.787,0.6688,0.7652
5,1.6605107989013985,1.6290044048156105,0.8592,0.7971,0.6674,0.7621
6,1.6604203792086332,1.6248044282445617,0.8522,0.7915,0.668,0.7657
7,1.661242131766337,1.6267727768652327,0.8385,0.7792,0.6697,0.7679
8,1.664736539915955,1.626894440347138,0.8362,0.7766,0.6685,0.7671
9,1.6602254211112106,1.6251345833252673,0.8551,0.794,0.6681,0.7695
10,1.6616202358858023,1.6240330698417496,0.8529,0.7917,0.67,0.7698
11,1.6633544072548339,1.6287073575558755,0.8296,0.7698,0.6689,0.7697
12,1.661328289094591,1.6263553876625865,0.8414,0.7808,0.667,0.7662
13,1.6632977964391127,1.6289417221935831,0.8396,0.7797,0.6682,0.7668
14,1.6627533420011282,1.6276596900168547,0.8245,0.7659,0.6659,0.7629
15,1.661253766845961,1.6249457632405606,0.8241,0.7652,0.6668,0.766
16,1.6619955350296567,1.6254044115708475,0.8408,0.7805,0.6665,0.7652
17,1.664697960611996,1.6300460673105024,0.8122,0.7538,0.6686,0.7677
18,1.6599988277299966,1.626181416399261,0.8436,0.7831,0.6695,0.7684
19,1.6617356277112936,1.6274723711106256,0.8459,0.785,0.6688,0.7647
20,1.6609555116857078,1.6274553466371553,0.8491,0.7885,0.6699,0.7678
21,1.6621077639354636,1.62600584191959,0.8507,0.7901,0.6708,0.7715
22,1.659860872147254,1.623380220827964,0.8548,0.7933,0.6687,0.7683
23,1.6630136966705322,1.6258093230942279,0.8323,0.7731,0.6684,0.7652
24,1.6634768427050715,1.6271811472742181,0.8607,0.7994,0.6664,0.7629
25,1.662946594883972,1.6299258581158858,0.8529,0.7918,0.6681,0.766
26,1.6592144287865738,1.6254015117470908,0.8161,0.7579,0.6682,0.7674
27,1.6617495818384762,1.6275731392844561,0.8399,0.7799,0.6703,0.7709
28,1.6624878819646507,1.6279675476769,0.8352,0.7759,0.6692,0.7665
29,1.6598662231265708,1.6245888149639245,0.8436,0.7832,0.671,0.7705
30,1.661023822798337,1.6249116660815528,0.8584,0.7955,0.67,0.7703
31,1.66380824247469,1.6261308082583208,0.8576,0.7961,0.6683,0.7681
32,1.6625579930743108,1.6279309755217006,0.8649,0.8018,0.6657,0.7602
33,1.660698641595537,1.6264668993672506,0.8566,0.7957,0.6695,0.7673
34,1.6631977527305997,1.6288445951865982,0.8478,0.7875,0.6686,0.7669
35,1.660633546129778,1.6267585120372825,0.8392,0.7793,0.6686,0.7667
36,1.6617377900002173,1.62670251438162,0.8546,0.7926,0.6689,0.7673
37,1.6606842865203988,1.6280048142839998,0.8354,0.7754,0.6692,0.7689
38,1.6614153095834767,1.626911612098567,0.8508,0.7898,0.6698,0.7668
39,1.6621906628501193,1.6291815326484618,0.8546,0.7934,0.6668,0.7629
40,1.6619215397366793,1.6279257156181863,0.8492,0.7885,0.6684,0.7673
41,1.6624518096130787,1.6292966990589766,0.843,0.783,0.6636,0.7557
42,1.6595084235585968,1.6236450439344814,0.8508,0.7904,0.6688,0.7704
43,1.6648568915751631,1.6299066383422576,0.8473,0.787,0.6667,0.7643
44,1.663278031649577,1.6261720323826798,0.8499,0.7887,0.6699,0.77
45,1.6619272466837887,1.6290494712105748,0.8516,0.7907,0.668,0.7662
46,1.6623371550986241,1.6306463863050509,0.8612,0.7993,0.6663,0.7597
47,1.660998282603307,1.6277417306094288,0.8309,0.7716,0.6685,0.7708
48,1.6626306218082771,1.6273857332002424,0.8411,0.7805,0.6695,0.7688
49,1.6628468955227171,1.62888536889137,0.8418,0.7816,0.6674,0.7631
