epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.4545993248289795,1.130346111836345,0.8721,0.7933,0.671,0.7608
1,1.3031780484573827,1.1000980020589732,0.8697,0.8114,0.6712,0.762
2,1.2904479889381903,1.0802461840796913,0.8625,0.8051,0.6736,0.769
3,1.2815155043067745,1.0807875269829972,0.8609,0.8037,0.6731,0.7681
4,1.2800084637865559,1.0940423789786204,0.8598,0.8028,0.6733,0.7683
5,1.284818396812192,1.0848226338922553,0.8605,0.8034,0.6737,0.7703
6,1.281646829225491,1.0999896968907534,0.8605,0.8034,0.6733,0.7685
7,1.2813432757524292,1.0925176515218704,0.86,0.803,0.6743,0.77
8,1.2762674369908242,1.0930440333192257,0.8599,0.8028,0.6739,0.7701
9,1.2776384867971442,1.0925333570481708,0.8602,0.8031,0.6743,0.77
10,1.286343773040161,1.1018113288151554,0.8597,0.8028,0.6737,0.7682
11,1.2767293692962445,1.0909463255619696,0.8602,0.8031,0.676,0.7722
12,1.2829394994216738,1.096656758843067,0.8605,0.8034,0.675,0.7707
13,1.280233741387279,1.0862389104002383,0.8607,0.8035,0.6747,0.7709
14,1.2824550523638476,1.0991322196669313,0.8606,0.8035,0.674,0.7695
15,1.2819850933410761,1.0909516700834418,0.8608,0.8036,0.6745,0.7715
16,1.285032368237224,1.102385013657868,0.8594,0.8025,0.675,0.7716
17,1.277021950288373,1.0930802811909675,0.86,0.803,0.6742,0.7703
18,1.278821126694636,1.0909022739882477,0.8606,0.8034,0.6746,0.771
19,1.283711886065821,1.0958966558397922,0.8602,0.8031,0.6733,0.7692
20,1.2870804679916399,1.1050920365710402,0.8597,0.8027,0.6721,0.7688
21,1.2788059268880405,1.1102569385534007,0.8598,0.8028,0.6722,0.7678
22,1.281319943707107,1.1008277870448953,0.8598,0.8028,0.6719,0.7677
23,1.2778542173680283,1.0904702758482963,0.861,0.8037,0.6731,0.7696
24,1.275971517889717,1.0900350426471181,0.8602,0.8031,0.6723,0.7693
25,1.2863257566341195,1.1032578751296018,0.8607,0.8035,0.6736,0.7696
26,1.2837692425328986,1.0951382899590463,0.8605,0.8034,0.6731,0.7703
27,1.281791421839489,1.097987630057777,0.8607,0.8035,0.6734,0.7698
28,1.2834240450324825,1.104156068405309,0.8599,0.8028,0.6728,0.7684
29,1.2846107017521071,1.1000177006578649,0.86,0.803,0.6725,0.7686
30,1.2804620900582173,1.110091109503693,0.8604,0.8033,0.6708,0.7658
31,1.2802801376095894,1.099972395175874,0.8602,0.8031,0.6716,0.7677
32,1.2797184726307602,1.1099292707341204,0.8602,0.8031,0.6724,0.7684
33,1.2818608363220572,1.0975801452420408,0.8602,0.8031,0.6727,0.7689
34,1.2820617469052267,1.0946069128503133,0.861,0.8037,0.6727,0.7689
35,1.2792938367393005,1.107298863257219,0.8612,0.804,0.672,0.7677
36,1.2797423083913269,1.0938555207130063,0.8605,0.8033,0.6721,0.769
37,1.2828201970543063,1.1006515977556117,0.8605,0.8034,0.6714,0.7674
38,1.2814171260732201,1.108306176992354,0.8601,0.8031,0.6728,0.7689
39,1.2812626414524655,1.0899340305450809,0.8601,0.8031,0.6739,0.7707
40,1.2792933452187434,1.10091435058991,0.8606,0.8035,0.6726,0.7688
41,1.2770795888094415,1.0950136056300066,0.8601,0.8031,0.6718,0.7686
42,1.2767586596906393,1.094507599012998,0.8602,0.8032,0.6713,0.768
43,1.2795090616039708,1.101812624387156,0.8601,0.803,0.6726,0.7689
44,1.2789320084645504,1.0982112994207636,0.8601,0.8031,0.6727,0.769
45,1.279405435092265,1.0931503413917334,0.8604,0.8033,0.6716,0.7675
46,1.2787335442434853,1.0994153372231292,0.8604,0.8033,0.6731,0.7692
47,1.2772819805078899,1.1064335972538348,0.8596,0.8027,0.6714,0.7671
48,1.2781909234256652,1.1031754152921058,0.8602,0.8031,0.6724,0.7682
49,1.2761445187327758,1.1034429825831753,0.8595,0.8026,0.6709,0.7659
