epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.810115801660638,1.6731535939427165,0.0,0.2293,0.2503,0.4548
1,1.7173262499451067,1.6677150205100253,0.0,0.2293,0.2996,0.5103
2,1.6856780907754123,1.666737277786453,0.0,0.2293,0.3126,0.5221
3,1.676092714926843,1.6651234353259527,0.1618,0.2939,0.402,0.5625
4,1.6750476661196165,1.6636389788095054,0.7563,0.6807,0.4566,0.5964
5,1.6715923306759464,1.6614711093696164,0.8199,0.7467,0.4594,0.5991
6,1.673238520416917,1.6615308058726324,0.8479,0.7781,0.4689,0.6064
7,1.674266356315339,1.6615038387703174,0.8635,0.7959,0.4669,0.6048
8,1.6712198103443858,1.6610695051424431,0.8646,0.7973,0.4702,0.6073
9,1.6716051964383376,1.6590097358216456,0.8747,0.8086,0.4666,0.6051
10,1.6745375593028,1.6597666585600221,0.8649,0.7976,0.4648,0.6033
11,1.6750782350318854,1.660241654941014,0.8709,0.8043,0.4663,0.6042
12,1.6746289039912976,1.659659668480679,0.88,0.8149,0.4668,0.6052
13,1.671946537836887,1.6603831155991657,0.8784,0.813,0.4641,0.6032
14,1.6725815016972392,1.6610796069686031,0.8663,0.7991,0.4718,0.6093
15,1.6738001525972448,1.6612651936419598,0.8807,0.8157,0.4689,0.6071
16,1.6720768899153293,1.66057081346388,0.8811,0.816,0.464,0.6039
17,1.672205836151205,1.6604821914202208,0.8783,0.8128,0.4653,0.6043
18,1.675158773740513,1.6620205269231425,0.8623,0.7947,0.4669,0.6054
19,1.6747166249170258,1.6605130862364006,0.8621,0.7945,0.4669,0.6049
20,1.6760989602958187,1.6616291855320786,0.8582,0.7901,0.4674,0.6047
21,1.6743294388483585,1.6617167604950083,0.868,0.8012,0.4679,0.606
22,1.671921304966274,1.660957736886425,0.8681,0.8014,0.4691,0.6073
23,1.6729991132277622,1.6605188970441942,0.855,0.7863,0.4661,0.6051
24,1.672491482427816,1.661456974037798,0.8633,0.7958,0.4691,0.6067
25,1.6711330704711842,1.6598384808668327,0.8816,0.8166,0.4653,0.6043
26,1.6741220397812329,1.6612862983307282,0.8747,0.8088,0.4652,0.603
27,1.6705364336807762,1.660836495362319,0.8691,0.8024,0.4677,0.605
28,1.6752154275275875,1.6605067227309915,0.8697,0.8031,0.4701,0.6073
29,1.675551682282863,1.6604848191851662,0.8589,0.7909,0.4655,0.6026
30,1.6749325846656087,1.660610563311226,0.8624,0.7947,0.4631,0.6023
31,1.6755642551554448,1.661308910423543,0.8644,0.797,0.4668,0.6043
32,1.6740343209944273,1.6606992199307395,0.8725,0.8062,0.464,0.603
33,1.674020627611562,1.6605440213050677,0.8781,0.8126,0.4646,0.6035
34,1.6772592395686647,1.6620406449099123,0.8787,0.8132,0.4693,0.6068
35,1.6744508565042577,1.6617058897431278,0.88,0.8148,0.4704,0.6074
36,1.6751737711532264,1.6613285092564372,0.8809,0.8159,0.4691,0.6064
37,1.6758665921585412,1.6613235628450072,0.8736,0.8076,0.4662,0.6036
38,1.6747651031713167,1.6619111583346413,0.8603,0.7924,0.4613,0.6009
39,1.6710757914057188,1.6618428813430655,0.8701,0.8036,0.4674,0.6044
40,1.6755562940853064,1.6612467703881202,0.8712,0.8048,0.467,0.6052
41,1.6731577720938686,1.6600215228605064,0.8757,0.8098,0.4661,0.6045
42,1.672947334330618,1.6603055784712621,0.8837,0.8189,0.4649,0.6038
43,1.6737729382286801,1.6605904071361988,0.877,0.8113,0.4691,0.6068
44,1.675366690854707,1.6602813531826068,0.8707,0.8043,0.4658,0.6046
45,1.6712821469637766,1.6586167765902233,0.8475,0.7777,0.4606,0.6011
46,1.6775200927371614,1.6613929385230655,0.8588,0.7908,0.465,0.604
47,1.6717869347077237,1.660261590243418,0.869,0.8023,0.4655,0.6039
48,1.6744409990652898,1.6606094517233052,0.8711,0.8046,0.4696,0.6072
49,1.6703797334974462,1.6594514826159457,0.8623,0.7947,0.4673,0.6061
