epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.772582355298494,1.5055572470545253,0.6598,0.599,0.3577,0.5211
1,1.432390597163205,1.4311459350895572,0.8308,0.7594,0.4872,0.5966
2,1.3076597674611652,1.4106452877903397,0.8509,0.7815,0.4766,0.5839
3,1.2502838820932014,1.4073513320514135,0.8562,0.7875,0.4729,0.581
4,1.22725510818251,1.4177617626788812,0.8582,0.7896,0.4694,0.5777
5,1.2142618883169438,1.431601449782714,0.8589,0.7904,0.4692,0.5774
6,1.2142006740615698,1.4503409201964672,0.8588,0.7903,0.4678,0.5759
7,1.2031232392388669,1.461398598693666,0.8584,0.7899,0.4689,0.5771
8,1.2019507708874615,1.4734511697963202,0.8586,0.7901,0.4676,0.5763
9,1.2005290501710901,1.4872718799165834,0.8583,0.7897,0.4681,0.5764
10,1.1929308563898624,1.498003668083257,0.8587,0.7903,0.4664,0.5746
11,1.2042838381380556,1.5040885119727163,0.8591,0.7906,0.4665,0.5752
12,1.191325903794412,1.5133602273412596,0.8591,0.7906,0.4674,0.5759
13,1.1934039087957173,1.5170298672857738,0.8587,0.7903,0.4674,0.5767
14,1.19698736862988,1.5228645819606204,0.8584,0.7899,0.4668,0.576
15,1.1909388111253674,1.5271069097828556,0.8584,0.7899,0.4679,0.5773
16,1.1888662697168058,1.528569424823249,0.8595,0.7911,0.4683,0.5781
17,1.1876794302292417,1.5358244965086767,0.859,0.7905,0.4679,0.5773
18,1.1952942572712328,1.5394718388974409,0.8592,0.7907,0.4665,0.5759
19,1.1916301366672561,1.5426089376598209,0.8591,0.7907,0.4663,0.5753
20,1.1964392165818283,1.5463517710760042,0.859,0.7905,0.4665,0.5755
21,1.1930987382191791,1.5436528588270213,0.8586,0.7901,0.4677,0.5769
22,1.1916632678662762,1.5480932128893865,0.8582,0.7897,0.4673,0.5763
23,1.1938539753405102,1.5474691527746456,0.8586,0.7901,0.4662,0.5755
24,1.1937884629913493,1.5484205355375875,0.8591,0.7907,0.4665,0.5759
25,1.2003683373688512,1.5479380452271663,0.8593,0.7908,0.467,0.5762
26,1.193126934281947,1.5485512634892484,0.8597,0.7913,0.4666,0.5759
27,1.1903685121730183,1.5507270188042612,0.859,0.7906,0.468,0.5771
28,1.1915981385268664,1.5532573422828277,0.8594,0.7909,0.4677,0.577
29,1.192563638376277,1.553509978504924,0.8585,0.79,0.4668,0.5759
30,1.197747075885677,1.5521532101032538,0.859,0.7906,0.4683,0.5774
31,1.1909582490841168,1.5529069283823946,0.8584,0.7899,0.4672,0.5766
32,1.1881600706058255,1.556506475328883,0.8583,0.7899,0.4674,0.5761
33,1.1887997308986609,1.5580261308393437,0.8588,0.7903,0.466,0.5753
34,1.1949651284080944,1.554486017722588,0.859,0.7905,0.4663,0.5754
35,1.1952895390217384,1.553394309112004,0.8591,0.7907,0.4668,0.5761
36,1.1890440226741954,1.5555859192625268,0.859,0.7905,0.4671,0.5765
37,1.1886517357740676,1.5556978714930547,0.859,0.7906,0.4676,0.5766
38,1.1966144936649423,1.5582649243342412,0.8589,0.7905,0.4675,0.5764
39,1.1906495616196446,1.5568958087400957,0.859,0.7905,0.4669,0.5761
40,1.1961133785224987,1.5575394276932721,0.8591,0.7907,0.4673,0.5764
41,1.1899455738695044,1.5579689127026182,0.859,0.7905,0.468,0.5774
42,1.1932179405215824,1.5585758456420074,0.8593,0.7909,0.4674,0.5771
43,1.195715819962287,1.5589096401676987,0.8595,0.7911,0.4671,0.5767
44,1.192510555805772,1.5556262798639604,0.8588,0.7904,0.4688,0.578
45,1.192359328341256,1.5576538711915284,0.8587,0.7903,0.4667,0.5754
46,1.1958300588946593,1.555434028049568,0.8591,0.7906,0.4676,0.5769
47,1.1951489805034474,1.5566253455686363,0.8596,0.7912,0.4668,0.5757
48,1.1866740115949412,1.5558631711708002,0.8585,0.7899,0.4665,0.5758
49,1.1946920042403006,1.555893259131031,0.8585,0.79,0.4674,0.5774
