epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.1234153188191927,0.94625997964365,0.2357,0.3726,0.6194,0.7583
1,1.022356700913027,0.937197651724406,0.8735,0.8154,0.6408,0.7532
2,1.015485591652855,0.9423463034167514,0.8732,0.8151,0.6389,0.7452
3,1.0163763269426336,0.9471503662105413,0.8743,0.8159,0.6379,0.7396
4,1.015355051749581,0.9409419837255557,0.8731,0.8151,0.6412,0.7441
5,1.016476494643037,0.9454688457901128,0.8728,0.8149,0.6394,0.7425
6,1.0163847363358784,0.943833351960803,0.8742,0.8159,0.6385,0.7405
7,1.0147401377044876,0.9414512443245283,0.8733,0.8152,0.6406,0.7451
8,1.0143629605004896,0.9444886155405864,0.8731,0.8151,0.6382,0.7405
9,1.0149204220711712,0.9470794987645506,0.8735,0.8154,0.6375,0.7397
10,1.0153119406349147,0.9427670294062913,0.8736,0.8155,0.6378,0.7401
11,1.0149423063829028,0.9411535614745439,0.8737,0.8156,0.6404,0.7442
12,1.0132585771441143,0.9378828963579564,0.8723,0.8144,0.6385,0.7408
13,1.0165526894976036,0.9521282529896976,0.8725,0.8146,0.6405,0.7398
14,1.0151261446567683,0.9416952093552354,0.8716,0.8138,0.6407,0.7429
15,1.01522108378872,0.9484082107893979,0.872,0.8141,0.64,0.7412
16,1.0170437857627237,0.9468096467431563,0.8731,0.8151,0.6417,0.7442
17,1.0164170660849274,0.9449356353514082,0.8718,0.814,0.6385,0.7414
18,1.0142442796290394,0.9416494780630286,0.874,0.8158,0.6391,0.7417
19,1.013045974846544,0.9436080274159228,0.8737,0.8156,0.6387,0.7407
20,1.0142154172260502,0.940037948603115,0.8738,0.8156,0.6406,0.743
21,1.0132848248083333,0.9373545406432693,0.872,0.8141,0.6388,0.7437
22,1.0123628666451503,0.9366976859827121,0.8712,0.8135,0.6385,0.7425
23,1.0157585100564779,0.9445035588047841,0.8721,0.8142,0.6388,0.7399
24,1.0161039490914787,0.9415102461533533,0.8732,0.8152,0.6393,0.7435
25,1.012475183495476,0.9411124903244324,0.8719,0.8141,0.6402,0.7431
26,1.0153473386792984,0.9414400370002123,0.8727,0.8148,0.6402,0.7426
27,1.0132620554782983,0.9424390909249102,0.8739,0.8157,0.6399,0.7415
28,1.0175853393359273,0.9461188280846604,0.873,0.8151,0.6408,0.7426
29,1.0154158582500816,0.9464963889188053,0.8736,0.8155,0.6417,0.7425
30,1.0146395772774592,0.9402307204262371,0.8723,0.8143,0.6399,0.7437
31,1.0160597205478252,0.944950418624191,0.872,0.8141,0.6394,0.7419
32,1.0137474544800877,0.9444122630638428,0.8736,0.8155,0.639,0.7414
33,1.0154295590575242,0.945372995082031,0.8724,0.8145,0.641,0.7412
34,1.0145639872835548,0.9457635498938468,0.8716,0.8138,0.639,0.7403
35,1.0149843810170651,0.9436512922150937,0.8724,0.8144,0.6398,0.7417
36,1.0123593664137691,0.9409956142842935,0.8737,0.8156,0.6398,0.7422
37,1.0139570356759215,0.9471102332144232,0.8728,0.8149,0.6404,0.7403
38,1.0173538630378658,0.9497286984464799,0.873,0.815,0.6395,0.7395
39,1.0184968929312905,0.947159852099881,0.8742,0.8159,0.6382,0.7398
40,1.0168349102179,0.9526254121121277,0.8735,0.8154,0.6383,0.7361
41,1.0143732438827384,0.9479824365671322,0.8734,0.8154,0.6404,0.742
42,1.016248496797736,0.9453328426855092,0.8737,0.8156,0.6389,0.7396
43,1.013258036710223,0.9442202592490453,0.8731,0.8151,0.6405,0.7425
44,1.0146228833919495,0.9442800479912692,0.8724,0.8145,0.6407,0.743
45,1.0156298746559917,0.942644096725205,0.8728,0.8148,0.6407,0.7438
46,1.0156085565093342,0.9410355242170455,0.8726,0.8146,0.6402,0.744
47,1.0146427760864127,0.9397471390272442,0.871,0.8132,0.6386,0.7436
48,1.0132787623677393,0.9485840562142824,0.8738,0.8156,0.6427,0.7429
49,1.0132142725531554,0.9448190617099033,0.8743,0.816,0.6396,0.7407
