epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.1748130998971924,1.0239451055381437,0.0,0.2769,0.4882,0.7282
1,1.0644592279543612,1.0286532183102954,0.8647,0.8084,0.6189,0.7341
2,1.0586265670209727,1.0324051123411702,0.8695,0.8129,0.6256,0.7284
3,1.0584794656825636,1.030837988341614,0.8734,0.8163,0.6274,0.7295
4,1.0581401303924363,1.0298015383637182,0.8733,0.8162,0.6242,0.7283
5,1.0600921405721406,1.0310740392459066,0.8723,0.8154,0.62,0.7264
6,1.057511872021526,1.0299939154918174,0.8654,0.809,0.6318,0.7321
7,1.0589086159628962,1.029654553474812,0.8657,0.8093,0.6316,0.733
8,1.0583442629016047,1.0321701099667853,0.8666,0.8102,0.6261,0.728
9,1.0578011478685259,1.0281062510865546,0.8721,0.8151,0.6252,0.7289
10,1.0589183619547269,1.0329001848057036,0.8723,0.8154,0.6264,0.7274
11,1.0579996985291928,1.0297074953604932,0.8742,0.8168,0.6284,0.7294
12,1.0566029586194365,1.0287915527655478,0.8719,0.815,0.6308,0.732
13,1.0576791688206975,1.0343924397576878,0.8729,0.8159,0.6289,0.7297
14,1.0585842231777682,1.0340415086607524,0.8711,0.8142,0.6315,0.7304
15,1.0582548194127626,1.0317883947219215,0.8703,0.8136,0.626,0.727
16,1.057951266237532,1.0309358646995144,0.8727,0.8157,0.6232,0.7265
17,1.0575523389113044,1.0306895674926093,0.8715,0.8146,0.6258,0.7302
18,1.059968009037744,1.0339263530649307,0.8711,0.8142,0.6247,0.727
19,1.0583461962580998,1.0342841001428726,0.8711,0.8142,0.6351,0.7336
20,1.05783608571604,1.0342891867636312,0.8758,0.8181,0.6244,0.7239
21,1.0585331170565253,1.0325471587128257,0.8695,0.8129,0.6286,0.7301
22,1.0586974788407748,1.036404942046242,0.8702,0.8134,0.6307,0.7278
23,1.0565743808404837,1.0272359981761414,0.8727,0.8158,0.6267,0.7308
24,1.0602539378942166,1.033479446354335,0.8777,0.8196,0.6236,0.7281
25,1.05811842370887,1.0289028474333544,0.8707,0.8139,0.6214,0.7263
26,1.0582851718132944,1.0334651106117174,0.8741,0.8168,0.624,0.7244
27,1.0598245563099176,1.0345756439621099,0.8692,0.8126,0.6247,0.7261
28,1.056885474754265,1.0333641794744952,0.8706,0.8138,0.6289,0.7278
29,1.0577890332640008,1.0316490197445878,0.8714,0.8145,0.6199,0.7213
30,1.0575064563387584,1.033353331429146,0.8757,0.818,0.6286,0.7293
31,1.0596694887395879,1.033980295598672,0.8704,0.8137,0.6298,0.7308
32,1.0586199807472507,1.032316443827674,0.8725,0.8156,0.6188,0.7238
33,1.0601691270854807,1.0320791837416197,0.8707,0.8139,0.621,0.7255
34,1.0574893962878447,1.0337944814207811,0.8711,0.8142,0.6278,0.7289
35,1.0585549048466771,1.0311808827180942,0.8729,0.8159,0.6258,0.7288
36,1.0588347756499004,1.0356559921004436,0.8633,0.807,0.6221,0.7232
37,1.0581276180415318,1.0273103852681507,0.8722,0.8153,0.6276,0.7315
38,1.058259925886554,1.0336661892749597,0.8745,0.817,0.633,0.7326
39,1.0576206769804106,1.0313926384554675,0.8706,0.8138,0.6268,0.7285
40,1.0575449188840167,1.031374825665165,0.8733,0.8162,0.6259,0.7295
41,1.0567276047379648,1.0329467783839419,0.8752,0.8176,0.6251,0.7249
42,1.0586000674204106,1.0298312424457634,0.8755,0.8178,0.6282,0.73
43,1.0576320194518218,1.034717362508219,0.8738,0.8166,0.6284,0.7254
44,1.0591816337339441,1.0325549566019274,0.8734,0.8163,0.628,0.7274
45,1.058999879172057,1.0315452887576042,0.8706,0.8139,0.6236,0.7268
46,1.061257295014055,1.03392038632628,0.8711,0.8142,0.6245,0.7262
47,1.057947300473322,1.0306002039493285,0.8614,0.8052,0.6281,0.7282
48,1.0577877812502554,1.0309566082716648,0.8702,0.8134,0.6279,0.7302
49,1.0564187039430957,1.0287744082572388,0.8704,0.8136,0.63,0.7316
