epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.1331251704120437,1.045349128491188,0.0015,0.276,0.6113,0.7519
1,1.0582044061141123,1.0310968923330648,0.8736,0.8161,0.6509,0.7626
2,1.0552711854316164,1.0312924143591213,0.8717,0.8145,0.6524,0.7625
3,1.0520241681120839,1.0282033001645314,0.8711,0.814,0.6534,0.764
4,1.0564045925147016,1.0332622286596584,0.8699,0.813,0.6585,0.7667
5,1.0547451071633012,1.0306993609828377,0.8653,0.8088,0.6514,0.7599
6,1.0538977596107755,1.029436664642519,0.8671,0.8104,0.6524,0.7613
7,1.0537178805078495,1.0303035533207119,0.8699,0.813,0.6541,0.7619
8,1.0535547826218787,1.0284364004958204,0.8699,0.813,0.6539,0.7652
9,1.0550203192706895,1.0319761593059535,0.8686,0.8118,0.6529,0.7636
10,1.0560136102684357,1.0296323812977224,0.8726,0.8152,0.6489,0.7598
11,1.0555581014937796,1.0294859483306655,0.8734,0.816,0.6518,0.7628
12,1.0531784101086685,1.0302862456113568,0.8715,0.8144,0.6486,0.7568
13,1.0557090711825907,1.0363309079842289,0.8687,0.8119,0.6487,0.7525
14,1.0564217040251755,1.0328779565794832,0.8712,0.8141,0.6528,0.7591
15,1.052807027794208,1.028377680397578,0.871,0.8139,0.6512,0.7622
16,1.0554524315423905,1.0313055923423822,0.8722,0.8149,0.6551,0.7638
17,1.054652657248365,1.0297996487665109,0.8645,0.8082,0.657,0.7677
18,1.054680990733118,1.0300187814592805,0.8645,0.8082,0.6528,0.7619
19,1.055949089007819,1.0329523636679165,0.8672,0.8106,0.6522,0.7597
20,1.0570009803722198,1.0346750274364347,0.8705,0.8135,0.6469,0.754
21,1.0549303504353857,1.032540639184851,0.87,0.8131,0.6544,0.7624
22,1.056124555376062,1.029057655116801,0.8712,0.8141,0.6462,0.7578
23,1.0573294392956074,1.0349621704743694,0.8699,0.813,0.6509,0.7586
24,1.0540279942663826,1.0287617229020884,0.8692,0.8124,0.6495,0.76
25,1.0557957813402972,1.0323305556845563,0.8723,0.8151,0.6493,0.7567
26,1.0552937207158937,1.0257796074626448,0.8696,0.8128,0.6479,0.7622
27,1.0543190081582439,1.032003839668976,0.8723,0.815,0.6537,0.7631
28,1.0538325525441763,1.0302223068331176,0.8728,0.8154,0.6516,0.762
29,1.0566901895181953,1.0331617498533872,0.8677,0.811,0.6562,0.7633
30,1.0574107676972593,1.0366935882180632,0.8662,0.8096,0.6554,0.7599
31,1.0552031645031545,1.031492055057629,0.8679,0.8112,0.6564,0.7657
32,1.0552313300828264,1.0327520168966982,0.8653,0.8088,0.6571,0.7652
33,1.054610584664859,1.029725731099383,0.8703,0.8133,0.6552,0.766
34,1.054671103081607,1.0343652892214765,0.8733,0.8158,0.6534,0.759
35,1.0556858600056993,1.0329403973339968,0.8672,0.8106,0.6551,0.7625
36,1.055567074709662,1.0297052816895718,0.8699,0.813,0.6555,0.7652
37,1.0555440985086317,1.033259605290036,0.867,0.8103,0.654,0.7608
38,1.054245102546575,1.0306081329704861,0.8686,0.8118,0.6569,0.7659
39,1.0543098153965127,1.0301301189394039,0.8693,0.8125,0.6543,0.7633
40,1.0545248149912974,1.026530889488661,0.87,0.8131,0.6497,0.7634
41,1.0547872257879731,1.033600546579048,0.8685,0.8117,0.6484,0.7561
42,1.056856488094781,1.0292689040962197,0.8697,0.8129,0.6513,0.7633
43,1.0543337456036874,1.033449997915521,0.8696,0.8128,0.6532,0.7601
44,1.0535398195332426,1.0306626926475178,0.869,0.8122,0.653,0.7609
45,1.0548095358023646,1.0335577677047882,0.8701,0.8131,0.6504,0.7547
46,1.0545038464339807,1.0335761389446667,0.8712,0.8141,0.6558,0.7625
47,1.0563765273545465,1.035202354490332,0.8722,0.815,0.6488,0.7544
48,1.0572787800761005,1.0333530311067503,0.8698,0.813,0.6572,0.7655
49,1.0557072809278425,1.033945502976378,0.866,0.8095,0.6565,0.7627
