epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.5629969680973326,1.411791433582148,0.9049,0.841,0.5145,0.6977
1,1.3448073705880648,1.3080258215189473,0.8848,0.8196,0.5134,0.6998
2,1.3215513450081215,1.2860318934448511,0.872,0.8044,0.5122,0.6965
3,1.3202355348463084,1.2793693976866285,0.8678,0.7993,0.5123,0.6949
4,1.314580247699424,1.2729356797338767,0.8681,0.7996,0.5126,0.6972
5,1.3172057240331836,1.2744776685538992,0.8664,0.7976,0.5128,0.6966
6,1.3164458637212253,1.2729470649614592,0.8685,0.8001,0.5133,0.6996
7,1.316926242596907,1.271981912246649,0.8699,0.8018,0.5134,0.6997
8,1.3113327809290798,1.2730750872234873,0.8671,0.7984,0.5128,0.6994
9,1.3141693443771383,1.2729656929555146,0.8671,0.7985,0.5123,0.6973
10,1.3189253234420595,1.2773488941399946,0.869,0.8007,0.512,0.6981
11,1.3144554424665336,1.2759520918686198,0.8657,0.7968,0.5114,0.696
12,1.3116850419449237,1.2742812336108205,0.8684,0.8001,0.5122,0.6967
13,1.3169879490880183,1.2751432138940562,0.8664,0.7976,0.5116,0.6952
14,1.3197484295311277,1.2728251250881093,0.8664,0.7975,0.5129,0.7
15,1.3165572199960602,1.2784268578387195,0.8688,0.8005,0.5111,0.695
16,1.315537468413143,1.275618144814272,0.8667,0.798,0.5121,0.6961
17,1.3157805179727489,1.275899620900243,0.8662,0.7973,0.5114,0.6958
18,1.3189340468110708,1.2771249672640925,0.8648,0.7957,0.5118,0.6965
19,1.3119128422016175,1.2708762407796477,0.871,0.8032,0.5125,0.6966
20,1.3199706177812673,1.2730468019195225,0.8709,0.8031,0.5129,0.6985
21,1.3191719883000503,1.2754200952393668,0.8684,0.8,0.5122,0.6957
22,1.3155930594677,1.2712406852970952,0.871,0.8032,0.513,0.6994
23,1.3158901417603228,1.2757790545252292,0.8655,0.7965,0.5116,0.6957
24,1.315015931597439,1.274449893036244,0.8658,0.7968,0.5119,0.6964
25,1.318073545558383,1.275923270739877,0.8676,0.7991,0.5115,0.6956
26,1.3151139361472597,1.274937139164587,0.864,0.7946,0.5123,0.697
27,1.3154979584704027,1.274797427111284,0.8671,0.7984,0.5119,0.697
28,1.3153182024981045,1.2758462099555117,0.8667,0.7979,0.5119,0.6955
29,1.3167530182818203,1.274845374173506,0.8659,0.797,0.5128,0.6983
30,1.3175519191934195,1.273434022815578,0.8675,0.7989,0.5127,0.6973
31,1.3147492618396364,1.2755685442476292,0.8699,0.8018,0.5115,0.6977
32,1.3213795388725138,1.2793534737442838,0.8669,0.7982,0.5117,0.6964
33,1.3193671354248289,1.2792195846822199,0.8651,0.7961,0.5115,0.6958
34,1.3171905658921765,1.2704118443325192,0.866,0.7972,0.5132,0.6986
35,1.3171622118203645,1.2757877796333028,0.8698,0.8017,0.512,0.6944
36,1.3129339702881933,1.2746463710476894,0.8676,0.7991,0.5113,0.6952
37,1.3167137281015633,1.2742394856784656,0.868,0.7995,0.5123,0.6967
38,1.318376165233177,1.2762224259583845,0.8657,0.7968,0.5119,0.6943
39,1.321365108540583,1.2792282520367246,0.8678,0.7993,0.5116,0.6956
40,1.3115786132508944,1.2750235642952454,0.868,0.7996,0.5118,0.6972
41,1.3149649403455719,1.2737408894929827,0.8709,0.8031,0.5128,0.6972
42,1.32211714891287,1.2767118540116225,0.8681,0.7996,0.5123,0.6998
43,1.315894533310392,1.2748682758082515,0.8689,0.8006,0.5122,0.6985
44,1.3175743302868912,1.273338906883453,0.8678,0.7993,0.5127,0.6998
45,1.3205289355639753,1.2779920167804504,0.8681,0.7996,0.5121,0.6964
46,1.3180049010866202,1.2732747742601556,0.8663,0.7974,0.5134,0.6993
47,1.3139835963198614,1.2731270658056681,0.866,0.7971,0.5124,0.6962
48,1.3119572273932338,1.276261734049266,0.8654,0.7964,0.5125,0.6979
49,1.3182187230896887,1.2732364912951215,0.8675,0.799,0.5133,0.6987
