epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.551877945297909,1.4100593290220382,0.9046,0.8408,0.5136,0.7045
1,1.3437457636433507,1.308144480298518,0.8825,0.8167,0.5115,0.6928
2,1.3212305856004,1.282022109436446,0.8733,0.8058,0.5124,0.6959
3,1.3155711893693838,1.2772621255730496,0.8705,0.8025,0.5111,0.6941
4,1.3168040125692555,1.2754851930136513,0.8684,0.8,0.5119,0.6948
5,1.314552421942946,1.2757264239941077,0.8676,0.7991,0.5118,0.6962
6,1.3130106718533867,1.2735137281704147,0.8678,0.7993,0.5128,0.6974
7,1.3148448046385768,1.2744067313755028,0.8679,0.7994,0.5127,0.6979
8,1.3178924385053092,1.2750730768740794,0.8661,0.7972,0.512,0.6975
9,1.3138247556964662,1.2755198152909368,0.8693,0.8011,0.5116,0.696
10,1.316906861000415,1.2732886331421989,0.8668,0.7981,0.5127,0.698
11,1.317471575199451,1.2753860334678713,0.8666,0.7978,0.512,0.6964
12,1.3134518718845964,1.2736835236628357,0.8688,0.8004,0.5121,0.6963
13,1.3166650498893595,1.273984990998578,0.8687,0.8004,0.5119,0.6975
14,1.3177931518074055,1.2758051901130203,0.866,0.7971,0.5113,0.6958
15,1.3147665169890426,1.2737423819537983,0.867,0.7983,0.5126,0.6971
16,1.312342643421588,1.2749354432088247,0.8686,0.8002,0.5113,0.6951
17,1.3153931368883471,1.272835473589769,0.8665,0.7977,0.5121,0.6978
18,1.3147123942008385,1.2732736816317398,0.8656,0.7967,0.5117,0.6964
19,1.313617593856326,1.275248598608171,0.8638,0.7945,0.5123,0.698
20,1.319186778915972,1.274576466893064,0.8699,0.8018,0.5124,0.6983
21,1.3150163878812715,1.2774636949071232,0.867,0.7983,0.5113,0.695
22,1.3158497324040461,1.2787384791897445,0.8662,0.7974,0.512,0.696
23,1.316079304452284,1.27644321612443,0.8697,0.8015,0.5114,0.6961
24,1.3182694158124038,1.2753793220835936,0.8675,0.799,0.5118,0.6969
25,1.3142001190931791,1.2789211526173736,0.8679,0.7994,0.5115,0.6972
26,1.3208005228472641,1.27509765990279,0.8685,0.8001,0.5117,0.6948
27,1.3105482908711825,1.271312635507643,0.8669,0.7982,0.5129,0.6994
28,1.3171661589126689,1.2747873515816208,0.8679,0.7994,0.5119,0.6964
29,1.318329511270599,1.2760576226943274,0.8671,0.7984,0.512,0.6967
30,1.3191675208923987,1.2780515446672776,0.8683,0.7999,0.5118,0.6976
31,1.31613901828265,1.276176691178703,0.869,0.8007,0.512,0.6967
32,1.319467306010603,1.2759214962984957,0.8679,0.7995,0.512,0.6956
33,1.3182319139612133,1.2769296205068474,0.8651,0.7961,0.5112,0.6948
34,1.3180524578461281,1.27406632826195,0.8672,0.7986,0.5127,0.6974
35,1.318135979068058,1.281516705240522,0.8661,0.7973,0.5112,0.6945
36,1.3154492183452575,1.2798104816835614,0.8671,0.7985,0.5116,0.6953
37,1.31228357360597,1.2751610866491345,0.8663,0.7975,0.5122,0.697
38,1.313047717673709,1.276162802926255,0.8649,0.7957,0.512,0.6986
39,1.3100806632155766,1.2733381690445893,0.869,0.8007,0.5121,0.6966
40,1.3205025758604156,1.2791908173580842,0.8678,0.7993,0.5118,0.6967
41,1.3153986690215154,1.2733125923583226,0.8675,0.799,0.5128,0.6982
42,1.3173873535201783,1.2780553327090498,0.8683,0.7999,0.5114,0.6946
43,1.3145148135939075,1.2778278080819803,0.8657,0.7968,0.5117,0.6959
44,1.3126495628205155,1.2740110114494465,0.8701,0.8021,0.5125,0.6984
45,1.31929077545591,1.2752406309603657,0.863,0.7935,0.5124,0.6988
46,1.3119170531670041,1.277141767875995,0.8673,0.7988,0.5114,0.6951
47,1.3158387764063058,1.2774722664993001,0.867,0.7984,0.511,0.6947
48,1.3226010730475266,1.2798443985775143,0.866,0.7972,0.511,0.6946
49,1.3194962764924654,1.2761869471265663,0.8684,0.8001,0.5116,0.6962
