epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.781251340505192,1.6954307939873232,0.8454,0.7323,0.3338,0.3655
1,1.6563237456560571,1.6417087137443314,0.8793,0.8091,0.4788,0.4723
2,1.6073287891077603,1.6086183602206185,0.8748,0.8145,0.4914,0.4897
3,1.5829542953745757,1.5878951728599777,0.8653,0.8057,0.4964,0.497
4,1.5726730579432011,1.5752827916534162,0.8583,0.7988,0.4984,0.4989
5,1.5732832839763577,1.5683840196020102,0.8531,0.7933,0.497,0.4985
6,1.5678885606350803,1.5630069684572998,0.8521,0.7926,0.4975,0.4988
7,1.5654697830106048,1.5593085810861873,0.8484,0.7886,0.496,0.497
8,1.5716032484985574,1.5581846610670949,0.8441,0.7843,0.4966,0.498
9,1.5649653845338978,1.5563282557311489,0.8426,0.7829,0.4966,0.4976
10,1.5726931382794702,1.557125459924788,0.8401,0.7802,0.4972,0.4981
11,1.5712229922223135,1.5571039255084909,0.8395,0.7797,0.4977,0.4993
12,1.5672379769180549,1.5560167792528996,0.8389,0.779,0.4965,0.4981
13,1.5694811274408205,1.5562059792326244,0.8387,0.7788,0.4972,0.499
14,1.5705000813743968,1.5569420229211897,0.8398,0.78,0.4968,0.4976
15,1.5651978202014345,1.5548985188611075,0.8401,0.7802,0.4978,0.4993
16,1.570812446325745,1.5556578968727537,0.8412,0.7815,0.4967,0.4979
17,1.5693514763328231,1.5567084673648228,0.8405,0.7806,0.4965,0.4975
18,1.562246243086332,1.5539671602167284,0.8423,0.7825,0.4982,0.4999
19,1.567090446160088,1.5551845694816164,0.8427,0.783,0.497,0.4975
20,1.5654905929861818,1.5546826804656328,0.8397,0.7799,0.4973,0.4984
21,1.5677249440327423,1.5542232565613776,0.8403,0.7805,0.4968,0.4979
22,1.5703924318990061,1.5550765771210961,0.8405,0.7807,0.498,0.4994
23,1.574188223050761,1.555389834064271,0.8416,0.7818,0.4974,0.499
24,1.5673474406847352,1.5553080718404746,0.8412,0.7815,0.498,0.4991
25,1.5693853302455254,1.5550655024246085,0.8413,0.7816,0.499,0.5001
26,1.5694855551832991,1.5562105603484124,0.839,0.7791,0.4982,0.4993
27,1.5725366188795518,1.5567482868489277,0.8407,0.7809,0.4981,0.4994
28,1.569271806389148,1.5555880479034947,0.841,0.7813,0.4982,0.4997
29,1.572850875270432,1.5565006518056976,0.8412,0.7814,0.4973,0.4989
30,1.568571898139591,1.556328051080008,0.8414,0.7817,0.4977,0.4986
31,1.5723193114592782,1.5567154817826758,0.8393,0.7794,0.4974,0.4985
32,1.5689905432939966,1.556835301955882,0.8381,0.7782,0.4977,0.4984
33,1.565260357569079,1.5556506716642258,0.8397,0.7799,0.4978,0.4987
34,1.561002052898163,1.554372562359331,0.8403,0.7804,0.4978,0.4991
35,1.5686314040607683,1.5546326069361152,0.84,0.7802,0.4975,0.4986
36,1.5670115511857614,1.5548835839324755,0.8406,0.7808,0.4977,0.498
37,1.5651840599189075,1.5543261004108215,0.8396,0.7798,0.4985,0.4995
38,1.5654409443874464,1.553674281410905,0.84,0.7801,0.4984,0.5
39,1.5700661741619355,1.5542952390187799,0.8416,0.7818,0.4984,0.5
40,1.5690436151825313,1.5544931187650164,0.842,0.7822,0.4979,0.4994
41,1.5657784027852786,1.5546017547533748,0.8405,0.7806,0.4966,0.4977
42,1.5755846687819013,1.5568996811117737,0.8415,0.7818,0.4974,0.4988
43,1.5671413208492495,1.5565186293851665,0.8392,0.7794,0.4976,0.4992
44,1.5647350318689015,1.5551411379048752,0.8389,0.779,0.4986,0.5
45,1.5669150082241248,1.5549930784323696,0.8383,0.7784,0.4986,0.5001
46,1.5598180551197673,1.5527523515562132,0.8419,0.7821,0.4977,0.499
47,1.5654157295523439,1.553130636399396,0.8397,0.7799,0.4986,0.5001
48,1.5668119325062475,1.5528096538756537,0.8419,0.7822,0.4979,0.4993
49,1.5650860912403197,1.5520262395875137,0.8436,0.784,0.4979,0.4995
