epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.740404494798468,1.67611543095343,0.8502,0.746,0.3085,0.3682
1,1.6713418608793214,1.6471600945306286,0.8765,0.8175,0.5714,0.6603
2,1.666078037703385,1.641041570588162,0.8718,0.8143,0.6018,0.698
3,1.666219908141331,1.642396194782944,0.8723,0.8148,0.6004,0.6939
4,1.666595836058852,1.6423433913418461,0.8716,0.8142,0.5963,0.6912
5,1.6663673567518948,1.6382618809010514,0.8664,0.8096,0.5969,0.6973
6,1.6658795390584424,1.6418206921244591,0.8673,0.8104,0.5988,0.6959
7,1.6666577459962677,1.6406813726200622,0.8665,0.8097,0.5956,0.6939
8,1.665315376352568,1.640066650270425,0.8713,0.814,0.602,0.6989
9,1.6682812785754468,1.639706825120297,0.8675,0.8106,0.6008,0.6995
10,1.667084958097979,1.6419507261788746,0.8724,0.8149,0.5976,0.6934
11,1.6669642476251334,1.6430707450058322,0.8703,0.8131,0.5981,0.6916
12,1.6655619381593456,1.6396251170588994,0.8664,0.8096,0.6046,0.7017
13,1.6648239386650865,1.6389205270857032,0.8678,0.8109,0.6023,0.6991
14,1.6663708905800585,1.6404343841808984,0.8713,0.814,0.6054,0.7022
15,1.6651588936857582,1.6396959622150642,0.8685,0.8115,0.6044,0.6999
16,1.6659598673844527,1.6395315863088888,0.8716,0.8142,0.6002,0.6968
17,1.6672760467946688,1.6415911506747936,0.8706,0.8133,0.5947,0.689
18,1.6666325173422258,1.6427298270764443,0.8726,0.815,0.6045,0.6997
19,1.6663316351507325,1.6416630143934339,0.8584,0.802,0.6025,0.6997
20,1.671189129826877,1.6452499007254096,0.8737,0.8158,0.6004,0.6963
21,1.665313193352216,1.63801219440233,0.873,0.8153,0.6018,0.7023
22,1.6660207467306831,1.642041142792583,0.8705,0.8132,0.5986,0.6923
23,1.665168652483892,1.6359500591114287,0.8687,0.8117,0.5961,0.699
24,1.664712021379319,1.640381606001603,0.8762,0.8174,0.6018,0.6986
25,1.666452476611504,1.6370393820416564,0.8696,0.8125,0.5987,0.7009
26,1.662835372300616,1.631814470581731,0.8739,0.8159,0.5986,0.7035
27,1.6669218859558712,1.6408610565180264,0.8738,0.8159,0.6012,0.6988
28,1.669466928240475,1.6450388254881565,0.8753,0.817,0.5999,0.6938
29,1.6657143077104097,1.6399414283416938,0.8698,0.8126,0.5974,0.6938
30,1.6677369746510482,1.6410289930174555,0.8698,0.8126,0.6013,0.7024
31,1.6659548193295375,1.6439193563117875,0.8633,0.8067,0.6009,0.6955
32,1.6654590783289953,1.6422352044536137,0.8761,0.8174,0.5995,0.6944
33,1.6654007527334937,1.6376039968633256,0.877,0.8175,0.5949,0.6957
34,1.665417057449685,1.6338870895206103,0.8728,0.8151,0.5973,0.7014
35,1.6649460154597893,1.6395196252582476,0.8738,0.8159,0.5981,0.6965
36,1.667034020158277,1.6400130204546814,0.8744,0.8165,0.6006,0.6992
37,1.664485835981622,1.6391272402866395,0.8665,0.8097,0.5944,0.6914
38,1.6635992208431507,1.638842810058858,0.8714,0.814,0.5988,0.6954
39,1.6679063914467231,1.6413954866229663,0.8722,0.8147,0.6019,0.6997
40,1.6661281961977323,1.6429636057394033,0.871,0.8138,0.6063,0.7021
41,1.6675492986760025,1.640655058077498,0.8704,0.8132,0.6055,0.705
42,1.666763640129914,1.6390587345715044,0.8706,0.8133,0.599,0.7011
43,1.6645545373702872,1.639064867740853,0.8655,0.8088,0.5975,0.6954
44,1.6643914595364893,1.6401262915695802,0.8727,0.8151,0.6007,0.6982
45,1.667810542355798,1.6432801263814487,0.8639,0.8073,0.6036,0.699
46,1.66633268858773,1.6416978540512994,0.8706,0.8133,0.6018,0.6994
47,1.6657933627578878,1.6376476279586305,0.8696,0.8125,0.5973,0.6992
48,1.6667274298339054,1.6406208869492909,0.8628,0.8063,0.6004,0.7
49,1.6669380472730895,1.6388010113523277,0.877,0.8175,0.6011,0.702
