epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.6892301071860114,1.6269030656840993,0.8492,0.7439,0.6048,0.7307
1,1.6674948184496527,1.6211752153499634,0.8762,0.8175,0.608,0.7323
2,1.6663867216211414,1.6221319978587185,0.865,0.8084,0.6141,0.7342
3,1.6653496469679814,1.6143023796028708,0.8736,0.8158,0.6125,0.7322
4,1.6639921724480091,1.613943816387092,0.8642,0.8076,0.6136,0.7339
5,1.6645815519502372,1.6196996128790266,0.8719,0.8145,0.6167,0.7335
6,1.666877534961827,1.6130248861299656,0.8633,0.8067,0.609,0.7315
7,1.668306797900946,1.6187042293456122,0.8654,0.8088,0.6087,0.7275
8,1.6672357394303188,1.622617896408916,0.8719,0.8144,0.6057,0.7249
9,1.6664771215510938,1.6083590360229365,0.8669,0.81,0.5934,0.7258
10,1.6654823695949281,1.6214524801418062,0.8717,0.8143,0.6052,0.7263
11,1.6647436901017905,1.6139454907657698,0.869,0.8119,0.591,0.7216
12,1.6672658276810886,1.6179690148031283,0.8681,0.8111,0.5877,0.7145
13,1.6680539603732942,1.6252848360677175,0.875,0.8168,0.6081,0.7242
14,1.6680109224205624,1.620076155398361,0.8725,0.815,0.6027,0.7211
15,1.6648837452858134,1.612097457670439,0.875,0.8169,0.5918,0.7168
16,1.6675755795812732,1.6241892782604925,0.8726,0.8151,0.6037,0.7194
17,1.6680698124420106,1.6299426768625211,0.8755,0.8171,0.6012,0.7131
18,1.6667865709221332,1.6272137465569452,0.8696,0.8124,0.6193,0.731
19,1.6664771315115516,1.6256526427916211,0.8696,0.8124,0.6077,0.7231
20,1.6652612133588969,1.634483722768662,0.8738,0.8159,0.6103,0.7146
21,1.6647553681852962,1.6221714591055365,0.869,0.812,0.6055,0.7228
22,1.6650457151372489,1.6211006999676247,0.8706,0.8133,0.5926,0.7147
23,1.665234584074754,1.62492082521856,0.8714,0.8141,0.6038,0.7183
24,1.6648495051841836,1.628545959735511,0.872,0.8145,0.6085,0.7196
25,1.6656122455862536,1.6214801097840814,0.8725,0.8149,0.5991,0.7175
26,1.6662134392982453,1.6257808887066934,0.8686,0.8116,0.5983,0.7148
27,1.664654716414545,1.6250911736422298,0.8715,0.8142,0.6013,0.7178
28,1.6655503237120985,1.6229589934824575,0.8633,0.8067,0.6031,0.719
29,1.6641673282065506,1.6157760387312343,0.8758,0.8172,0.5814,0.7178
30,1.6672605378083905,1.6256772794882015,0.8719,0.8144,0.6025,0.7194
31,1.6636350201516947,1.626160249320424,0.8711,0.8139,0.6047,0.7157
32,1.6643789092805088,1.627837245484138,0.8687,0.8117,0.6005,0.7141
33,1.6640806271637782,1.6268375215437934,0.8688,0.8118,0.5991,0.7156
34,1.6663236718437084,1.627113349715098,0.8747,0.8167,0.5992,0.7165
35,1.6653459380412925,1.629782152473101,0.8767,0.8174,0.6058,0.7163
36,1.6646319881516363,1.6277869186903302,0.873,0.8153,0.6057,0.7173
37,1.6664883309397205,1.6286971780401849,0.8726,0.815,0.6004,0.7177
38,1.666729836391201,1.6222546042828019,0.8696,0.8125,0.5871,0.7156
39,1.6654115010952126,1.6214427439459804,0.8709,0.8136,0.5925,0.7199
40,1.664651696340475,1.6244325017004462,0.8642,0.8076,0.6095,0.7275
41,1.6660743853773932,1.6364930764129617,0.8764,0.8175,0.6173,0.7264
42,1.6639647533627973,1.625743656607546,0.8676,0.8107,0.5866,0.7103
43,1.6659506073206742,1.6322750057870332,0.873,0.8153,0.6072,0.7192
44,1.6675538230163665,1.631845022832918,0.8623,0.8058,0.604,0.7213
45,1.663639925123842,1.6231108405253234,0.872,0.8145,0.5913,0.7105
46,1.6674337421077,1.6280977881185896,0.868,0.811,0.6085,0.7267
47,1.6666279088122775,1.619964240495518,0.8688,0.8118,0.5908,0.7164
48,1.6641056594545076,1.620026822730775,0.8664,0.8096,0.5817,0.7042
49,1.665585056144932,1.6190444193058067,0.8666,0.8098,0.6023,0.7208
