epoch,beta,beta_event,train_recon,train_kl,train_raw_kl,train_interv,train_total,train_aux_pres_f1,train_aux_pres_acc,train_aux_type_f1,train_aux_type_acc,val_recon,val_kl,val_raw_kl,val_interv,val_total,val_aux_pres_f1,val_aux_pres_acc,val_aux_type_f1,val_aux_type_acc,val_ref_elbo
0,0.02,↑,0.017433136604300865,0.0,113.77091689063315,0.3159760009071953,1.5190688743564744,0.8755,0.7944,0.4447,0.6832,0.011919660049357584,145.67928783961705,145.67928783961705,0.34415659314819746,147.31176266261508,0.8559,0.7603,0.4805,0.6869,145.6912074996664
1,0.04,↑,0.019817773555600004,0.18148751913318228,9.074376168025237,0.32221733558207005,1.7175517635093094,0.8784,0.8016,0.5254,0.7039,0.01876659714882927,7.685841030393328,7.685841030393328,0.3475776734309537,9.26181376525334,0.8672,0.7959,0.5355,0.7017,7.704607627542157
2,0.06,↑,0.020393593889248652,0.20496119791252698,5.124030066399853,0.32058837669473506,1.7810616060717857,0.8764,0.7994,0.5639,0.7138,0.02108685974297779,5.489081096989768,5.489081096989768,0.3523835111090115,7.110461865833828,0.8606,0.7699,0.5603,0.7153,5.5101679567327455
3,0.08,↑,0.022690541935892657,0.22009391277447385,3.668231959296468,0.32215730656031777,1.8444808879270527,0.8737,0.7955,0.5691,0.7151,0.024026020712086132,3.6209870190279823,3.6209870190279823,0.3575956847199372,5.296813838481903,0.8654,0.7831,0.571,0.7127,3.645013039740068
4,0.1,↑,0.024745094130713297,0.22702133649321984,2.8377667692046313,0.3235193725291401,1.9003526215599773,0.8702,0.7907,0.5582,0.7088,0.026647058300940055,2.988373920576913,2.988373920576913,0.3583938565637384,4.65114221061979,0.8699,0.7933,0.5757,0.7354,3.0150209788778533
5,0.12000000000000001,↑,0.026570526932296147,0.22945840237532486,2.294583992207615,0.32386003427394255,1.9430261853677648,0.8662,0.7847,0.5486,0.7021,0.029120996690222195,2.3935355518545425,2.3935355518545425,0.35859218965683665,4.0949313191005166,0.869,0.7874,0.5773,0.742,2.4226565485447646
6,0.14,↑,0.028707021480286105,0.22814984196241853,1.901248727004176,0.32382406842243705,1.9781491949863752,0.862,0.7788,0.5313,0.6912,0.030883920695632696,2.082092822449548,2.082092822449548,0.35843266936285156,3.7986687227657865,0.8717,0.7943,0.5776,0.7461,2.1129767431451807
7,0.16,↑,0.030239704727846352,0.22663074966343663,1.6187910607764315,0.3239029593101617,2.0104048309385942,0.858,0.773,0.5188,0.6806,0.03307351244613528,1.6553644267150334,1.6553644267150334,0.3587723845137017,3.397407569204058,0.8699,0.7898,0.6282,0.7633,1.6884379391611686
8,0.18,↑,0.03174108767383901,0.2227918091735966,1.3924488383747409,0.3239082169399952,2.0383104413000654,0.8544,0.768,0.5002,0.6663,0.03551785946158426,1.342955765894481,1.342955765894481,0.35947502907897744,3.1218400570324487,0.8635,0.7749,0.6078,0.7575,1.3784736253560654
9,0.19999999999999998,↑,0.0333125881492718,0.21781082654729858,1.2100600998298703,0.32389498060999805,2.0598508094678682,0.8501,0.7616,0.4874,0.6567,0.03614288578874299,1.400020958185196,1.400020958185196,0.3597599204310349,3.175101912702833,0.8618,0.7715,0.6193,0.7576,1.4361638439739388
10,0.21999999999999997,↑,0.03477619601216447,0.21413291307960047,1.070664549728954,0.3239238506551407,2.0819337548153647,0.8452,0.7544,0.4757,0.6458,0.038890488506960016,1.1790435240524155,1.1790435240524155,0.3596648556951966,2.990513951097216,0.8655,0.7788,0.632,0.7563,1.2179340125593756
