epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.6410467996311917,1.428665326597347,0.0231,0.2839,0.6273,0.6967
1,1.4474085527073615,1.320853467164468,0.8708,0.813,0.6525,0.7332
2,1.424843698304481,1.2831066504184598,0.8716,0.8137,0.6583,0.7421
3,1.4158215559267218,1.266006240320954,0.8711,0.8133,0.6603,0.7447
4,1.4205070072856312,1.267548581417889,0.8709,0.8132,0.6612,0.7455
5,1.419327351311967,1.2655281898128494,0.8691,0.8117,0.6602,0.7446
6,1.41732779027027,1.2628705198006351,0.8702,0.8125,0.6607,0.7448
7,1.4186906754016544,1.2686754726989462,0.871,0.8133,0.66,0.7436
8,1.4216699898865128,1.2673023912774004,0.8711,0.8134,0.6621,0.7476
9,1.420241724059411,1.2610559754296817,0.8699,0.8123,0.6625,0.7491
10,1.4155769446863429,1.2643325765870947,0.8713,0.8135,0.6581,0.7406
11,1.4207388545874513,1.2700542371385277,0.8712,0.8135,0.6589,0.741
12,1.4186378906564574,1.260824168289609,0.871,0.8133,0.6605,0.7456
13,1.417426077292541,1.2620287156649221,0.8712,0.8134,0.6613,0.7468
14,1.4227310766672707,1.2669672396315657,0.8703,0.8126,0.6599,0.7439
15,1.4150722880867843,1.2648848162568074,0.8702,0.8126,0.6601,0.7438
16,1.4218935135261999,1.2653290318184334,0.8695,0.812,0.662,0.7473
17,1.4218443183328182,1.2707901619130297,0.8713,0.8134,0.6591,0.7417
18,1.419384479605662,1.2686344751617877,0.8707,0.8131,0.6615,0.7464
19,1.4197578881462167,1.269777898696622,0.871,0.8133,0.6586,0.7417
20,1.4220065039400434,1.2674179214893837,0.8698,0.8123,0.661,0.7467
21,1.4203347024107942,1.2670695529174532,0.8698,0.8122,0.6594,0.7434
22,1.4215019244490685,1.2683263489081074,0.8696,0.812,0.66,0.7451
23,1.4171626077564374,1.2618380678703374,0.871,0.8133,0.661,0.7465
24,1.4173325360775326,1.2591406707246702,0.8701,0.8125,0.6612,0.7466
25,1.4264756442775475,1.2673306775501214,0.87,0.8124,0.6604,0.7451
26,1.4206613668071453,1.2631352599949368,0.8703,0.8126,0.6619,0.748
27,1.4217263785350962,1.261652860848948,0.8703,0.8126,0.6639,0.7514
28,1.415552092577404,1.2648560544223486,0.8705,0.8129,0.6608,0.7456
29,1.4235492446145501,1.2691166227452255,0.8701,0.8124,0.6593,0.7423
30,1.4198791280585854,1.2660017807711548,0.8698,0.8122,0.6607,0.7455
31,1.4211267484254777,1.2685355988786837,0.8704,0.8127,0.6606,0.7446
32,1.4263474071034143,1.2637643431460805,0.8691,0.8117,0.6613,0.747
33,1.4228787799634781,1.266131298518215,0.8702,0.8126,0.6626,0.7487
34,1.419393837161585,1.2654714628565158,0.8703,0.8126,0.6624,0.748
35,1.4218865144393804,1.2642595772226255,0.8712,0.8134,0.6623,0.7479
36,1.4222853530506832,1.265950794396829,0.8708,0.8132,0.6614,0.7458
37,1.4181156929118317,1.2653356908731557,0.8698,0.8122,0.6606,0.7449
38,1.4187170181659334,1.2612137879522654,0.8708,0.8132,0.662,0.747
39,1.4210829909012064,1.2656258007089014,0.8712,0.8134,0.6605,0.7444
40,1.4214019154871846,1.267645164665244,0.8703,0.8126,0.661,0.7451
41,1.4200404425337652,1.2676996010516408,0.8699,0.8123,0.661,0.7459
42,1.421292012237225,1.2690999515556576,0.8708,0.8131,0.6592,0.7423
43,1.4253274221426924,1.267691003868141,0.871,0.8133,0.6614,0.7459
44,1.4171909025002456,1.263766987942765,0.8691,0.8116,0.6615,0.7462
45,1.4198146369113802,1.2636666701795711,0.8698,0.8122,0.6628,0.7486
46,1.419826289474259,1.269681137910753,0.8697,0.8121,0.6597,0.7444
47,1.4166113097549895,1.2620700291662175,0.8693,0.8118,0.6601,0.7445
48,1.416865761527272,1.26237186708736,0.8696,0.812,0.6591,0.7423
49,1.4223146057825746,1.267843204371089,0.8711,0.8134,0.6606,0.7446
