epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.628498575964485,1.4270170453441635,0.0595,0.2975,0.6203,0.6974
1,1.4534260227851097,1.33243018524793,0.8708,0.8131,0.645,0.7197
2,1.4268027718231424,1.2942232001525018,0.8719,0.814,0.6531,0.7308
3,1.4193563766585677,1.2760704873121753,0.872,0.8141,0.6583,0.7391
4,1.4181997732064255,1.2683508324725141,0.8703,0.8126,0.6603,0.7432
5,1.422000394484693,1.268787735454026,0.8698,0.8122,0.6599,0.7437
6,1.4184444804281182,1.2653466970706293,0.8711,0.8134,0.6606,0.7446
7,1.4186748301062055,1.2657903191366482,0.8697,0.8121,0.6609,0.7454
8,1.420074100285333,1.2677479893096673,0.8699,0.8123,0.66,0.7447
9,1.418827240717602,1.267028261523444,0.8702,0.8125,0.6602,0.7441
10,1.4205309223946219,1.2611270587726597,0.8691,0.8117,0.6617,0.748
11,1.4202998681622574,1.2678773967753802,0.87,0.8124,0.6598,0.7437
12,1.4184847068852986,1.2672313970437914,0.8702,0.8125,0.6601,0.744
13,1.4178731350245042,1.2657390874564733,0.8699,0.8123,0.6608,0.7463
14,1.4205471304612767,1.268441517665961,0.8705,0.8129,0.6592,0.7433
15,1.4185866261822695,1.2685062145540615,0.8702,0.8126,0.6612,0.7463
16,1.4228658706841573,1.2695406007868757,0.8707,0.813,0.6608,0.7447
17,1.422822632968799,1.2688013244627545,0.8708,0.8131,0.6605,0.7444
18,1.424060480911531,1.2687394929340325,0.8718,0.8139,0.6614,0.7467
19,1.4152173885638795,1.265263475552095,0.8696,0.812,0.6594,0.7436
20,1.4193927982903722,1.2651923580278515,0.8712,0.8135,0.6613,0.7458
21,1.4221789851815816,1.2656168913024979,0.8696,0.8121,0.6607,0.7448
22,1.4180548098988224,1.2654144060764776,0.8708,0.8131,0.6589,0.741
23,1.4179286904524164,1.2643350922262107,0.8708,0.8131,0.661,0.7447
24,1.4176008420929613,1.2617357500779647,0.8709,0.8133,0.6623,0.7485
25,1.4171291733252644,1.2648958556152103,0.8695,0.812,0.6596,0.744
26,1.4230657503185127,1.2697382991052049,0.8699,0.8123,0.6603,0.7447
27,1.4259014522025546,1.2670444392103613,0.8707,0.8131,0.6615,0.747
28,1.4145483566641226,1.2637774292140476,0.8698,0.8123,0.6605,0.7447
29,1.421172231456515,1.2689856120761214,0.8705,0.8128,0.6619,0.7468
30,1.4190824095706767,1.2649307077519394,0.8712,0.8133,0.662,0.7486
31,1.4184334220866321,1.2637056080829059,0.8707,0.8131,0.6615,0.7469
32,1.419396850244818,1.2646761358889635,0.87,0.8123,0.6604,0.7448
33,1.4213715822396382,1.2665160291545232,0.8707,0.813,0.66,0.7427
34,1.4175054434694676,1.2680279071762965,0.8708,0.8132,0.6593,0.7434
35,1.420709934762226,1.2691296455523426,0.8711,0.8133,0.6596,0.7444
36,1.4192844696482936,1.264307158479677,0.8708,0.8131,0.6615,0.7471
37,1.4188416848683738,1.265382288185914,0.871,0.8133,0.6613,0.7458
38,1.4168067959836563,1.2624086679813695,0.8708,0.8131,0.6604,0.745
39,1.418564053650274,1.2676961925332455,0.8709,0.8132,0.6588,0.7427
40,1.417757073208617,1.2684789195380435,0.8704,0.8127,0.658,0.7406
41,1.4201568204160357,1.2638453132925973,0.8708,0.8131,0.6598,0.7443
42,1.4202981601594302,1.2645335245064424,0.8694,0.8119,0.6608,0.746
43,1.4194790903030374,1.2660928002097638,0.8698,0.8123,0.659,0.7423
44,1.4213812129731467,1.2639287915957638,0.8701,0.8125,0.6602,0.7453
45,1.4208084685817393,1.2688089253728978,0.8703,0.8126,0.6587,0.7419
46,1.4171189309493817,1.2648519877020201,0.8695,0.812,0.6588,0.7426
47,1.4159040777900604,1.2646778740318287,0.871,0.8133,0.6587,0.7427
48,1.4203955027156185,1.2688343978982508,0.8711,0.8134,0.6594,0.7436
49,1.4203786846657305,1.2676731120162616,0.871,0.8133,0.6608,0.7466
