epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.6584839735416048,1.5299393122274423,0.0,0.2755,0.4199,0.6653
1,1.6159633184856397,1.517924567091992,0.8553,0.7983,0.5645,0.7324
2,1.6151554556297776,1.5231477035775505,0.8711,0.8131,0.6141,0.7637
3,1.6119764272587616,1.5216206017982603,0.8744,0.8161,0.6235,0.768
4,1.6148784117476345,1.5314704684830256,0.8747,0.8162,0.6436,0.776
5,1.6121795392318492,1.5299127186926218,0.8741,0.8159,0.6451,0.7767
6,1.6121531576436678,1.5345013621190136,0.8737,0.8156,0.6501,0.7779
7,1.6129769344834213,1.5373051108715368,0.8718,0.8139,0.6548,0.779
8,1.6112433189970798,1.5348964283367708,0.8735,0.8153,0.6535,0.779
9,1.6131480800334,1.5493626771401747,0.8729,0.8148,0.661,0.78
10,1.6131388046879194,1.5503083086557974,0.8725,0.8145,0.6622,0.7808
11,1.610770936632787,1.5511952733857486,0.8724,0.8145,0.6605,0.7759
12,1.6109721483915485,1.5463700923702006,0.8748,0.8163,0.6561,0.7768
13,1.6144028335457141,1.5468481785900752,0.8718,0.8139,0.6557,0.7765
14,1.613821376091752,1.5539491771801393,0.8705,0.8126,0.6563,0.7749
15,1.6117085648976686,1.5587754999519925,0.8731,0.8149,0.6569,0.767
16,1.6118608219555541,1.5483629679713882,0.8735,0.8153,0.6535,0.7744
17,1.6112393120053583,1.540047888238828,0.8721,0.8142,0.6563,0.7773
18,1.6154681291527109,1.5535006601358106,0.8741,0.8159,0.6532,0.7715
19,1.6110549101666933,1.5522787669585878,0.8726,0.8146,0.653,0.7678
20,1.6134247599829379,1.5540789789207992,0.8724,0.8144,0.6508,0.768
21,1.6132490183631827,1.543771225273524,0.873,0.8149,0.6539,0.7781
22,1.6161629871602015,1.5569250396587029,0.8729,0.8148,0.6536,0.7688
23,1.6136388318274861,1.5569685495188845,0.874,0.8158,0.6523,0.7632
24,1.613099218659212,1.5481150900246243,0.874,0.8158,0.6538,0.7726
25,1.6140014396082136,1.5583818866931083,0.8732,0.8151,0.6513,0.7614
26,1.613858542760877,1.554169457921288,0.8729,0.8148,0.6495,0.7617
27,1.6114109864895263,1.5407652076062734,0.8734,0.8152,0.6457,0.7712
28,1.612208700876893,1.555253057779157,0.8741,0.8159,0.6522,0.769
29,1.614101952534213,1.548479832698207,0.8754,0.8168,0.639,0.758
30,1.6145542258592471,1.5546398724026755,0.8727,0.8147,0.6404,0.7599
31,1.6140865811724254,1.5570046454455475,0.8728,0.8147,0.6492,0.7643
32,1.6124713706240192,1.5494054135854507,0.8709,0.813,0.6493,0.7714
33,1.6160833887864752,1.5553024568503322,0.8726,0.8146,0.647,0.7654
34,1.6131669175898606,1.5536662006854332,0.8742,0.8159,0.6472,0.7603
35,1.610383334969512,1.552639855467814,0.8727,0.8147,0.6483,0.7603
36,1.6133111878742172,1.5589419259834563,0.8723,0.8143,0.6584,0.7714
37,1.6110959919940786,1.5605069235626199,0.8724,0.8144,0.6511,0.7574
38,1.6112616788868117,1.5499831728860416,0.8741,0.8159,0.6527,0.7665
39,1.6132938299398083,1.55701608154471,0.874,0.8158,0.6484,0.7573
40,1.613303829500388,1.5480858339222623,0.8731,0.8149,0.6467,0.7647
41,1.614585465495588,1.5578398155247775,0.8711,0.8132,0.6471,0.7594
42,1.614064411148066,1.5514088714343846,0.8726,0.8146,0.6465,0.7635
43,1.6125806443128805,1.5650421243251305,0.8732,0.8151,0.6488,0.7526
44,1.6117935510003576,1.5553476893782785,0.8724,0.8144,0.6494,0.763
45,1.6135991686487166,1.5519692311103266,0.8729,0.8149,0.6467,0.7707
46,1.6160783563625838,1.5542212989973103,0.8714,0.8135,0.6534,0.7728
47,1.6125256193123847,1.55445786311521,0.8713,0.8134,0.6488,0.7652
48,1.612695624866499,1.5554166772056068,0.8729,0.8148,0.6533,0.7705
49,1.6115838241145772,1.5463854062574227,0.8736,0.8154,0.6576,0.7788
