epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.8096098935626461,1.6318298001652178,0.0,0.2824,0.2309,0.5813
1,1.7518133341035969,1.6412442566260048,0.015,0.2874,0.53,0.7127
2,1.7306202281035805,1.6440794804821843,0.8504,0.7945,0.5941,0.724
3,1.7215064491161038,1.6445983168871507,0.8674,0.811,0.6555,0.729
4,1.716840550107759,1.6464207114084908,0.8661,0.8099,0.6534,0.7088
5,1.713147553001962,1.643423770432887,0.8666,0.8104,0.6561,0.7085
6,1.7161107926610264,1.6454543315845986,0.8652,0.8092,0.6543,0.6996
7,1.7142059225973447,1.644124373793602,0.8652,0.8092,0.6554,0.7005
8,1.7151720796696017,1.6431847745957582,0.8641,0.8082,0.6576,0.7043
9,1.7136229339281122,1.6426600826823192,0.864,0.8081,0.6574,0.7043
10,1.7116143155500545,1.6417088942683262,0.8625,0.8067,0.6555,0.7019
11,1.7135283759118916,1.6413882050825201,0.8632,0.8073,0.6564,0.7003
12,1.7135252301733221,1.6412256405405377,0.8626,0.8069,0.6581,0.7032
13,1.7122888893839565,1.6401835317197053,0.8641,0.8082,0.6576,0.7025
14,1.714953618470097,1.641720633143964,0.8634,0.8076,0.6562,0.7021
15,1.713428542269551,1.6418586781491404,0.8623,0.8066,0.6563,0.7031
16,1.7119587724696403,1.6397897899150848,0.862,0.8063,0.658,0.7079
17,1.7141945145143578,1.641952475775843,0.8624,0.8066,0.6559,0.6996
18,1.7112130550685116,1.6406184706998908,0.863,0.8072,0.6567,0.7019
19,1.7127381062194509,1.6409776424584182,0.8615,0.8059,0.6552,0.6998
20,1.714744059721927,1.64266235348971,0.8612,0.8057,0.6537,0.6964
21,1.712945131378818,1.6422200053930283,0.8622,0.8065,0.6527,0.6954
22,1.7149449302823638,1.6431533312020095,0.8626,0.807,0.6529,0.6956
23,1.7133604030895413,1.6426144358904466,0.8614,0.8059,0.6535,0.6949
24,1.714637552819601,1.6414281648138296,0.8618,0.8061,0.6592,0.7052
25,1.7130078473189534,1.6413964888323909,0.8634,0.8075,0.658,0.7047
26,1.7145587489931489,1.6425125896930695,0.8634,0.8076,0.656,0.7013
27,1.713548923522849,1.64314907854018,0.8636,0.8077,0.6537,0.6956
28,1.7124782778308718,1.6410941371451253,0.861,0.8054,0.657,0.7022
29,1.7132981205970663,1.6403260904809702,0.861,0.8054,0.658,0.7041
30,1.7119287136124401,1.6409902864176293,0.862,0.8063,0.6599,0.7079
31,1.7140827820851252,1.6405618521182432,0.8622,0.8065,0.6601,0.7103
32,1.7129832810353607,1.6405000693124274,0.8633,0.8075,0.6609,0.7114
33,1.7110241890848241,1.6378598478825197,0.8627,0.807,0.6576,0.7088
34,1.712848588628572,1.6389501904663832,0.8615,0.8059,0.6596,0.7072
35,1.7138440362955347,1.640786314788072,0.8591,0.8035,0.6573,0.7028
36,1.7127030141805395,1.6405695346386537,0.8603,0.8047,0.6557,0.7019
37,1.7129245325503608,1.6404094216616258,0.8638,0.8078,0.6567,0.7034
38,1.7127037607482853,1.6407746556012526,0.8629,0.8071,0.6554,0.7006
39,1.7129812524645234,1.639631163166917,0.8626,0.8069,0.6565,0.704
40,1.71322713537914,1.639825777515121,0.8635,0.8076,0.6587,0.7069
41,1.7123058660840005,1.6408255573200143,0.8618,0.8062,0.6552,0.7006
42,1.7104478432581975,1.63887269406215,0.863,0.8071,0.6567,0.7021
43,1.713212432825543,1.6406379646581153,0.8634,0.8075,0.6566,0.7012
44,1.7145881840704082,1.6422814590775447,0.8645,0.8084,0.6528,0.6967
45,1.7143809636583025,1.642470349436221,0.8618,0.8062,0.6561,0.7018
46,1.7135012639620066,1.6409949401150579,0.8598,0.8041,0.6572,0.7038
47,1.7125484941153322,1.6416721337515374,0.862,0.8063,0.6534,0.697
48,1.7106042295191122,1.6406587848196859,0.8618,0.8062,0.6544,0.6982
49,1.713088998651415,1.6400955649821654,0.8614,0.8059,0.658,0.7056
