epoch,train_loss,val_loss,val_pres_f1,val_pres_acc,val_type_f1,val_type_acc
0,1.8637975908354567,1.720691643331362,0.5429,0.4616,0.1948,0.3674
1,1.790225468925419,1.7032994504856027,0.5894,0.5,0.2814,0.3906
2,1.7533507250934337,1.6917765743058661,0.5734,0.5132,0.3173,0.4028
3,1.7387558798852603,1.6855436952217766,0.5212,0.5021,0.344,0.4126
4,1.7310900290061564,1.6802357014106668,0.5001,0.4933,0.3446,0.4123
5,1.7280165187413428,1.6772138385669044,0.4942,0.4907,0.3434,0.4113
6,1.7249552785343794,1.6732814976054688,0.491,0.4891,0.3441,0.4119
7,1.7236527942582323,1.6709658497053643,0.4896,0.4885,0.3431,0.411
8,1.7245062010373229,1.6697695494993874,0.4897,0.4885,0.3352,0.6175
9,1.7237717458946844,1.6699639711043108,0.4896,0.4884,0.3368,0.6177
10,1.7237121497488828,1.6701378534021585,0.49,0.4886,0.3395,0.3915
11,1.72381939718021,1.6691185226259024,0.4896,0.4886,0.3651,0.6176
12,1.7240521194339917,1.6694362989586333,0.4897,0.4884,0.2886,0.295
13,1.7245647782009046,1.6682535516827002,0.4897,0.4884,0.3318,0.6168
14,1.7237515635159404,1.6684616645393164,0.4893,0.4884,0.342,0.6146
15,1.724461690569908,1.6682244688272476,0.4893,0.4884,0.3396,0.608
16,1.7250145993581631,1.6690691589661266,0.4893,0.4884,0.3443,0.601
17,1.7240282118208636,1.6682935279348623,0.8044,0.7062,0.3311,0.6163
18,1.7243759269785925,1.668610822895299,0.8045,0.7062,0.3314,0.6165
19,1.7235758503650858,1.668757919708024,0.8048,0.7066,0.3429,0.6133
20,1.7249255079713146,1.668982844961726,0.8047,0.7064,0.3323,0.6148
21,1.7242142194654884,1.6682821337295615,0.8047,0.7065,0.3314,0.6166
22,1.724004452939776,1.6680286973714828,0.8047,0.7064,0.3465,0.6086
23,1.7235144061398104,1.6682317749313686,0.4896,0.4884,0.3368,0.6171
24,1.724223950119448,1.668924704194069,0.8045,0.7062,0.3434,0.6149
25,1.7234281536338476,1.6676093249217323,0.4896,0.4886,0.3319,0.6176
26,1.7240523392890228,1.6669787693282831,0.4896,0.4884,0.3334,0.6179
27,1.7236130183901617,1.6675910026482914,0.4906,0.4889,0.365,0.6083
28,1.7232267192336006,1.667539112917755,0.4896,0.4884,0.3497,0.6152
29,1.7236287045881404,1.6681991080227105,0.8045,0.7062,0.3847,0.5546
30,1.723632905765054,1.6683751921290937,0.4895,0.4885,0.3426,0.6178
31,1.723658763668998,1.668253376432087,0.4897,0.4884,0.333,0.6164
32,1.723248534309931,1.668269068326639,0.4907,0.489,0.382,0.5856
33,1.72431907510668,1.6682374998927116,0.8048,0.7066,0.3562,0.6119
34,1.7241897737331282,1.668825907551724,0.4896,0.4884,0.3537,0.6076
35,1.723904293652547,1.6687958797682887,0.4896,0.4884,0.3409,0.6115
36,1.7241706523841587,1.6682009408655374,0.4896,0.4884,0.3332,0.6158
37,1.7245505741792146,1.6696097345455834,0.4898,0.4885,0.383,0.5326
38,1.723771704741759,1.6680265363791715,0.8043,0.706,0.3334,0.6172
39,1.7243226113507268,1.6681589079291925,0.4896,0.4884,0.3313,0.6167
40,1.7246677508720984,1.6691362015579059,0.4888,0.4882,0.3034,0.3169
41,1.724694369434192,1.6682264736813048,0.489,0.4883,0.3454,0.6151
42,1.7242794513255078,1.6677478791578957,0.4897,0.4884,0.3391,0.6119
43,1.7240392835234164,1.668670138263184,0.4901,0.4887,0.3693,0.5681
44,1.72317000155601,1.668206443929154,0.4901,0.4887,0.3059,0.3209
45,1.7243923096451035,1.6688659748305446,0.8046,0.7063,0.3417,0.6043
46,1.7232548371935874,1.6693941079404042,0.4896,0.4885,0.3339,0.6151
47,1.7236045833823828,1.668526514392832,0.8045,0.7062,0.3333,0.6156
48,1.7247923491819714,1.668179501010024,0.4901,0.4886,0.331,0.6167
49,1.7249491662066605,1.6684657782316208,0.49,0.4886,0.3339,0.6168
