epoch,beta,beta_event,lr,grad_norm,train_recon,train_kl,train_interv,train_total,train_aux_pres,train_aux_type,train_aux_prox,val_recon,val_kl,val_interv,val_total,val_aux_pres,val_aux_type,val_aux_prox,val_raw_kl,val_ref_elbo,pres_changed_frac,type_changed_frac
0,0.02,↑,0.0003,0.0058,0.0023322679659299296,0.0,0.0,0.0023322679659299296,0.0,0.0,0.0,0.00021950032678580647,0.0,0.0,0.00021950032678580647,0.0,0.0,0.0,54.52724490902288,54.52746440934967,0.0,0.0
1,0.0,↓collapse,0.0003,0.0349,0.0012111107908361653,0.003104113667784561,0.0,0.004315224492461803,0.0,0.0,0.0,0.00011266144329278088,2.0127322719284766e-05,0.0,0.00013278876649269291,0.0,0.0,0.0,0.0010063661565498745,0.0011190275998426555,0.0,0.0
2,0.02,↑,0.0003,0.0002,9.615430145376278e-05,0.0,0.0,9.615430145376278e-05,0.0,0.0,0.0,5.572514767412556e-05,0.0,0.0,5.572514767412556e-05,0.0,0.0,0.0,29.410363569492247,29.410419294639922,0.0,0.0
3,0.0,↓collapse,0.000299,0.0153,0.0002933303257749059,0.001188925954632502,0.0,0.0014822562852785197,0.0,0.0,0.0,3.706224005904138e-05,1.0763476708914793e-05,0.0,4.78257168548388e-05,0.0,0.0,0.0,0.0005381738430322564,0.0005752360830912978,0.0,0.0
4,0.02,↑,0.000299,0.0001,3.427413198334675e-05,0.0,0.0,3.427413198334675e-05,0.0,0.0,0.0,1.9639868180011554e-05,0.0,0.0,1.9639868180011554e-05,0.0,0.0,0.0,12.761372516794902,12.761392156663081,0.0,0.0
5,0.0,↓collapse,0.000298,0.012,0.00011985963176209828,0.0005432536796796075,0.0,0.0006631133015805783,0.0,0.0,0.0,1.0144885376062084e-05,4.4315130046341185e-06,0.0,1.4576398341414164e-05,0.0,0.0,0.0,0.00022157565496403608,0.00023172054034009817,0.0,0.0
6,0.0,→hold,0.000298,0.0001,9.722287081608734e-06,0.0,0.0,9.722287081608734e-06,0.0,0.0,0.0,5.1834837028386905e-06,0.0,0.0,5.1834837028386905e-06,0.0,0.0,0.0,0.05236358156927475,0.05236876505297759,0.0,0.0
7,0.02,↑,0.000297,0.0001,4.913954983619208e-06,0.0,0.0,4.913954983619208e-06,0.0,0.0,0.0,2.453597216999253e-06,0.0,0.0,2.453597216999253e-06,0.0,0.0,0.0,1.7325314765387192,1.7325339301359362,0.0,0.0
8,0.0,↓collapse,0.000296,0.0063,5.34054463160273e-05,0.00016687306961496597,0.0,0.00022027851636034564,0.0,0.0,0.0,1.7066633459740487e-06,3.662043080267478e-06,0.0,5.368706424855102e-06,0.0,0.0,0.0,0.0001831021577345382,0.00018480882108051224,0.0,0.0
9,0.0,→hold,0.000295,0.0,1.8637642612990036e-06,0.0,0.0,1.8637642612990036e-06,0.0,0.0,0.0,1.028333432542218e-06,0.0,0.0,1.028333432542218e-06,0.0,0.0,0.0,0.010438972007013797,0.01044000034044634,0.0,0.0
10,0.0,→hold,0.000294,0.0,1.1206881646355265e-06,0.0,0.0,1.1206881646355265e-06,0.0,0.0,0.0,5.730760521736911e-07,0.0,0.0,5.730760521736911e-07,0.0,0.0,0.0,0.011982581158910642,0.011983154234962816,0.0,0.0
